Artikelnummer,FAQ
QSFP-4SFP25-CU1M,"Wofür wird das QSFP-4SFP25-CU1M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-4SFP25-CU1M?||Das QSFP-4SFP25-CU1M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
QSFP-4SFP25-CU2M,"Wofür wird das QSFP-4SFP25-CU2M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-4SFP25-CU2M?||Das QSFP-4SFP25-CU2M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
QSFP-4SFP25-CU3M,"Wofür wird das QSFP-4SFP25-CU3M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-4SFP25-CU3M?||Das QSFP-4SFP25-CU3M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
QSFP-4SFP25-CU4M,"Wofür wird das QSFP-4SFP25-CU4M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-4SFP25-CU4M?||Das QSFP-4SFP25-CU4M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
QSFP-4SFP25-CU5M,"Wofür wird das QSFP-4SFP25-CU5M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-4SFP25-CU5M?||Das QSFP-4SFP25-CU5M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
QSFP-100G-SR4-S,"Wie weit reicht das QSFP-100G-SR4-S?||Bis zu 70 Meter über OM3-Multimode-Faser und bis zu 100 Meter über OM4/OM5 bei 850 nm über einen MPO-12-Anschluss.##Welchen Anschluss benötigt das Modul?||Einen parallelen MPO-12-Multifiber-Stecker (zwölf Fasern) mit PC- oder UPC-Kontaktierung.##Welche Datenrate und Bauform hat das QSFP-100G-SR4-S?||Das QSFP-100G-SR4-S hat den Formfaktor QSFP28 mit 100 Gbit/s nach IEEE 802.3bm 100GBASE-SR4."
QSFP-100G-SL4,"Wie weit reicht das QSFP-100G-SL4?||Bis zu 20 Meter über OM3 und bis zu 30 Meter über OM4/OM5 bei 850 nm — es ist die kostenoptimierte Short-Link-Variante des SR4.##Worin unterscheidet sich das SL4 vom SR4-S?||Beide nutzen 850 nm und MPO-12; das SL4 ist für kürzere Distanzen ausgelegt und dadurch günstiger, das SR4-S erreicht bis 100 m über OM4.##Welche Datenrate und Bauform hat das QSFP-100G-SL4?||Das QSFP-100G-SL4 hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-SL4 (Short Link, SR4-basiert)."
QSFP-100G-B20U4-I,"Welches Gegenmodul benötigt das QSFP-100G-B20U4-I?||Ein QSFP-100G-B20D4-I: Beide Module arbeiten als abgestimmtes Paar bidirektional über eine einzelne Singlemode-Faser bis 20 km.##Benötigt das Modul FEC?||Ja. Es erfordert Host-basierte RS-FEC (Reed-Solomon Forward Error Correction) und ist für den industriellen Temperaturbereich ausgelegt.##Welche Datenrate und Bauform hat das QSFP-100G-B20U4-I?||Das QSFP-100G-B20U4-I hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100G BiDi 20 km (4 Lanes, NRZ, Host-RS-FEC, IND)."
QSFP-100G-B20D4-I,"Welches Gegenmodul benötigt das QSFP-100G-B20D4-I?||Ein QSFP-100G-B20U4-I: Beide Module arbeiten als abgestimmtes Paar bidirektional über eine einzelne Singlemode-Faser bis 20 km.##Benötigt das Modul FEC?||Ja. Es erfordert Host-basierte RS-FEC (Reed-Solomon Forward Error Correction) und ist für den industriellen Temperaturbereich ausgelegt.##Welche Datenrate und Bauform hat das QSFP-100G-B20D4-I?||Das QSFP-100G-B20D4-I hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100G BiDi 20 km (4 Lanes, NRZ, Host-RS-FEC, IND)."
QSFP-100G-CU1.5M,"Wie lang ist das QSFP-100G-CU1.5M?||Das Kabel hat eine feste Länge von 1,5 m mit zwei werkseitig konfektionierten QSFP28-Steckern.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive 100GBASE-CR4-Twinax-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-100G-CU1.5M?||Das QSFP-100G-CU1.5M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-CR4 (Twinax, passiv)."
QSFP-100G-CU2.5M,"Wie lang ist das QSFP-100G-CU2.5M?||Das Kabel hat eine feste Länge von 2,5 m mit zwei werkseitig konfektionierten QSFP28-Steckern.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive 100GBASE-CR4-Twinax-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das QSFP-100G-CU2.5M?||Das QSFP-100G-CU2.5M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-CR4 (Twinax, passiv)."
Q-4SFP25G-CU1.5M,"Wofür wird das Q-4SFP25G-CU1.5M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das Q-4SFP25G-CU1.5M?||Das Q-4SFP25G-CU1.5M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
Q-4SFP25G-CU2.5M,"Wofür wird das Q-4SFP25G-CU2.5M verwendet?||Es verbindet einen 100G-QSFP28-Port mit vier 25G-SFP28-Ports und eignet sich für die Anbindung von vier 25G-Servern an einen 100G-Switch-Port.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Das passive Twinax-Breakout-Kabel kommt ohne aktive Elektronik und ohne externe Stromversorgung aus.##Welche Datenrate und Bauform hat das Q-4SFP25G-CU2.5M?||Das Q-4SFP25G-CU2.5M hat den Formfaktor QSFP28 mit 100 Gbit/s (4× 25 Gbit/s) nach 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv)."
