Artikelnummer,FAQ
JC614A,"Wofür wird der JC614A verwendet?||Der HPE A10500 Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JC614A?||Der JC614A ist mit der Serie HPE FlexNetwork 10500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC614A ein eigenständiger Switch?||Nein. Der JC614A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10500 (Comware v5)."
JG496A,"Wofür wird der JG496A verwendet?||Der HPE 10500 Type A Main Processing Unit with Comware v7 Operating System ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JG496A?||Der JG496A ist mit der Serie HPE FlexNetwork 10500, Type A (Comware v7) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JG496A ein eigenständiger Switch?||Nein. Der JG496A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10500, Type A (Comware v7)."
JH198A,"Wofür wird der JH198A verwendet?||Der HPE FlexNetwork 10500 Type D Main Processing Unit with Comware v7 Operating System ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JH198A?||Der JH198A ist mit der Serie HPE FlexNetwork 10500, Type D (Comware v7; nur Type-B/D-Fabric) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH198A ein eigenständiger Switch?||Nein. Der JH198A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10500, Type D (Comware v7; nur Type-B/D-Fabric)."
JG375A,"Wofür wird der JG375A verwendet?||Der HPE 10500 Type A Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JG375A?||Der JG375A ist mit der Serie HPE FlexNetwork 10500, Type A kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JG375A ein eigenständiger Switch?||Nein. Der JG375A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10500, Type A."
JH206A,"Wofür wird der JH206A verwendet?||Der HPE 10500 Type D TAA Main Processing Unit with Comware v7 OS ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JH206A?||Der JH206A ist mit der Serie HPE FlexNetwork 10500, Type D TAA (Comware v7) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH206A ein eigenständiger Switch?||Nein. Der JH206A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10500, Type D TAA (Comware v7)."
JC615A,"Wofür wird der JC615A verwendet?||Der HPE 10504 400Gbps Type A Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JC615A?||Der JC615A ist mit der Serie HPE FlexNetwork 10504, Type A kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC615A ein eigenständiger Switch?||Nein. Der JC615A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10504, Type A."
JC751A,"Wofür wird der JC751A verwendet?||Der HPE FlexNetwork 10504 880Gbps Type B Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JC751A?||Der JC751A ist mit der Serie HPE FlexNetwork 10504, Type B kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC751A ein eigenständiger Switch?||Nein. Der JC751A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10504, Type B."
JC752A,"Wofür wird der JC752A verwendet?||Der HPE FlexNetwork 10504 1.2Tbps Type D Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JC752A?||Der JC752A ist mit der Serie HPE FlexNetwork 10504, Type D kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC752A ein eigenständiger Switch?||Nein. Der JC752A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10504, Type D."
JC753A,"Wofür wird der JC753A verwendet?||Der HPE FlexNetwork 10508/10508-V 1.04Tbps Type B Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JC753A?||Der JC753A ist mit der Serie HPE FlexNetwork 10508 / 10508-V, Type B kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC753A ein eigenständiger Switch?||Nein. Der JC753A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10508 / 10508-V, Type B."
JC754A,"Wofür wird der JC754A verwendet?||Der HPE FlexNetwork 10508/10508-V 2.32Tbps Type D Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-10500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JC754A?||Der JC754A ist mit der Serie HPE FlexNetwork 10508 / 10508-V, Type D kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JC754A ein eigenständiger Switch?||Nein. Der JC754A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 10508 / 10508-V, Type D."
