Artikelnummer,FAQ
WS-C3850-24T-L,"Wie viele Ports hat der WS-C3850-24T-L?||Der WS-C3850-24T-L bietet 24× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-24T-L stapeln?||Ja, der WS-C3850-24T-L unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Hat der WS-C3850-24T-L PoE?||Nein, der WS-C3850-24T-L ist ein Datenmodell ohne PoE; PoE+-Varianten (P/F) und UPOE-Varianten (U) gibt es in derselben 3850-Serie.##Routet der WS-C3850-24T-L (LAN Base)?||Der WS-C3850-24T-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3850-24T-S,"Wie viele Ports hat der WS-C3850-24T-S?||Der WS-C3850-24T-S bietet 24× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-24T-S stapeln?||Ja, der WS-C3850-24T-S unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Hat der WS-C3850-24T-S PoE?||Nein, der WS-C3850-24T-S ist ein Datenmodell ohne PoE; PoE+-Varianten (P/F) und UPOE-Varianten (U) gibt es in derselben 3850-Serie.##Was leistet die IP Base-Lizenz des WS-C3850-24T-S?||Der WS-C3850-24T-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3850-24T-E,"Wie viele Ports hat der WS-C3850-24T-E?||Der WS-C3850-24T-E bietet 24× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-24T-E stapeln?||Ja, der WS-C3850-24T-E unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Hat der WS-C3850-24T-E PoE?||Nein, der WS-C3850-24T-E ist ein Datenmodell ohne PoE; PoE+-Varianten (P/F) und UPOE-Varianten (U) gibt es in derselben 3850-Serie.##Was leistet die IP Services-Lizenz des WS-C3850-24T-E?||Der WS-C3850-24T-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3850-48T-L,"Wie viele Ports hat der WS-C3850-48T-L?||Der WS-C3850-48T-L bietet 48× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-48T-L stapeln?||Ja, der WS-C3850-48T-L unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Hat der WS-C3850-48T-L PoE?||Nein, der WS-C3850-48T-L ist ein Datenmodell ohne PoE; PoE+-Varianten (P/F) und UPOE-Varianten (U) gibt es in derselben 3850-Serie.##Routet der WS-C3850-48T-L (LAN Base)?||Der WS-C3850-48T-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3850-48T-S,"Wie viele Ports hat der WS-C3850-48T-S?||Der WS-C3850-48T-S bietet 48× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-48T-S stapeln?||Ja, der WS-C3850-48T-S unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Hat der WS-C3850-48T-S PoE?||Nein, der WS-C3850-48T-S ist ein Datenmodell ohne PoE; PoE+-Varianten (P/F) und UPOE-Varianten (U) gibt es in derselben 3850-Serie.##Was leistet die IP Base-Lizenz des WS-C3850-48T-S?||Der WS-C3850-48T-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3850-48T-E,"Wie viele Ports hat der WS-C3850-48T-E?||Der WS-C3850-48T-E bietet 48× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-48T-E stapeln?||Ja, der WS-C3850-48T-E unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Hat der WS-C3850-48T-E PoE?||Nein, der WS-C3850-48T-E ist ein Datenmodell ohne PoE; PoE+-Varianten (P/F) und UPOE-Varianten (U) gibt es in derselben 3850-Serie.##Was leistet die IP Services-Lizenz des WS-C3850-48T-E?||Der WS-C3850-48T-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3850-24P-L,"Wie viele Ports hat der WS-C3850-24P-L?||Der WS-C3850-24P-L bietet 24× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-24P-L stapeln?||Ja, der WS-C3850-24P-L unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Welches PoE-Budget hat der WS-C3850-24P-L?||Der WS-C3850-24P-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit 435 W Gesamt-Budget für Telefone, WLAN-APs und Kameras.##Routet der WS-C3850-24P-L (LAN Base)?||Der WS-C3850-24P-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3850-24P-S,"Wie viele Ports hat der WS-C3850-24P-S?||Der WS-C3850-24P-S bietet 24× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-24P-S stapeln?||Ja, der WS-C3850-24P-S unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Welches PoE-Budget hat der WS-C3850-24P-S?||Der WS-C3850-24P-S liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit 435 W Gesamt-Budget für Telefone, WLAN-APs und Kameras.##Was leistet die IP Base-Lizenz des WS-C3850-24P-S?||Der WS-C3850-24P-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3850-24P-E,"Wie viele Ports hat der WS-C3850-24P-E?||Der WS-C3850-24P-E bietet 24× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-24P-E stapeln?||Ja, der WS-C3850-24P-E unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Welches PoE-Budget hat der WS-C3850-24P-E?||Der WS-C3850-24P-E liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit 435 W Gesamt-Budget für Telefone, WLAN-APs und Kameras.##Was leistet die IP Services-Lizenz des WS-C3850-24P-E?||Der WS-C3850-24P-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist je Konfiguration identisch; nur die Lizenz unterscheidet sich (LAN Base/IP Base/IP Services)."
WS-C3850-48P-L,"Wie viele Ports hat der WS-C3850-48P-L?||Der WS-C3850-48P-L bietet 48× 10/100/1000-Zugangs-Ports plus einen modularen Netzwerkmodul-Steckplatz für Uplinks (1G/10G/40G-Module optional, nicht im Lieferumfang).##Lässt sich der WS-C3850-48P-L stapeln?||Ja, der WS-C3850-48P-L unterstützt Cisco StackWise-480 (bis zu 9 Einheiten, 480 Gbit/s, eine Verwaltungs-IP) sowie StackPower; ein Stack ist feature-set-homogen (LAN Base stapelt nur mit LAN Base, IP Base/IP Services untereinander).##Welches PoE-Budget hat der WS-C3850-48P-L?||Der WS-C3850-48P-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit 435 W Gesamt-Budget für Telefone, WLAN-APs und Kameras.##Routet der WS-C3850-48P-L (LAN Base)?||Der WS-C3850-48P-L ist mit LAN Base ein Layer-2-Switch (umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
