Artikelnummer,Attributname,Attributwert
FN-TRAN-SFP-1BD10,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-SFP-1BD10?||Das FN-TRAN-SFP-1BD10 ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-SFP-1BD10?||Das FN-TRAN-SFP-1BD10 hat den Formfaktor SFP mit Single LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-SFP-1BD10?||Laut Spezifikation erreicht das FN-TRAN-SFP-1BD10 bis zu 10 km (Wellenlänge TX 1490 nm / RX 1310 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-SFP-1BD10 ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das FN-TRAN-SFP-1BD10 DOM/DDM?||Ja, das FN-TRAN-SFP-1BD10 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-SFP-1BD10?||Das FN-TRAN-SFP-1BD10 ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-SFP-1BD10 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das FN-TRAN-SFP-1BD10 mit Fortinet-Geräten kompatibel?||Das FN-TRAN-SFP-1BD10 ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-SFP-1BU10,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-SFP-1BU10?||Das FN-TRAN-SFP-1BU10 ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-SFP-1BU10?||Das FN-TRAN-SFP-1BU10 hat den Formfaktor SFP mit Single LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-SFP-1BU10?||Laut Spezifikation erreicht das FN-TRAN-SFP-1BU10 bis zu 10 km (Wellenlänge TX 1310 nm / RX 1490 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-SFP-1BU10 ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das FN-TRAN-SFP-1BU10 DOM/DDM?||Ja, das FN-TRAN-SFP-1BU10 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-SFP-1BU10?||Das FN-TRAN-SFP-1BU10 ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-SFP-1BU10 typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das FN-TRAN-SFP-1BU10 mit Fortinet-Geräten kompatibel?||Das FN-TRAN-SFP-1BU10 ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-SFP-1BD40,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-SFP-1BD40?||Das FN-TRAN-SFP-1BD40 ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-SFP-1BD40?||Das FN-TRAN-SFP-1BD40 hat den Formfaktor SFP mit Single LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-SFP-1BD40?||Laut Spezifikation erreicht das FN-TRAN-SFP-1BD40 bis zu 40 km (Wellenlänge TX 1490 nm / RX 1310 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-SFP-1BD40 ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das FN-TRAN-SFP-1BD40 DOM/DDM?||Ja, das FN-TRAN-SFP-1BD40 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-SFP-1BD40?||Das FN-TRAN-SFP-1BD40 ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-SFP-1BD40 typischerweise eingesetzt?||Typischer Einsatz: Metro-/Weitverkehrsnetz.##Ist das FN-TRAN-SFP-1BD40 mit Fortinet-Geräten kompatibel?||Das FN-TRAN-SFP-1BD40 ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-SFP-1BU40,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-SFP-1BU40?||Das FN-TRAN-SFP-1BU40 ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-SFP-1BU40?||Das FN-TRAN-SFP-1BU40 hat den Formfaktor SFP mit Single LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-SFP-1BU40?||Laut Spezifikation erreicht das FN-TRAN-SFP-1BU40 bis zu 40 km (Wellenlänge TX 1310 nm / RX 1490 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-SFP-1BU40 ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das FN-TRAN-SFP-1BU40 DOM/DDM?||Ja, das FN-TRAN-SFP-1BU40 unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-SFP-1BU40?||Das FN-TRAN-SFP-1BU40 ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-SFP-1BU40 typischerweise eingesetzt?||Typischer Einsatz: Metro-/Weitverkehrsnetz.##Ist das FN-TRAN-SFP-1BU40 mit Fortinet-Geräten kompatibel?||Das FN-TRAN-SFP-1BU40 ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-LX,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-LX?||Das FN-TRAN-LX ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-LX?||Das FN-TRAN-LX hat den Formfaktor SFP mit Duplex LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-LX?||Laut Spezifikation erreicht das FN-TRAN-LX bis zu 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-LX ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das FN-TRAN-LX DOM/DDM?||Ja, das FN-TRAN-LX unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-LX?||Das FN-TRAN-LX ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-LX typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das FN-TRAN-LX mit Fortinet-Geräten kompatibel?||Das FN-TRAN-LX ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-GC,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-GC?||Das FN-TRAN-GC ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-GC?||Das FN-TRAN-GC hat den Formfaktor SFP mit RJ-45-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-GC?||Laut Spezifikation erreicht das FN-TRAN-GC bis zu 100 m.##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-GC ist für Kupfer (Twisted-Pair) ausgelegt.##Unterstützt das FN-TRAN-GC DOM/DDM?||Nein, das FN-TRAN-GC unterstützt kein DOM/DDM.##In welchem Temperaturbereich arbeitet das FN-TRAN-GC?||Das FN-TRAN-GC ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-GC typischerweise eingesetzt?||Typischer Einsatz: Zugriffs-/Verteilnetz (Kupfer).##Ist das FN-TRAN-GC mit Fortinet-Geräten kompatibel?||Das FN-TRAN-GC ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-SX,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-SX?||Das FN-TRAN-SX ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-SX?||Das FN-TRAN-SX hat den Formfaktor SFP mit Duplex LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-SX?||Laut Spezifikation erreicht das FN-TRAN-SX bis zu 500 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-SX ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das FN-TRAN-SX DOM/DDM?||Ja, das FN-TRAN-SX unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-SX?||Das FN-TRAN-SX ist für den Betrieb von -20 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-SX typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das FN-TRAN-SX mit Fortinet-Geräten kompatibel?||Das FN-TRAN-SX ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-SXI-4PACK,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-SXI-4PACK?||Das FN-TRAN-SXI-4PACK ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-SXI-4PACK?||Das FN-TRAN-SXI-4PACK hat den Formfaktor SFP mit Duplex LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-SXI-4PACK?||Laut Spezifikation erreicht das FN-TRAN-SXI-4PACK bis zu 500 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-SXI-4PACK ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das FN-TRAN-SXI-4PACK DOM/DDM?||Ja, das FN-TRAN-SXI-4PACK unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-SXI-4PACK?||Das FN-TRAN-SXI-4PACK ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-SXI-4PACK typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das FN-TRAN-SXI-4PACK mit Fortinet-Geräten kompatibel?||Das FN-TRAN-SXI-4PACK ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FR-TRAN-SX,FAQ,"Welche Datenrate und Bauform hat das FR-TRAN-SX?||Das FR-TRAN-SX ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FR-TRAN-SX?||Das FR-TRAN-SX hat den Formfaktor SFP mit Duplex LC-Schnittstelle.##Welche Reichweite erreicht das FR-TRAN-SX?||Laut Spezifikation erreicht das FR-TRAN-SX bis zu 500 m (Wellenlänge 850 nm).##Welcher Fasertyp ist erforderlich?||Das FR-TRAN-SX ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das FR-TRAN-SX DOM/DDM?||Ja, das FR-TRAN-SX unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FR-TRAN-SX?||Das FR-TRAN-SX ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FR-TRAN-SX typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das FR-TRAN-SX mit Fortinet-Geräten kompatibel?||Das FR-TRAN-SX ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
FN-TRAN-EX-4PACK,FAQ,"Welche Datenrate und Bauform hat das FN-TRAN-EX-4PACK?||Das FN-TRAN-EX-4PACK ist ein SFP-Modul mit 1 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das FN-TRAN-EX-4PACK?||Das FN-TRAN-EX-4PACK hat den Formfaktor SFP mit Duplex LC-Schnittstelle.##Welche Reichweite erreicht das FN-TRAN-EX-4PACK?||Laut Spezifikation erreicht das FN-TRAN-EX-4PACK bis zu 40 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das FN-TRAN-EX-4PACK ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das FN-TRAN-EX-4PACK DOM/DDM?||Ja, das FN-TRAN-EX-4PACK unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das FN-TRAN-EX-4PACK?||Das FN-TRAN-EX-4PACK ist für den Betrieb von -40 bis 85 °C spezifiziert.##Wofür wird das FN-TRAN-EX-4PACK typischerweise eingesetzt?||Typischer Einsatz: Metro-/Weitverkehrsnetz.##Ist das FN-TRAN-EX-4PACK mit Fortinet-Geräten kompatibel?||Das FN-TRAN-EX-4PACK ist eine Fortinet-Optik-Komponente und für den Betrieb in Fortinet-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
