Artikelnummer,FAQ
J9986A,"Wofür wird die J9986A verwendet?||Die J9986A ist eine zl2-Linecard (24× Gig-T PoE+) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9986A?||Die J9986A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9986A PoE?||Ja. Die J9986A speist angeschlossene Geräte per IEEE 802.3at PoE+ ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9986A ungebraucht?||Ja."
J9987A,"Wofür wird die J9987A verwendet?||Die J9987A ist eine zl2-Linecard (24× Gig-T) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9987A?||Die J9987A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9987A PoE?||Nein. Die J9987A ist eine zl2-Linecard ohne Power over Ethernet.##Ist die J9987A ungebraucht?||Ja."
J9988A,"Wofür wird die J9988A verwendet?||Die J9988A ist eine zl2-Linecard (24× SFP (1G)) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9988A?||Die J9988A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9988A PoE?||Nein. Die J9988A ist eine zl2-Linecard ohne Power over Ethernet.##Ist die J9988A ungebraucht?||Ja."
J9989A,"Wofür wird die J9989A verwendet?||Die J9989A ist eine zl2-Linecard (12× Gig-T PoE+ + 12× SFP) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9989A?||Die J9989A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9989A PoE?||Ja. Die J9989A speist angeschlossene Geräte per IEEE 802.3at PoE+ ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9989A ungebraucht?||Ja."
J9990A,"Wofür wird die J9990A verwendet?||Die J9990A ist eine zl2-Linecard (20× Gig-T PoE+ + 4× SFP+) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9990A?||Die J9990A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9990A PoE?||Ja. Die J9990A speist angeschlossene Geräte per IEEE 802.3at PoE+ ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9990A ungebraucht?||Ja."
J9991A,"Wofür wird die J9991A verwendet?||Die J9991A ist eine zl2-Linecard (20× Gig-T PoE+ + 4× Smart Rate) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9991A?||Die J9991A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9991A PoE?||Ja. Die J9991A speist angeschlossene Geräte per IEEE 802.3at PoE+ ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9991A ungebraucht?||Ja."
J9992A,"Wofür wird die J9992A verwendet?||Die J9992A ist eine zl2-Linecard (20× Gig-T PoE+ + 1× QSFP+) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9992A?||Die J9992A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9992A PoE?||Ja. Die J9992A speist angeschlossene Geräte per IEEE 802.3at PoE+ ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9992A ungebraucht?||Ja."
J9993A,"Wofür wird die J9993A verwendet?||Die J9993A ist eine zl2-Linecard (8× 10-GbE SFP+) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9993A?||Die J9993A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9993A PoE?||Nein. Die J9993A ist eine zl2-Linecard ohne Power over Ethernet.##Ist die J9993A ungebraucht?||Ja."
J9995A,"Wofür wird die J9995A verwendet?||Die J9995A ist eine zl2-Linecard (8× Smart Rate (10GBASE-T) PoE+) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9995A?||Die J9995A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9995A PoE?||Ja. Die J9995A speist angeschlossene Geräte per IEEE 802.3at PoE+ ein; das Gesamt-PoE-Budget hängt von der Netzteilbestückung des Chassis ab.##Ist die J9995A ungebraucht?||Ja."
J9996A,"Wofür wird die J9996A verwendet?||Die J9996A ist eine zl2-Linecard (2× QSFP+ (40G)) für die modularen Aruba-5400R-zl2-Chassis (5406R/5412R).##In welche Chassis passt die J9996A?||Die J9996A ist ausschließlich mit der Serie Aruba 5400R zl2 kompatibel und belegt einen zl2-Modul-Steckplatz; sie ist nicht mit den älteren 5400zl-Chassis kompatibel.##Unterstützt die J9996A PoE?||Nein. Die J9996A ist eine zl2-Linecard ohne Power over Ethernet.##Ist die J9996A ungebraucht?||Ja."
