Artikelnummer,FAQ
FN-TRAN-SFP-1BD10,"Welche Reichweite erreicht das FN-TRAN-SFP-1BD10?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Was bedeutet BiDi?||Senden und Empfangen laufen über eine einzige Faser auf getrennten Wellenlängen (TX 1490 nm / RX 1310 nm); BiDi-Module werden paarweise betrieben."
FN-TRAN-SFP-1BU10,"Welche Reichweite erreicht das FN-TRAN-SFP-1BU10?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Was bedeutet BiDi?||Senden und Empfangen laufen über eine einzige Faser auf getrennten Wellenlängen (TX 1310 nm / RX 1490 nm); BiDi-Module werden paarweise betrieben."
FN-TRAN-SFP-1BD40,"Welche Reichweite erreicht das FN-TRAN-SFP-1BD40?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Was bedeutet BiDi?||Senden und Empfangen laufen über eine einzige Faser auf getrennten Wellenlängen (TX 1490 nm / RX 1310 nm); BiDi-Module werden paarweise betrieben."
FN-TRAN-SFP-1BU40,"Welche Reichweite erreicht das FN-TRAN-SFP-1BU40?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Was bedeutet BiDi?||Senden und Empfangen laufen über eine einzige Faser auf getrennten Wellenlängen (TX 1310 nm / RX 1490 nm); BiDi-Module werden paarweise betrieben."
FN-TRAN-LX,"Welche Reichweite erreicht das FN-TRAN-LX?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP/SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-LX?||Das FN-TRAN-LX hat den Formfaktor SFP mit 1 Gbit/s."
FN-TRAN-GC,"Welche Reichweite erreicht das FN-TRAN-GC?||Über Kupfer (Twisted-Pair) überbrückt es Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP/ SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-GC?||Das FN-TRAN-GC hat den Formfaktor SFP mit 1 Gbit/s."
FN-TRAN-SX,"Welche Reichweite erreicht das FN-TRAN-SX?||Über Multimode-Glasfaser überbrückt es Strecken von bis zu 500 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-SX?||Das FN-TRAN-SX hat den Formfaktor SFP mit 1 Gbit/s."
FN-TRAN-SXI-4PACK,"Welche Reichweite erreicht das FN-TRAN-SXI-4PACK?||Über Multimode-Glasfaser überbrückt es Strecken von bis zu 500 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-SXI-4PACK?||Das FN-TRAN-SXI-4PACK hat den Formfaktor SFP mit 1 Gbit/s."
FR-TRAN-SX,"Welche Reichweite erreicht das FR-TRAN-SX?||Über Multimode-Glasfaser überbrückt es Strecken von bis zu 500 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FR-TRAN-SX?||Das FR-TRAN-SX hat den Formfaktor SFP mit 1 Gbit/s."
FN-TRAN-EX-4PACK,"Welche Reichweite erreicht das FN-TRAN-EX-4PACK?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP/SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-EX-4PACK?||Das FN-TRAN-EX-4PACK hat den Formfaktor SFP mit 1 Gbit/s."
FR-TRAN-ZX,"Welche Reichweite erreicht das FR-TRAN-ZX?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 90 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FR-TRAN-ZX?||Das FR-TRAN-ZX hat den Formfaktor SFP mit 1 Gbit/s."
FN-TRAN-SFP2-LX,"Welche Reichweite erreicht das FN-TRAN-SFP2-LX?||Über Singlemode-Glasfaser überbrückt es Strecken von bis zu 25 km.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP/SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-SFP2-LX?||Das FN-TRAN-SFP2-LX hat den Formfaktor SFP mit 2,5 Gbit/s."
FN-TRAN-SFP2-SX,"Welche Reichweite erreicht das FN-TRAN-SFP2-SX?||Über Multimode-Glasfaser überbrückt es Strecken von bis zu 300 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP/SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-SFP2-SX?||Das FN-TRAN-SFP2-SX hat den Formfaktor SFP mit 2,5 Gbit/s."
FN-TRAN-SFP+SR,"Welche Reichweite erreicht das FN-TRAN-SFP+SR?||Über Multimode-Glasfaser überbrückt es Strecken von bis zu 550 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-SFP+SR?||Das FN-TRAN-SFP+SR hat den Formfaktor SFP+ mit 10 Gbit/s."
FN-TRAN-SFP+SRI,"Welche Reichweite erreicht das FN-TRAN-SFP+SRI?||Über Multimode-Glasfaser überbrückt es Strecken von bis zu 400 m.##In welchen Systemen lässt sich das Modul einsetzen?||Es ist für Fortinet-Systeme mit SFP+-Steckplätzen vorgesehen und auf Fortinet-Appliances getestet.##Welche Datenrate und Bauform hat das FN-TRAN-SFP+SRI?||Das FN-TRAN-SFP+SRI hat den Formfaktor SFP+ mit 10 Gbit/s."
