Artikelnummer,FAQ
C9200-24T,"Wie viele Ports hat der C9200-24T?||Der C9200-24T bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (Data).##Unterstützt der C9200-24T Layer-3-Routing?||Ja. Der C9200-24T ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9200-24T stapeln (Stacking)?||Ja. Der C9200-24T unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-24P,"Wie viele Ports hat der C9200-24P?||Der C9200-24P bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (PoE+, 30 W).##Wie hoch ist das PoE-Budget des C9200-24P?||Der C9200-24P stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 370 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-24P stapeln (Stacking)?||Ja. Der C9200-24P unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-24PB,"Wie viele Ports hat der C9200-24PB?||Der C9200-24PB bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (PoE+, 30 W).##Wie hoch ist das PoE-Budget des C9200-24PB?||Der C9200-24PB stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 370 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-24PB stapeln (Stacking)?||Ja. Der C9200-24PB unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-24PXG,"Wie viele Ports hat der C9200-24PXG?||Der C9200-24PXG bietet insgesamt 24 Ports: 8× 10G-Multigigabit-RJ45 (PoE+) + 16× Gigabit-RJ45 (PoE+).##Wie hoch ist das PoE-Budget des C9200-24PXG?||Der C9200-24PXG stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 370 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-24PXG stapeln (Stacking)?||Ja. Der C9200-24PXG unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-48T,"Wie viele Ports hat der C9200-48T?||Der C9200-48T bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (Data).##Unterstützt der C9200-48T Layer-3-Routing?||Ja. Der C9200-48T ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9200-48T stapeln (Stacking)?||Ja. Der C9200-48T unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-48P,"Wie viele Ports hat der C9200-48P?||Der C9200-48P bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (PoE+, 30 W).##Wie hoch ist das PoE-Budget des C9200-48P?||Der C9200-48P stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 740 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-48P stapeln (Stacking)?||Ja. Der C9200-48P unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-48PL,"Wie viele Ports hat der C9200-48PL?||Der C9200-48PL bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (PoE+, 30 W, teilbestückt).##Wie hoch ist das PoE-Budget des C9200-48PL?||Der C9200-48PL stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 370 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-48PL stapeln (Stacking)?||Ja. Der C9200-48PL unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-48PB,"Wie viele Ports hat der C9200-48PB?||Der C9200-48PB bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (PoE+, 30 W).##Wie hoch ist das PoE-Budget des C9200-48PB?||Der C9200-48PB stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 740 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-48PB stapeln (Stacking)?||Ja. Der C9200-48PB unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200-48PXG,"Wie viele Ports hat der C9200-48PXG?||Der C9200-48PXG bietet insgesamt 48 Ports: 8× 10G-Multigigabit-RJ45 (PoE+) + 40× Gigabit-RJ45 (PoE+).##Wie hoch ist das PoE-Budget des C9200-48PXG?||Der C9200-48PXG stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 740 W mit Primärnetzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9200-48PXG stapeln (Stacking)?||Ja. Der C9200-48PXG unterstützt Ja (StackWise-160, 160 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9200L-24T-4G,"Wie viele Ports hat der C9200L-24T-4G?||Der C9200L-24T-4G bietet insgesamt 28 Ports: 24× Gigabit-RJ45 (Data) + 4× 1G-SFP (Uplink).##Unterstützt der C9200L-24T-4G Layer-3-Routing?||Ja. Der C9200L-24T-4G ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9200L-24T-4G stapeln (Stacking)?||Ja. Der C9200L-24T-4G unterstützt Ja (StackWise-80, 80 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
