Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
C1200-8T-D;Cisco C1200-8T-D Catalyst-1200-Managed-Switch (L2, Linux) – 8× 1G-RJ45;"<p>Der Cisco C1200-8T-D ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 8× 1G-RJ45 als kompakter Desktop-Switch (selbst per PoE versorgbar). Verwaltet wird der C1200-8T-D über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im Desktop-Gehäuse liefert der C1200-8T-D eine Switching-Kapazität von 16 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-8T-D ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 8× 1G-RJ45.</p><p>Mit 8 Ports erreicht der C1200-8T-D eine Switching-Kapazität von 16 Gbit/s bei einer Weiterleitungsrate von 11,9 Mpps. Die Ports des C1200-8T-D sind reine Datenports; der C1200-8T-D selbst lässt sich als PoE-Powered-Device über einen vorgelagerten PoE-Switch mit Strom versorgen. Single-IP-Management wird beim C1200-8T-D (Desktop-Modell ohne Uplink) nicht unterstützt. Als Layer-2-Switch beherrscht der C1200-8T-D statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-8T-D unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-8T-D mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor Desktop-Gehäuse (kompakt, 160 × 128 × 30 mm, ohne Rackmontage) mit Externes Netzteil (AC-Adapter) und Lüfterlos (passiv gekühlt) arbeitet der C1200-8T-D laut Datenblatt im Temperaturbereich 0 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-8t-d;0,54;1,74;C1200-8T-D;Cisco;standard;Stk;Cisco C1200-8T-D Catalyst 1200 Managed Switch L2 | Hexwaren;Original Cisco C1200-8T-D (Catalyst 1200): gemanagter Layer-2-Switch, 8× 1G-RJ45, Switching-Kapazität 16 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, perpetual, Limited Lifetime Warranty.;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-8T-E-2G;Cisco C1200-8T-E-2G Catalyst-1200-Managed-Switch (L2, Linux) – 8× 1G-RJ45 + 2× 1G-Combo;"<p>Der Cisco C1200-8T-E-2G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 8× 1G-RJ45 + 2× 1G-Combo ohne PoE (reine Datenports). Verwaltet wird der C1200-8T-E-2G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im Kompakt-Gehäuse liefert der C1200-8T-E-2G eine Switching-Kapazität von 20 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-8T-E-2G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 8× 1G-RJ45 + 2× 1G-Combo.</p><p>Mit 10 Ports erreicht der C1200-8T-E-2G eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,88 Mpps. Die Ports des C1200-8T-E-2G sind reine Datenports ohne PoE-Einspeisung. Über Single-IP-Management lässt sich der C1200-8T-E-2G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-8T-E-2G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-8T-E-2G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-8T-E-2G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor Kompakt-Gehäuse (1 HE; 19-Zoll-Rackmontage mit Montagekit) mit Externes Netzteil (AC-Adapter) und Lüfterlos (passiv gekühlt) arbeitet der C1200-8T-E-2G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-8t-e-2g;1,39;2,59;C1200-8T-E-2G;Cisco;standard;Stk;Cisco C1200-8T-E-2G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-8T-E-2G (Catalyst 1200): gemanagter Layer-2-Switch, 8× 1G-RJ45 + 2× 1G-Combo, Switching-Kapazität 20 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, perpetual, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-8P-E-2G;Cisco C1200-8P-E-2G Catalyst-1200-Managed-Switch (L2, Linux) – 8× 1G-RJ45 (PoE+) + 2× 1G-Combo;"<p>Der Cisco C1200-8P-E-2G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 8× 1G-RJ45 (PoE+) + 2× 1G-Combo mit 67-W-PoE+-Budget (802.3af/at). Verwaltet wird der C1200-8P-E-2G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im Kompakt-Gehäuse liefert der C1200-8P-E-2G eine Switching-Kapazität von 20 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-8P-E-2G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.</p><p>Mit 10 Ports erreicht der C1200-8P-E-2G eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,88 Mpps. Über sein PoE+-Budget von 67 W (802.3af/at, Perpetual PoE) versorgt der C1200-8P-E-2G IP-Telefone, WLAN-Access-Points und Kameras. Über Single-IP-Management lässt sich der C1200-8P-E-2G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-8P-E-2G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-8P-E-2G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-8P-E-2G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor Kompakt-Gehäuse (1 HE; 19-Zoll-Rackmontage mit Montagekit) mit Externes Netzteil (AC-Adapter) und Lüfterlos (passiv gekühlt) arbeitet der C1200-8P-E-2G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-8p-e-2g;1,53;2,73;C1200-8P-E-2G;Cisco;standard;Stk;Cisco C1200-8P-E-2G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-8P-E-2G (Catalyst 1200): gemanagter Layer-2-Switch, 8× 1G-RJ45 (PoE+) + 2× 1G-Combo, PoE+ 67 W, Switching-Kapazität 20 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-8FP-2G;Cisco C1200-8FP-2G Catalyst-1200-Managed-Switch (L2, Linux) – 8× 1G-RJ45 (PoE+) + 2× 1G-Combo;"<p>Der Cisco C1200-8FP-2G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 8× 1G-RJ45 (PoE+) + 2× 1G-Combo mit 120-W-PoE+-Budget (802.3af/at). Verwaltet wird der C1200-8FP-2G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im Kompakt-Gehäuse liefert der C1200-8FP-2G eine Switching-Kapazität von 20 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-8FP-2G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.</p><p>Mit 10 Ports erreicht der C1200-8FP-2G eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,88 Mpps. Über sein PoE+-Budget von 120 W (802.3af/at, Perpetual PoE) versorgt der C1200-8FP-2G IP-Telefone, WLAN-Access-Points und Kameras. Über Single-IP-Management lässt sich der C1200-8FP-2G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-8FP-2G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-8FP-2G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-8FP-2G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor Kompakt-Gehäuse (1 HE; 19-Zoll-Rackmontage mit Montagekit) mit Internes Netzteil (100–240 V AC) und Lüfterlos (passiv gekühlt) arbeitet der C1200-8FP-2G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-8fp-2g;1,53;2,73;C1200-8FP-2G;Cisco;standard;Stk;Cisco C1200-8FP-2G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-8FP-2G (Catalyst 1200): gemanagter Layer-2-Switch, 8× 1G-RJ45 (PoE+) + 2× 1G-Combo, PoE+ 120 W, Switching-Kapazität 20 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-16T-2G;Cisco C1200-16T-2G Catalyst-1200-Managed-Switch (L2, Linux) – 16× 1G-RJ45 + 2× 1G-SFP;"<p>Der Cisco C1200-16T-2G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 16× 1G-RJ45 + 2× 1G-SFP ohne PoE (reine Datenports). Verwaltet wird der C1200-16T-2G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im Kompakt-Gehäuse liefert der C1200-16T-2G eine Switching-Kapazität von 36 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-16T-2G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 16× 1G-RJ45 + 2× 1G-SFP.</p><p>Mit 18 Ports erreicht der C1200-16T-2G eine Switching-Kapazität von 36 Gbit/s bei einer Weiterleitungsrate von 26,78 Mpps. Die Ports des C1200-16T-2G sind reine Datenports ohne PoE-Einspeisung. Über Single-IP-Management lässt sich der C1200-16T-2G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-16T-2G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-16T-2G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-16T-2G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor Kompakt-Gehäuse (1 HE; 19-Zoll-Rackmontage mit Montagekit) mit Internes Netzteil (100–240 V AC) und Lüfterlos (passiv gekühlt) arbeitet der C1200-16T-2G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-16t-2g;1,78;2,98;C1200-16T-2G;Cisco;standard;Stk;Cisco C1200-16T-2G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-16T-2G (Catalyst 1200): gemanagter Layer-2-Switch, 16× 1G-RJ45 + 2× 1G-SFP, Switching-Kapazität 36 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, perpetual, Limited ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-16P-2G;Cisco C1200-16P-2G Catalyst-1200-Managed-Switch (L2, Linux) – 16× 1G-RJ45 (PoE+) + 2× 1G-SFP;"<p>Der Cisco C1200-16P-2G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 16× 1G-RJ45 (PoE+) + 2× 1G-SFP mit 120-W-PoE+-Budget (802.3af/at). Verwaltet wird der C1200-16P-2G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im Kompakt-Gehäuse liefert der C1200-16P-2G eine Switching-Kapazität von 36 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-16P-2G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.</p><p>Mit 18 Ports erreicht der C1200-16P-2G eine Switching-Kapazität von 36 Gbit/s bei einer Weiterleitungsrate von 26,78 Mpps. Über sein PoE+-Budget von 120 W (802.3af/at, Perpetual PoE) versorgt der C1200-16P-2G IP-Telefone, WLAN-Access-Points und Kameras. Über Single-IP-Management lässt sich der C1200-16P-2G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-16P-2G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-16P-2G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-16P-2G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor Kompakt-Gehäuse (1 HE; 19-Zoll-Rackmontage mit Montagekit) mit Internes Netzteil (100–240 V AC) und Lüfterlos (passiv gekühlt) arbeitet der C1200-16P-2G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-16p-2g;2,38;3,58;C1200-16P-2G;Cisco;standard;Stk;Cisco C1200-16P-2G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-16P-2G (Catalyst 1200): gemanagter Layer-2-Switch, 16× 1G-RJ45 (PoE+) + 2× 1G-SFP, PoE+ 120 W, Switching-Kapazität 36 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-24T-4G;Cisco C1200-24T-4G Catalyst-1200-Managed-Switch (L2, Linux) – 24× 1G-RJ45 + 4× 1G-SFP;"<p>Der Cisco C1200-24T-4G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 24× 1G-RJ45 + 4× 1G-SFP ohne PoE (reine Datenports). Verwaltet wird der C1200-24T-4G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im 19-Zoll-Gehäuse liefert der C1200-24T-4G eine Switching-Kapazität von 56 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-24T-4G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 24× 1G-RJ45 + 4× 1G-SFP.</p><p>Mit 28 Ports erreicht der C1200-24T-4G eine Switching-Kapazität von 56 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Die Ports des C1200-24T-4G sind reine Datenports ohne PoE-Einspeisung. Über Single-IP-Management lässt sich der C1200-24T-4G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-24T-4G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-24T-4G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-24T-4G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit Internes Netzteil (100–240 V AC) und Lüfterlos (passiv gekühlt) arbeitet der C1200-24T-4G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-24t-4g;2,63;3,83;C1200-24T-4G;Cisco;standard;Stk;Cisco C1200-24T-4G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-24T-4G (Catalyst 1200): gemanagter Layer-2-Switch, 24× 1G-RJ45 + 4× 1G-SFP, Switching-Kapazität 56 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, perpetual, Limited ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-24P-4G;Cisco C1200-24P-4G Catalyst-1200-Managed-Switch (L2, Linux) – 24× 1G-RJ45 (PoE+) + 4× 1G-SFP;"<p>Der Cisco C1200-24P-4G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 24× 1G-RJ45 (PoE+) + 4× 1G-SFP mit 195-W-PoE+-Budget (802.3af/at). Verwaltet wird der C1200-24P-4G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im 19-Zoll-Gehäuse liefert der C1200-24P-4G eine Switching-Kapazität von 56 Gbit/s; er ist lüfterlos und damit geräuschlos und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-24P-4G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.</p><p>Mit 28 Ports erreicht der C1200-24P-4G eine Switching-Kapazität von 56 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Über sein PoE+-Budget von 195 W (802.3af/at, Perpetual PoE) versorgt der C1200-24P-4G IP-Telefone, WLAN-Access-Points und Kameras. Über Single-IP-Management lässt sich der C1200-24P-4G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-24P-4G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-24P-4G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-24P-4G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit Internes Netzteil (100–240 V AC) und Lüfterlos (passiv gekühlt) arbeitet der C1200-24P-4G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-24p-4g;3,53;4,73;C1200-24P-4G;Cisco;standard;Stk;Cisco C1200-24P-4G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-24P-4G (Catalyst 1200): gemanagter Layer-2-Switch, 24× 1G-RJ45 (PoE+) + 4× 1G-SFP, PoE+ 195 W, Switching-Kapazität 56 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-24FP-4G;Cisco C1200-24FP-4G Catalyst-1200-Managed-Switch (L2, Linux) – 24× 1G-RJ45 (PoE+) + 4× 1G-SFP;"<p>Der Cisco C1200-24FP-4G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 24× 1G-RJ45 (PoE+) + 4× 1G-SFP mit 375-W-PoE+-Budget (802.3af/at). Verwaltet wird der C1200-24FP-4G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im 19-Zoll-Gehäuse liefert der C1200-24FP-4G eine Switching-Kapazität von 56 Gbit/s; er ist aktiv gekühlt und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-24FP-4G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 24× 1G-RJ45 (PoE+) + 4× 1G-SFP.</p><p>Mit 28 Ports erreicht der C1200-24FP-4G eine Switching-Kapazität von 56 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Über sein PoE+-Budget von 375 W (802.3af/at, Perpetual PoE) versorgt der C1200-24FP-4G IP-Telefone, WLAN-Access-Points und Kameras. Über Single-IP-Management lässt sich der C1200-24FP-4G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-24FP-4G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-24FP-4G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-24FP-4G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit Internes Netzteil (100–240 V AC) und 1 Lüfter (34,8 dBA) arbeitet der C1200-24FP-4G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-24fp-4g;4,60;5,80;C1200-24FP-4G;Cisco;standard;Stk;Cisco C1200-24FP-4G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-24FP-4G (Catalyst 1200): gemanagter Layer-2-Switch, 24× 1G-RJ45 (PoE+) + 4× 1G-SFP, PoE+ 375 W, Switching-Kapazität 56 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
C1200-48T-4G;Cisco C1200-48T-4G Catalyst-1200-Managed-Switch (L2, Linux) – 48× 1G-RJ45 + 4× 1G-SFP;"<p>Der Cisco C1200-48T-4G ist ein gemanagter Layer-2-Switch der aktuellen Catalyst-1200-Serie für kleine und mittlere Unternehmen mit 48× 1G-RJ45 + 4× 1G-SFP ohne PoE (reine Datenports). Verwaltet wird der C1200-48T-4G über Cisco Business Dashboard, die Cisco Business Mobile-App, eine moderne Web-Oberfläche und CLI – ohne Abo-Lizenz.</p><p>Im 19-Zoll-Gehäuse liefert der C1200-48T-4G eine Switching-Kapazität von 104 Gbit/s; er ist aktiv gekühlt und mit Cisco Limited Lifetime Warranty abgedeckt.</p>";"<p>Der Cisco C1200-48T-4G ist ein gemanagter Gigabit-Layer-2-Switch aus der aktuellen Catalyst-1200-Familie für kleine und mittlere Büros, Filialen und Klassenräume mit 48× 1G-RJ45 + 4× 1G-SFP.</p><p>Mit 52 Ports erreicht der C1200-48T-4G eine Switching-Kapazität von 104 Gbit/s bei einer Weiterleitungsrate von 77,38 Mpps. Die Ports des C1200-48T-4G sind reine Datenports ohne PoE-Einspeisung. Über Single-IP-Management lässt sich der C1200-48T-4G gemeinsam mit weiteren Catalyst-1200-Switches unter einer IP-Adresse verwalten. Als Layer-2-Switch beherrscht der C1200-48T-4G statisches IPv4-/IPv6-Routing mit bis zu 32 statischen Routen (kein dynamisches Routing).</p><p>Betrieben wird der C1200-48T-4G unter einem angepassten Linux-Betriebssystem (dauerhafte Lizenz ohne Abo, kein DNA); Sicherheit bietet der C1200-48T-4G mit 802.1X, ACLs, Port Security, DoS-Schutz und Storm Control, dazu 255 aktive VLANs und 8.000 MAC-Adressen. Im Formfaktor 19-Zoll-Rackmontage (1 HE) mit Internes Netzteil (100–240 V AC) und 1 Lüfter (29,7 dBA) arbeitet der C1200-48T-4G laut Datenblatt im Temperaturbereich -5 bis 50 °C. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c1200-48t-4g;3,95;5,15;C1200-48T-4G;Cisco;standard;Stk;Cisco C1200-48T-4G Catalyst 1200 Switch L2 | Hexwaren;Original Cisco C1200-48T-4G (Catalyst 1200): gemanagter Layer-2-Switch, 48× 1G-RJ45 + 4× 1G-SFP, Switching-Kapazität 104 Gbit/s. Linux-OS, Cisco Business Dashboard + Mobile-App, perpetual, Limited ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
