Artikelnummer,FAQ
R9Y03A,"Wie viele Ports hat der R9Y03A?||Der R9Y03A bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R9Y03A?||Der R9Y03A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R9Y03A stapeln (Stacking)?||Nein. Der R9Y03A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N85A,"Wie viele Ports hat der R8N85A?||Der R8N85A bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8N85A?||Der R8N85A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8N85A stapeln (Stacking)?||Nein. Der R8N85A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N86A,"Wie viele Ports hat der R8N86A?||Der R8N86A bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der R8N86A PoE?||Nein. Der R8N86A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8N86A stapeln (Stacking)?||Nein. Der R8N86A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N87A,"Wie viele Ports hat der R8N87A?||Der R8N87A bietet insgesamt 28 Ports: 24× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8N87A?||Der R8N87A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8N87A stapeln (Stacking)?||Nein. Der R8N87A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N88A,"Wie viele Ports hat der R8N88A?||Der R8N88A bietet insgesamt 28 Ports: 24× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der R8N88A PoE?||Nein. Der R8N88A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8N88A stapeln (Stacking)?||Nein. Der R8N88A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N89A,"Wie viele Ports hat der R8N89A?||Der R8N89A bietet insgesamt 16 Ports: 12× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 2× 1G-RJ45 + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8N89A?||Der R8N89A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 139 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8N89A stapeln (Stacking)?||Nein. Der R8N89A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R9Y03B,"Wie viele Ports hat der R9Y03B?||Der R9Y03B bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R9Y03B?||Der R9Y03B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R9Y03B stapeln (Stacking)?||Nein. Der R9Y03B unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N85B,"Wie viele Ports hat der R8N85B?||Der R8N85B bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8N85B?||Der R8N85B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8N85B stapeln (Stacking)?||Nein. Der R8N85B unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N86B,"Wie viele Ports hat der R8N86B?||Der R8N86B bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der R8N86B PoE?||Nein. Der R8N86B ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8N86B stapeln (Stacking)?||Nein. Der R8N86B unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N87B,"Wie viele Ports hat der R8N87B?||Der R8N87B bietet insgesamt 28 Ports: 24× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8N87B?||Der R8N87B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8N87B stapeln (Stacking)?||Nein. Der R8N87B unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N88B,"Wie viele Ports hat der R8N88B?||Der R8N88B bietet insgesamt 28 Ports: 24× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der R8N88B PoE?||Nein. Der R8N88B ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der R8N88B stapeln (Stacking)?||Nein. Der R8N88B unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
R8N89B,"Wie viele Ports hat der R8N89B?||Der R8N89B bietet insgesamt 16 Ports: 12× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 2× 1G-RJ45 + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8N89B?||Der R8N89B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 139 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8N89B stapeln (Stacking)?||Nein. Der R8N89B unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R20A,"Wie viele Ports hat der S4R20A?||Der S4R20A bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S4R20A?||Der S4R20A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S4R20A stapeln (Stacking)?||Nein. Der S4R20A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R24A,"Wie viele Ports hat der S4R24A?||Der S4R24A bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S4R24A?||Der S4R24A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S4R24A stapeln (Stacking)?||Nein. Der S4R24A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R25A,"Wie viele Ports hat der S4R25A?||Der S4R25A bietet insgesamt 52 Ports: 48× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der S4R25A PoE?||Nein. Der S4R25A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4R25A stapeln (Stacking)?||Nein. Der S4R25A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R26A,"Wie viele Ports hat der S4R26A?||Der S4R26A bietet insgesamt 28 Ports: 24× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S4R26A?||Der S4R26A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S4R26A stapeln (Stacking)?||Nein. Der S4R26A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R27A,"Wie viele Ports hat der S4R27A?||Der S4R27A bietet insgesamt 28 Ports: 24× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der S4R27A PoE?||Nein. Der S4R27A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4R27A stapeln (Stacking)?||Nein. Der S4R27A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R21A,"Wie viele Ports hat der S4R21A?||Der S4R21A bietet insgesamt 16 Ports: 12× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 2× 1G-RJ45 + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S4R21A?||Der S4R21A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 139 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S4R21A stapeln (Stacking)?||Nein. Der S4R21A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R22A,"Wie viele Ports hat der S4R22A?||Der S4R22A bietet insgesamt 10 Ports: 8× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 2× SFP (1G) (Uplink).##Unterstützt der S4R22A PoE?||Nein. Der S4R22A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4R22A stapeln (Stacking)?||Nein. Der S4R22A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R23A,"Wie viele Ports hat der S4R23A?||Der S4R23A bietet insgesamt 10 Ports: 8× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S4R23A?||Der S4R23A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 67 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S4R23A stapeln (Stacking)?||Nein. Der S4R23A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R28A,"Wie viele Ports hat der S4R28A?||Der S4R28A bietet insgesamt 10 Ports: 8× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 2× SFP (1G) (Uplink).##Unterstützt der S4R28A PoE?||Nein. Der S4R28A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4R28A stapeln (Stacking)?||Nein. Der S4R28A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
S4R29A,"Wie viele Ports hat der S4R29A?||Der S4R29A bietet insgesamt 10 Ports: 8× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 2× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S4R29A?||Der S4R29A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 67 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S4R29A stapeln (Stacking)?||Nein. Der S4R29A unterstützt kein VSF-Stacking und wird als eigenständiger Access-Switch betrieben."
