Artikelnummer,FAQ
R0X27C,"Was umfasst das R0X27C-Bundle?||Das R0X27C umfasst das Aruba-CX-6410-Chassis (R0X25C, v2), ein Management Module R0X31A und vier Lüftertrays; Linecards und Netzteile werden separat bestellt.##Wie viele Steckplätze hat der R0X27C?||Der R0X27C bietet 10 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Welche Redundanz bietet der R0X27C?||Der R0X27C bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays."
R0X24A,"Wie viele Steckplätze hat der R0X24A?||Der R0X24A bietet 5 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X24A?||Der R0X24A liefert eine System-Switching-Kapazität von 14 Tbit/s.##Welche Redundanz bietet der R0X24A?||Der R0X24A bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X24A?||Der R0X24A: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei); Kühlung: 2 Hot-Swap-Lüftertray-Schächte (Lüftertrays separat bestellt)."
R0X24C,"Wie viele Steckplätze hat der R0X24C?||Der R0X24C bietet 5 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X24C?||Der R0X24C liefert eine System-Switching-Kapazität von 14 Tbit/s.##Welche Redundanz bietet der R0X24C?||Der R0X24C bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X24C?||Der R0X24C: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei); Kühlung: 2 Hot-Swap-Lüftertray-Schächte (Lüftertrays separat bestellt)."
R0X25A,"Wie viele Steckplätze hat der R0X25A?||Der R0X25A bietet 10 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X25A?||Der R0X25A liefert eine System-Switching-Kapazität von 28 Tbit/s.##Welche Redundanz bietet der R0X25A?||Der R0X25A bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X25A?||Der R0X25A: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei); Kühlung: 4 Hot-Swap-Lüftertray-Schächte (Lüftertrays separat bestellt)."
R0X25C,"Wie viele Steckplätze hat der R0X25C?||Der R0X25C bietet 10 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X25C?||Der R0X25C liefert eine System-Switching-Kapazität von 28 Tbit/s.##Welche Redundanz bietet der R0X25C?||Der R0X25C bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X25C?||Der R0X25C: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei); Kühlung: 4 Hot-Swap-Lüftertray-Schächte (Lüftertrays separat bestellt)."
R0X26A,"Wie viele Steckplätze hat der R0X26A?||Der R0X26A bietet 5 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X26A?||Der R0X26A liefert eine System-Switching-Kapazität von 14 Tbit/s.##Welche Redundanz bietet der R0X26A?||Der R0X26A bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X26A?||Der R0X26A: Lieferausführung: 5 Linecard- + 2 Management-Steckplätze, 7 HE; Kühlung: 2 feldaustauschbare Hot-Swap-Lüftertrays (Airflow front-to-back, im Bundle)."
R0X26C,"Wie viele Steckplätze hat der R0X26C?||Der R0X26C bietet 5 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X26C?||Der R0X26C liefert eine System-Switching-Kapazität von 14 Tbit/s.##Welche Redundanz bietet der R0X26C?||Der R0X26C bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X26C?||Der R0X26C: Lieferausführung: 5 Linecard- + 2 Management-Steckplätze, 7 HE; Kühlung: 2 feldaustauschbare Hot-Swap-Lüftertrays (Airflow front-to-back, im Bundle)."
R0X27A,"Wie viele Steckplätze hat der R0X27A?||Der R0X27A bietet 10 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X27A?||Der R0X27A liefert eine System-Switching-Kapazität von 28 Tbit/s.##Welche Redundanz bietet der R0X27A?||Der R0X27A bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X27A?||Der R0X27A: Lieferausführung: 10 Linecard- + 2 Management-Steckplätze, 12 HE; Kühlung: 4 feldaustauschbare Hot-Swap-Lüftertrays (Airflow front-to-back, im Bundle)."
R0X29A,"Wie viele Steckplätze hat der R0X29A?||Der R0X29A bietet 5 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X29A?||Der R0X29A liefert eine System-Switching-Kapazität von 14 Tbit/s.##Welche Redundanz bietet der R0X29A?||Der R0X29A bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X29A?||Der R0X29A: Lieferausführung: 96× 1G-RJ45 (Class 4 PoE) + 4× SFP56, 7 HE; Kühlung: 2 feldaustauschbare Hot-Swap-Lüftertrays (Airflow front-to-back, im Bundle)."
R0X30A,"Wie viele Steckplätze hat der R0X30A?||Der R0X30A bietet 5 Linecard-Steckplätze und 2 Steckplätze für redundante Management-Module.##Wie hoch ist die Switching-Kapazität des R0X30A?||Der R0X30A liefert eine System-Switching-Kapazität von 14 Tbit/s.##Welche Redundanz bietet der R0X30A?||Der R0X30A bietet redundante Management-Module (1+1, aktiv/standby), N+1/N+N-Netzteilredundanz und Hot-Swap-Lüftertrays.##Wodurch unterscheidet sich der R0X30A?||Der R0X30A: Lieferausführung: 48× SFP+ + 8× SFP56, 7 HE; Kühlung: 2 feldaustauschbare Hot-Swap-Lüftertrays (Airflow front-to-back, im Bundle)."
