Artikelnummer,FAQ
WS-C3560-24TS-S,"Welchen Routing-Funktionsumfang hat der WS-C3560-24TS-S?||Der WS-C3560-24TS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und Inter-VLAN-Routing. Beide Images routen in Hardware (Layer 3); IP Base bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-24TS-S PoE?||Nein – der WS-C3560-24TS-S ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-Modelle der Serie).##Welche Uplinks hat der WS-C3560-24TS-S?||Der WS-C3560-24TS-S bietet 2× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 24 10/100-Zugangsports.##Ist der WS-C3560-24TS-S noch aktuell?||Der WS-C3560-24TS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-24TS-E,"Welchen Routing-Funktionsumfang hat der WS-C3560-24TS-E?||Der WS-C3560-24TS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP), IPv6 und Policy-Based Routing. Beide Images routen in Hardware (Layer 3); IP Services bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-24TS-E PoE?||Nein – der WS-C3560-24TS-E ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-Modelle der Serie).##Welche Uplinks hat der WS-C3560-24TS-E?||Der WS-C3560-24TS-E bietet 2× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 24 10/100-Zugangsports.##Ist der WS-C3560-24TS-E noch aktuell?||Der WS-C3560-24TS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-48TS-S,"Welchen Routing-Funktionsumfang hat der WS-C3560-48TS-S?||Der WS-C3560-48TS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und Inter-VLAN-Routing. Beide Images routen in Hardware (Layer 3); IP Base bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-48TS-S PoE?||Nein – der WS-C3560-48TS-S ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-Modelle der Serie).##Welche Uplinks hat der WS-C3560-48TS-S?||Der WS-C3560-48TS-S bietet 4× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 48 10/100-Zugangsports.##Ist der WS-C3560-48TS-S noch aktuell?||Der WS-C3560-48TS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-48TS-E,"Welchen Routing-Funktionsumfang hat der WS-C3560-48TS-E?||Der WS-C3560-48TS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP), IPv6 und Policy-Based Routing. Beide Images routen in Hardware (Layer 3); IP Services bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-48TS-E PoE?||Nein – der WS-C3560-48TS-E ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-Modelle der Serie).##Welche Uplinks hat der WS-C3560-48TS-E?||Der WS-C3560-48TS-E bietet 4× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 48 10/100-Zugangsports.##Ist der WS-C3560-48TS-E noch aktuell?||Der WS-C3560-48TS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-24PS-S,"Welchen Routing-Funktionsumfang hat der WS-C3560-24PS-S?||Der WS-C3560-24PS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und Inter-VLAN-Routing. Beide Images routen in Hardware (Layer 3); IP Base bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-24PS-S PoE?||Ja – der WS-C3560-24PS-S liefert PoE nach IEEE 802.3af (plus Cisco prestandard, bis 15,4 W/Port) an seinen 24 Zugangsports.##Welche Uplinks hat der WS-C3560-24PS-S?||Der WS-C3560-24PS-S bietet 2× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 24 10/100-Zugangsports.##Ist der WS-C3560-24PS-S noch aktuell?||Der WS-C3560-24PS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-24PS-E,"Welchen Routing-Funktionsumfang hat der WS-C3560-24PS-E?||Der WS-C3560-24PS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP), IPv6 und Policy-Based Routing. Beide Images routen in Hardware (Layer 3); IP Services bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-24PS-E PoE?||Ja – der WS-C3560-24PS-E liefert PoE nach IEEE 802.3af (plus Cisco prestandard, bis 15,4 W/Port) an seinen 24 Zugangsports.##Welche Uplinks hat der WS-C3560-24PS-E?||Der WS-C3560-24PS-E bietet 2× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 24 10/100-Zugangsports.##Ist der WS-C3560-24PS-E noch aktuell?||Der WS-C3560-24PS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-48PS-S,"Welchen Routing-Funktionsumfang hat der WS-C3560-48PS-S?||Der WS-C3560-48PS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und Inter-VLAN-Routing. Beide Images routen in Hardware (Layer 3); IP Base bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-48PS-S PoE?||Ja – der WS-C3560-48PS-S liefert PoE nach IEEE 802.3af (plus Cisco prestandard, bis 15,4 W/Port) an seinen 48 Zugangsports.##Welche Uplinks hat der WS-C3560-48PS-S?||Der WS-C3560-48PS-S bietet 4× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 48 10/100-Zugangsports.##Ist der WS-C3560-48PS-S noch aktuell?||Der WS-C3560-48PS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560-48PS-E,"Welchen Routing-Funktionsumfang hat der WS-C3560-48PS-E?||Der WS-C3560-48PS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP), IPv6 und Policy-Based Routing. Beide Images routen in Hardware (Layer 3); IP Services bestimmt den Funktionsumfang.##Unterstützt der WS-C3560-48PS-E PoE?||Ja – der WS-C3560-48PS-E liefert PoE nach IEEE 802.3af (plus Cisco prestandard, bis 15,4 W/Port) an seinen 48 Zugangsports.##Welche Uplinks hat der WS-C3560-48PS-E?||Der WS-C3560-48PS-E bietet 4× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 48 10/100-Zugangsports.##Ist der WS-C3560-48PS-E noch aktuell?||Der WS-C3560-48PS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560G-24TS-S,"Welchen Routing-Funktionsumfang hat der WS-C3560G-24TS-S?||Der WS-C3560G-24TS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und Inter-VLAN-Routing. Beide Images routen in Hardware (Layer 3); IP Base bestimmt den Funktionsumfang.##Unterstützt der WS-C3560G-24TS-S PoE?||Nein – der WS-C3560G-24TS-S ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-Modelle der Serie).##Welche Uplinks hat der WS-C3560G-24TS-S?||Der WS-C3560G-24TS-S bietet 4× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 24 10/100/1000-Zugangsports.##Ist der WS-C3560G-24TS-S noch aktuell?||Der WS-C3560G-24TS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3560G-24TS-E,"Welchen Routing-Funktionsumfang hat der WS-C3560G-24TS-E?||Der WS-C3560G-24TS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP), IPv6 und Policy-Based Routing. Beide Images routen in Hardware (Layer 3); IP Services bestimmt den Funktionsumfang.##Unterstützt der WS-C3560G-24TS-E PoE?||Nein – der WS-C3560G-24TS-E ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-Modelle der Serie).##Welche Uplinks hat der WS-C3560G-24TS-E?||Der WS-C3560G-24TS-E bietet 4× SFP (GbE)-Uplinks (SFP-Slots) zusätzlich zu seinen 24 10/100/1000-Zugangsports.##Ist der WS-C3560G-24TS-E noch aktuell?||Der WS-C3560G-24TS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
