Artikelnummer,FAQ
JL253A,"Wie viele Ports hat der JL253A?||Der JL253A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der JL253A PoE?||Nein. Der JL253A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL253A stapeln (Stacking)?||Ja. Der JL253A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL254A,"Wie viele Ports hat der JL254A?||Der JL254A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP+ (1/10G) (Uplink).##Unterstützt der JL254A PoE?||Nein. Der JL254A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL254A stapeln (Stacking)?||Ja. Der JL254A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL255A,"Wie viele Ports hat der JL255A?||Der JL255A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL255A?||Der JL255A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL255A stapeln (Stacking)?||Ja. Der JL255A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL256A,"Wie viele Ports hat der JL256A?||Der JL256A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL256A?||Der JL256A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL256A stapeln (Stacking)?||Ja. Der JL256A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL258A,"Wie viele Ports hat der JL258A?||Der JL258A bietet insgesamt 10 Ports: 8× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 2× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL258A?||Der JL258A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 125 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL258A stapeln (Stacking)?||Ja. Der JL258A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL259A,"Wie viele Ports hat der JL259A?||Der JL259A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der JL259A PoE?||Nein. Der JL259A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL259A stapeln (Stacking)?||Ja. Der JL259A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL260A,"Wie viele Ports hat der JL260A?||Der JL260A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der JL260A PoE?||Nein. Der JL260A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL260A stapeln (Stacking)?||Ja. Der JL260A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL261A,"Wie viele Ports hat der JL261A?||Der JL261A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des JL261A?||Der JL261A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL261A stapeln (Stacking)?||Ja. Der JL261A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL262A,"Wie viele Ports hat der JL262A?||Der JL262A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des JL262A?||Der JL262A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL262A stapeln (Stacking)?||Ja. Der JL262A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
JL263A,"Wie viele Ports hat der JL263A?||Der JL263A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE+, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL263A?||Der JL263A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL263A stapeln (Stacking)?||Ja. Der JL263A unterstützt VSF (Virtual Switching Framework, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
