Artikelnummer,Attributname,Attributwert
R9B41A,FAQ,"Welche Datenrate und Bauform hat das R9B41A?||Das R9B41A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das R9B41A?||Das R9B41A hat den Formfaktor QSFP-DD mit MPO-16-Schnittstelle.##Welche Reichweite erreicht das R9B41A?||Laut Spezifikation erreicht das R9B41A bis zu 100 m (Wellenlänge 850 nm (MMF)).##Welcher Fasertyp ist erforderlich?||Das R9B41A ist für Multimode-Glasfaser (MMF) ausgelegt.##Unterstützt das R9B41A DOM/DDM?||Ja, das R9B41A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das R9B41A?||Das R9B41A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das R9B41A typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das R9B41A mit HPE-Geräten kompatibel?||Das R9B41A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S3N90A,FAQ,"Welche Datenrate und Bauform hat das S3N90A?||Das S3N90A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S3N90A?||Das S3N90A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S3N90A?||Laut Spezifikation erreicht das S3N90A bis zu 500 m (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das S3N90A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S3N90A DOM/DDM?||Ja, das S3N90A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S3N90A?||Das S3N90A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S3N90A typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das S3N90A mit HPE-Geräten kompatibel?||Das S3N90A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S3N93A,FAQ,"Welche Datenrate und Bauform hat das S3N93A?||Das S3N93A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S3N93A?||Das S3N93A hat den Formfaktor QSFP-DD mit MPO-12-Schnittstelle.##Welche Reichweite erreicht das S3N93A?||Laut Spezifikation erreicht das S3N93A bis zu 500 m (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das S3N93A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S3N93A DOM/DDM?||Ja, das S3N93A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S3N93A?||Das S3N93A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S3N93A typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Kurzstrecke).##Ist das S3N93A mit HPE-Geräten kompatibel?||Das S3N93A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
R9B42A,FAQ,"Welche Datenrate und Bauform hat das R9B42A?||Das R9B42A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das R9B42A?||Das R9B42A hat den Formfaktor QSFP-DD mit MPO-12-Schnittstelle.##Welche Reichweite erreicht das R9B42A?||Laut Spezifikation erreicht das R9B42A bis zu 2 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das R9B42A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das R9B42A DOM/DDM?||Ja, das R9B42A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das R9B42A?||Das R9B42A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das R9B42A typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das R9B42A mit HPE-Geräten kompatibel?||Das R9B42A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S3N94A,FAQ,"Welche Datenrate und Bauform hat das S3N94A?||Das S3N94A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S3N94A?||Das S3N94A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S3N94A?||Laut Spezifikation erreicht das S3N94A bis zu 10 km (Wellenlänge 1273–1287 nm (LWDM, 4 Wellenlängen)).##Welcher Fasertyp ist erforderlich?||Das S3N94A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S3N94A DOM/DDM?||Ja, das S3N94A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S3N94A?||Das S3N94A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S3N94A typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das S3N94A mit HPE-Geräten kompatibel?||Das S3N94A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S4B35A,FAQ,"Welche Datenrate und Bauform hat das S4B35A?||Das S4B35A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S4B35A?||Das S4B35A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S4B35A?||Laut Spezifikation erreicht das S4B35A bis zu 10 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das S4B35A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S4B35A DOM/DDM?||Ja, das S4B35A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S4B35A?||Das S4B35A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S4B35A typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das S4B35A mit HPE-Geräten kompatibel?||Das S4B35A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S4B38A,FAQ,"Welche Datenrate und Bauform hat das S4B38A?||Das S4B38A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S4B38A?||Das S4B38A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S4B38A?||Laut Spezifikation erreicht das S4B38A bis zu 80 km (Wellenlänge 1550 nm).##Welcher Fasertyp ist erforderlich?||Das S4B38A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S4B38A DOM/DDM?||Ja, das S4B38A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S4B38A?||Das S4B38A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S4B38A typischerweise eingesetzt?||Typischer Einsatz: Weitverkehrsnetz (Langstrecke).##Ist das S4B38A mit HPE-Geräten kompatibel?||Das S4B38A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S3N91A,FAQ,"Welche Datenrate und Bauform hat das S3N91A?||Das S3N91A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S3N91A?||Das S3N91A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S3N91A?||Laut Spezifikation erreicht das S3N91A bis zu 2 km (Wellenlänge 1310 nm).##Welcher Fasertyp ist erforderlich?||Das S3N91A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S3N91A DOM/DDM?||Ja, das S3N91A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S3N91A?||Das S3N91A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S3N91A typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das S3N91A mit HPE-Geräten kompatibel?||Das S3N91A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S3N95A,FAQ,"Welche Datenrate und Bauform hat das S3N95A?||Das S3N95A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S3N95A?||Das S3N95A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S3N95A?||Laut Spezifikation erreicht das S3N95A bis zu 2 km (Wellenlänge 1271–1331 nm (CWDM, 4 Wellenlängen)).##Welcher Fasertyp ist erforderlich?||Das S3N95A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S3N95A DOM/DDM?||Ja, das S3N95A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S3N95A?||Das S3N95A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S3N95A typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das S3N95A mit HPE-Geräten kompatibel?||Das S3N95A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
S3N96A,FAQ,"Welche Datenrate und Bauform hat das S3N96A?||Das S3N96A ist ein QSFP-DD-Modul mit 400 Gbit/s.##Welchen Stecker und welche Schnittstelle nutzt das S3N96A?||Das S3N96A hat den Formfaktor QSFP-DD mit LC-Schnittstelle.##Welche Reichweite erreicht das S3N96A?||Laut Spezifikation erreicht das S3N96A bis zu 10 km (Wellenlänge 1273–1287 nm (LWDM, 4 Wellenlängen)).##Welcher Fasertyp ist erforderlich?||Das S3N96A ist für Singlemode-Glasfaser (SMF) ausgelegt.##Unterstützt das S3N96A DOM/DDM?||Ja, das S3N96A unterstützt Digital Optical Monitoring (DOM/DDM) zur Überwachung von Leistung, Temperatur und Spannung.##In welchem Temperaturbereich arbeitet das S3N96A?||Das S3N96A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das S3N96A typischerweise eingesetzt?||Typischer Einsatz: Campus-/Metro-Netz (Langstrecke).##Ist das S3N96A mit HPE-Geräten kompatibel?||Das S3N96A ist eine HPE-Optik-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
R9B45A,FAQ,"Welche Datenrate und Bauform hat das R9B45A?||Das R9B45A ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das R9B45A?||Das R9B45A hat eine feste Länge von 3 m (Aktives optisches Kabel (AOC)).##Benötigt das R9B45A eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##In welchem Temperaturbereich arbeitet das R9B45A?||Das R9B45A ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das R9B45A typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das R9B45A mit HPE-Geräten kompatibel?||Das R9B45A ist eine HPE-Kabel-Komponente und für den Betrieb in HPE-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
