Artikelnummer,FAQ
JH346A,"Wofür wird der JH346A verwendet?||Der HPE FlexFabric 12902E Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JH346A?||Der JH346A ist mit der Serie HPE FlexFabric 12900E (12902E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH346A ein eigenständiger Switch?||Nein. Der JH346A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
JH668A,"Wofür wird der JH668A verwendet?||Der HPE FlexFabric 12904E v2 Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JH668A?||Der JH668A ist mit der Serie HPE FlexFabric 12900E (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH668A ein eigenständiger Switch?||Nein. Der JH668A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
R9F17A,"Wofür wird der R9F17A verwendet?||Der HPE Networking 12904E Type H2 Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der R9F17A?||Der R9F17A ist mit der Serie HPE FlexFabric 12900E, Type H2 (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der R9F17A ein eigenständiger Switch?||Nein. Der R9F17A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
JH669A,"Wofür wird der JH669A verwendet?||Der HPE FlexFabric 12900E v2 Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JH669A?||Der JH669A ist mit der Serie HPE FlexFabric 12900E (12908E/12916E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH669A ein eigenständiger Switch?||Nein. Der JH669A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
JL844A,"Wofür wird der JL844A verwendet?||Der HPE Networking 12904E Type X Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JL844A?||Der JL844A ist mit der Serie HPE FlexFabric 12900E, Type X (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JL844A ein eigenständiger Switch?||Nein. Der JL844A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
JL845A,"Wofür wird der JL845A verwendet?||Der HPE Networking 12900E Type X Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JL845A?||Der JL845A ist mit der Serie HPE FlexFabric 12900E, Type X (12908E/12916E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JL845A ein eigenständiger Switch?||Nein. Der JL845A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
R9F18A,"Wofür wird der R9F18A verwendet?||Der HPE Networking 12900E Type H2 Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der R9F18A?||Der R9F18A ist mit der Serie HPE FlexFabric 12900E, Type H2 (12908E/12916E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der R9F18A ein eigenständiger Switch?||Nein. Der R9F18A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
JG621A,"Wofür wird der JG621A verwendet?||Der HPE FlexFabric 12910 Main Processing Unit ist das Management-Modul (Control-Plane/Route-Processor) für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt Routing, Switching-Steuerung und Chassis-Management.##In welche Chassis passt der JG621A?||Der JG621A ist mit der Serie HPE FlexFabric 12910 (Legacy 12900, JG619A) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JG621A ein eigenständiger Switch?||Nein. Der JG621A ist ein Management-Modul (MPU/Route-Processor) und benötigt ein kompatibles Chassis."
JH264A,"Wofür wird der JH264A verwendet?||Der HPE FlexFabric 12904E 2.5Tbps Type F Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JH264A?||Der JH264A ist mit der Serie HPE FlexFabric 12900E, Type F (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH264A ein eigenständiger Switch?||Nein. Der JH264A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
JH364A,"Wofür wird der JH364A verwendet?||Der HPE FlexFabric 12904E 7.2Tbps Type H Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JH364A?||Der JH364A ist mit der Serie HPE FlexFabric 12900E, Type H (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH364A ein eigenständiger Switch?||Nein. Der JH364A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
JL841A,"Wofür wird der JL841A verwendet?||Der HPE Networking 12904E Type X Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JL841A?||Der JL841A ist mit der Serie HPE FlexFabric 12900E, Type X (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JL841A ein eigenständiger Switch?||Nein. Der JL841A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
R9F14A,"Wofür wird der R9F14A verwendet?||Der HPE Networking 12904E Type H2 Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der R9F14A?||Der R9F14A ist mit der Serie HPE FlexFabric 12900E, Type H2 (12904E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der R9F14A ein eigenständiger Switch?||Nein. Der R9F14A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
JH257A,"Wofür wird der JH257A verwendet?||Der HPE FlexFabric 12908E 5.0Tbps Type F Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JH257A?||Der JH257A ist mit der Serie HPE FlexFabric 12900E, Type F (12908E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH257A ein eigenständiger Switch?||Nein. Der JH257A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
JH362A,"Wofür wird der JH362A verwendet?||Der HPE FlexFabric 12908E 14.4Tbps Type H Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JH362A?||Der JH362A ist mit der Serie HPE FlexFabric 12900E, Type H (12908E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH362A ein eigenständiger Switch?||Nein. Der JH362A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
JL842A,"Wofür wird der JL842A verwendet?||Der HPE Networking 12908E Type X Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JL842A?||Der JL842A ist mit der Serie HPE FlexFabric 12900E, Type X (12908E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JL842A ein eigenständiger Switch?||Nein. Der JL842A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
R9F15A,"Wofür wird der R9F15A verwendet?||Der HPE Networking 12908E Type H2 Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der R9F15A?||Der R9F15A ist mit der Serie HPE FlexFabric 12900E, Type H2 (12908E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der R9F15A ein eigenständiger Switch?||Nein. Der R9F15A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
JH252A,"Wofür wird der JH252A verwendet?||Der HPE FlexFabric 12916E 10.0Tbps Type F Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexFabric-12900E-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JH252A?||Der JH252A ist mit der Serie HPE FlexFabric 12900E, Type F (12916E) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JH252A ein eigenständiger Switch?||Nein. Der JH252A ist ein Fabric-Modul und benötigt ein kompatibles Chassis."
