Artikelnummer,FAQ
WS-C3750G-24TS-S1U,"Lässt sich der WS-C3750G-24TS-S1U stapeln?||Ja – der WS-C3750G-24TS-S1U unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-24TS-S1U?||Der WS-C3750G-24TS-S1U trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-24TS-S1U PoE?||Nein – der WS-C3750G-24TS-S1U ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-/-PD-Modelle der Serie).##Ist der WS-C3750G-24TS-S1U noch aktuell?||Der WS-C3750G-24TS-S1U ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-24TS-E1U,"Lässt sich der WS-C3750G-24TS-E1U stapeln?||Ja – der WS-C3750G-24TS-E1U unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-24TS-E1U?||Der WS-C3750G-24TS-E1U trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-24TS-E1U PoE?||Nein – der WS-C3750G-24TS-E1U ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-/-PD-Modelle der Serie).##Ist der WS-C3750G-24TS-E1U noch aktuell?||Der WS-C3750G-24TS-E1U ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-24T-S,"Lässt sich der WS-C3750G-24T-S stapeln?||Ja – der WS-C3750G-24T-S unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-24T-S?||Der WS-C3750G-24T-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-24T-S PoE?||Nein – der WS-C3750G-24T-S ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-/-PD-Modelle der Serie).##Ist der WS-C3750G-24T-S noch aktuell?||Der WS-C3750G-24T-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-24T-E,"Lässt sich der WS-C3750G-24T-E stapeln?||Ja – der WS-C3750G-24T-E unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-24T-E?||Der WS-C3750G-24T-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-24T-E PoE?||Nein – der WS-C3750G-24T-E ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-/-PD-Modelle der Serie).##Ist der WS-C3750G-24T-E noch aktuell?||Der WS-C3750G-24T-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-24PS-S,"Lässt sich der WS-C3750G-24PS-S stapeln?||Ja – der WS-C3750G-24PS-S unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-24PS-S?||Der WS-C3750G-24PS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-24PS-S PoE?||Ja – der WS-C3750G-24PS-S liefert PoE nach IEEE 802.3af (plus Cisco prestandard) an seinen Zugangsports.##Ist der WS-C3750G-24PS-S noch aktuell?||Der WS-C3750G-24PS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-24PS-E,"Lässt sich der WS-C3750G-24PS-E stapeln?||Ja – der WS-C3750G-24PS-E unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-24PS-E?||Der WS-C3750G-24PS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-24PS-E PoE?||Ja – der WS-C3750G-24PS-E liefert PoE nach IEEE 802.3af (plus Cisco prestandard) an seinen Zugangsports.##Ist der WS-C3750G-24PS-E noch aktuell?||Der WS-C3750G-24PS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-48TS-S,"Lässt sich der WS-C3750G-48TS-S stapeln?||Ja – der WS-C3750G-48TS-S unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-48TS-S?||Der WS-C3750G-48TS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-48TS-S PoE?||Nein – der WS-C3750G-48TS-S ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-/-PD-Modelle der Serie).##Ist der WS-C3750G-48TS-S noch aktuell?||Der WS-C3750G-48TS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-48TS-E,"Lässt sich der WS-C3750G-48TS-E stapeln?||Ja – der WS-C3750G-48TS-E unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-48TS-E?||Der WS-C3750G-48TS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-48TS-E PoE?||Nein – der WS-C3750G-48TS-E ist ein reiner Datenswitch ohne PoE (für PoE siehe die -PS-/-PD-Modelle der Serie).##Ist der WS-C3750G-48TS-E noch aktuell?||Der WS-C3750G-48TS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-48PS-S,"Lässt sich der WS-C3750G-48PS-S stapeln?||Ja – der WS-C3750G-48PS-S unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-48PS-S?||Der WS-C3750G-48PS-S trägt das Image IP Base – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-48PS-S PoE?||Ja – der WS-C3750G-48PS-S liefert PoE nach IEEE 802.3af (plus Cisco prestandard) an seinen Zugangsports.##Ist der WS-C3750G-48PS-S noch aktuell?||Der WS-C3750G-48PS-S ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
WS-C3750G-48PS-E,"Lässt sich der WS-C3750G-48PS-E stapeln?||Ja – der WS-C3750G-48PS-E unterstützt Cisco StackWise (32 Gbit/s Stack-Ring) und bündelt bis zu neun Einheiten zu einem logischen Switch mit gemeinsamer Verwaltung.##Welchen Routing-Funktionsumfang hat der WS-C3750G-48PS-E?||Der WS-C3750G-48PS-E trägt das Image IP Services – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing. Beide Tiers routen in Hardware (Layer 3).##Unterstützt der WS-C3750G-48PS-E PoE?||Ja – der WS-C3750G-48PS-E liefert PoE nach IEEE 802.3af (plus Cisco prestandard) an seinen Zugangsports.##Ist der WS-C3750G-48PS-E noch aktuell?||Der WS-C3750G-48PS-E ist abgekündigt (End-of-Sale 2013); als ungebrauchte Original-Hardware bleibt er für Ersatz und Bestandserweiterung erhältlich."
