Artikelnummer,FAQ
MS150-24T-4G-HW,"Benötigt der MS150-24T-4G-HW eine Lizenz?||Ja – für den Betrieb des MS150-24T-4G-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-24T-4G-HW verwaltet?||Der MS150-24T-4G-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-24T-4G-HW stapeln?||Ja – der MS150-24T-4G-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-24T-4G-HW PoE?||Nein – der MS150-24T-4G-HW ist ein reiner Datenswitch ohne PoE."
MS150-24P-4G-HW,"Benötigt der MS150-24P-4G-HW eine Lizenz?||Ja – für den Betrieb des MS150-24P-4G-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-24P-4G-HW verwaltet?||Der MS150-24P-4G-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-24P-4G-HW stapeln?||Ja – der MS150-24P-4G-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-24P-4G-HW PoE?||Ja – der MS150-24P-4G-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-24T-4X-HW,"Benötigt der MS150-24T-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-24T-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-24T-4X-HW verwaltet?||Der MS150-24T-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-24T-4X-HW stapeln?||Ja – der MS150-24T-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-24T-4X-HW PoE?||Nein – der MS150-24T-4X-HW ist ein reiner Datenswitch ohne PoE."
MS150-24P-4X-HW,"Benötigt der MS150-24P-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-24P-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-24P-4X-HW verwaltet?||Der MS150-24P-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-24P-4X-HW stapeln?||Ja – der MS150-24P-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-24P-4X-HW PoE?||Ja – der MS150-24P-4X-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-24MP-4X-HW,"Benötigt der MS150-24MP-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-24MP-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-24MP-4X-HW verwaltet?||Der MS150-24MP-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-24MP-4X-HW stapeln?||Ja – der MS150-24MP-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-24MP-4X-HW PoE?||Ja – der MS150-24MP-4X-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-48T-4G-HW,"Benötigt der MS150-48T-4G-HW eine Lizenz?||Ja – für den Betrieb des MS150-48T-4G-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48T-4G-HW verwaltet?||Der MS150-48T-4G-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48T-4G-HW stapeln?||Ja – der MS150-48T-4G-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48T-4G-HW PoE?||Nein – der MS150-48T-4G-HW ist ein reiner Datenswitch ohne PoE."
MS150-48LP-4G-HW,"Benötigt der MS150-48LP-4G-HW eine Lizenz?||Ja – für den Betrieb des MS150-48LP-4G-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48LP-4G-HW verwaltet?||Der MS150-48LP-4G-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48LP-4G-HW stapeln?||Ja – der MS150-48LP-4G-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48LP-4G-HW PoE?||Ja – der MS150-48LP-4G-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-48FP-4G-HW,"Benötigt der MS150-48FP-4G-HW eine Lizenz?||Ja – für den Betrieb des MS150-48FP-4G-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48FP-4G-HW verwaltet?||Der MS150-48FP-4G-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48FP-4G-HW stapeln?||Ja – der MS150-48FP-4G-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48FP-4G-HW PoE?||Ja – der MS150-48FP-4G-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-48T-4X-HW,"Benötigt der MS150-48T-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-48T-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48T-4X-HW verwaltet?||Der MS150-48T-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48T-4X-HW stapeln?||Ja – der MS150-48T-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48T-4X-HW PoE?||Nein – der MS150-48T-4X-HW ist ein reiner Datenswitch ohne PoE."
MS150-48LP-4X-HW,"Benötigt der MS150-48LP-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-48LP-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48LP-4X-HW verwaltet?||Der MS150-48LP-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48LP-4X-HW stapeln?||Ja – der MS150-48LP-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48LP-4X-HW PoE?||Ja – der MS150-48LP-4X-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-48FP-4X-HW,"Benötigt der MS150-48FP-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-48FP-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48FP-4X-HW verwaltet?||Der MS150-48FP-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48FP-4X-HW stapeln?||Ja – der MS150-48FP-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48FP-4X-HW PoE?||Ja – der MS150-48FP-4X-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
MS150-48MP-4X-HW,"Benötigt der MS150-48MP-4X-HW eine Lizenz?||Ja – für den Betrieb des MS150-48MP-4X-HW ist eine Cisco-Meraki-Enterprise-Lizenz (1, 3, 5, 7 oder 10 Jahre, separat erhältlich) zwingend erforderlich; ohne aktive Lizenz ist das Gerät nicht betriebsbereit.##Wie wird der MS150-48MP-4X-HW verwaltet?||Der MS150-48MP-4X-HW wird vollständig cloud-basiert über das Cisco Meraki Dashboard (Meraki OS) verwaltet – ohne lokale Kommandozeile; Konfiguration, Monitoring und Firmware laufen zentral über die Cloud.##Lässt sich der MS150-48MP-4X-HW stapeln?||Ja – der MS150-48MP-4X-HW unterstützt physisches Stacking (80 Gbit/s) und lässt sich mit weiteren Switches der Serie zu einem logischen Switch zusammenfassen.##Unterstützt der MS150-48MP-4X-HW PoE?||Ja – der MS150-48MP-4X-HW liefert Power over Ethernet an seinen Zugangsports (Budget und Standard siehe Merkmal PoE)."
