Artikelnummer,Attributname,Attributwert
C-O800-O800-1M,FAQ,"Welche Datenrate und Bauform hat das C-O800-O800-1M?||Das C-O800-O800-1M ist ein OSFP-Kabel mit 800 Gbit/s nach 800GBASE-CR8.##Welche Länge hat das C-O800-O800-1M?||Das C-O800-O800-1M hat eine feste Länge von 1 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das C-O800-O800-1M eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das C-O800-O800-1M?||Das C-O800-O800-1M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das C-O800-O800-1M?||Das C-O800-O800-1M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das C-O800-O800-1M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das C-O800-O800-1M mit Arista-Geräten kompatibel?||Das C-O800-O800-1M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
C-O800-O800-2M,FAQ,"Welche Datenrate und Bauform hat das C-O800-O800-2M?||Das C-O800-O800-2M ist ein OSFP-Kabel mit 800 Gbit/s nach 800GBASE-CR8.##Welche Länge hat das C-O800-O800-2M?||Das C-O800-O800-2M hat eine feste Länge von 2 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das C-O800-O800-2M eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das C-O800-O800-2M?||Das C-O800-O800-2M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das C-O800-O800-2M?||Das C-O800-O800-2M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das C-O800-O800-2M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das C-O800-O800-2M mit Arista-Geräten kompatibel?||Das C-O800-O800-2M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-1M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-1M?||Das A-O800-O800-1M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-1M?||Das A-O800-O800-1M hat eine feste Länge von 1 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-1M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-1M?||Das A-O800-O800-1M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-1M?||Das A-O800-O800-1M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-1M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-1M mit Arista-Geräten kompatibel?||Das A-O800-O800-1M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-3M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-3M?||Das A-O800-O800-3M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-3M?||Das A-O800-O800-3M hat eine feste Länge von 3 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-3M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-3M?||Das A-O800-O800-3M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-3M?||Das A-O800-O800-3M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-3M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-3M mit Arista-Geräten kompatibel?||Das A-O800-O800-3M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-5M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-5M?||Das A-O800-O800-5M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-5M?||Das A-O800-O800-5M hat eine feste Länge von 5 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-5M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-5M?||Das A-O800-O800-5M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-5M?||Das A-O800-O800-5M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-5M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-5M mit Arista-Geräten kompatibel?||Das A-O800-O800-5M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-7M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-7M?||Das A-O800-O800-7M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-7M?||Das A-O800-O800-7M hat eine feste Länge von 7 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-7M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-7M?||Das A-O800-O800-7M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-7M?||Das A-O800-O800-7M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-7M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-7M mit Arista-Geräten kompatibel?||Das A-O800-O800-7M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-10M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-10M?||Das A-O800-O800-10M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-10M?||Das A-O800-O800-10M hat eine feste Länge von 10 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-10M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-10M?||Das A-O800-O800-10M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-10M?||Das A-O800-O800-10M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-10M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-10M mit Arista-Geräten kompatibel?||Das A-O800-O800-10M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-15M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-15M?||Das A-O800-O800-15M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-15M?||Das A-O800-O800-15M hat eine feste Länge von 15 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-15M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-15M?||Das A-O800-O800-15M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-15M?||Das A-O800-O800-15M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-15M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-15M mit Arista-Geräten kompatibel?||Das A-O800-O800-15M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-20M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-20M?||Das A-O800-O800-20M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-20M?||Das A-O800-O800-20M hat eine feste Länge von 20 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-20M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-20M?||Das A-O800-O800-20M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-20M?||Das A-O800-O800-20M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-20M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-20M mit Arista-Geräten kompatibel?||Das A-O800-O800-20M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
A-O800-O800-25M,FAQ,"Welche Datenrate und Bauform hat das A-O800-O800-25M?||Das A-O800-O800-25M ist ein OSFP-Kabel mit 800 Gbit/s.##Welche Länge hat das A-O800-O800-25M?||Das A-O800-O800-25M hat eine feste Länge von 25 m (Aktives optisches Kabel (AOC)).##Benötigt das A-O800-O800-25M eine eigene Stromversorgung?||Das aktive optische Kabel (AOC) wird über die Hostports versorgt und benötigt kein separates Netzteil.##Welche Anschlüsse hat das A-O800-O800-25M?||Das A-O800-O800-25M ist als OSFP auf OSFP konfektioniert.##In welchem Temperaturbereich arbeitet das A-O800-O800-25M?||Das A-O800-O800-25M ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das A-O800-O800-25M typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das A-O800-O800-25M mit Arista-Geräten kompatibel?||Das A-O800-O800-25M ist eine Arista-Kabel-Komponente und für den Betrieb in Arista-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
