Artikelnummer,FAQ
IE-4000-4TC4G-E,"Wie viele Ports hat der IE-4000-4TC4G-E?||Der IE-4000-4TC4G-E bietet 4× FE-Combo (RJ45/SFP) + 4× GE-Combo-Uplink = 8 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-4TC4G-E?||Der IE-4000-4TC4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-4TC4G-E PoE?||Nein – der IE-4000-4TC4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-4TC4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-4TC4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-8T4G-E,"Wie viele Ports hat der IE-4000-8T4G-E?||Der IE-4000-8T4G-E bietet 8× FE-RJ45 + 4× GE-Combo-Uplink = 12 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-8T4G-E?||Der IE-4000-8T4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-8T4G-E PoE?||Nein – der IE-4000-8T4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-8T4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-8T4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-8S4G-E,"Wie viele Ports hat der IE-4000-8S4G-E?||Der IE-4000-8S4G-E bietet 8× FE-SFP + 4× GE-Combo-Uplink = 12 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-8S4G-E?||Der IE-4000-8S4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-8S4G-E PoE?||Nein – der IE-4000-8S4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-8S4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-8S4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-4T4P4G-E,"Wie viele Ports hat der IE-4000-4T4P4G-E?||Der IE-4000-4T4P4G-E bietet 4× FE-RJ45 + 4× FE-PoE+ (RJ45) + 4× GE-Combo-Uplink = 12 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-4T4P4G-E?||Der IE-4000-4T4P4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-4T4P4G-E PoE?||Ja – der IE-4000-4T4P4G-E speist PoE+ (IEEE 802.3at) an 4 Zugangs-Ports mit bis zu 125 W Gesamtbudget.##Läuft der IE-4000-4T4P4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-4T4P4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-16T4G-E,"Wie viele Ports hat der IE-4000-16T4G-E?||Der IE-4000-16T4G-E bietet 16× FE-RJ45 + 4× GE-Combo-Uplink = 20 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-16T4G-E?||Der IE-4000-16T4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-16T4G-E PoE?||Nein – der IE-4000-16T4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-16T4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-16T4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-4S8P4G-E,"Wie viele Ports hat der IE-4000-4S8P4G-E?||Der IE-4000-4S8P4G-E bietet 4× FE-SFP + 8× FE-PoE+ (RJ45) + 4× GE-Combo-Uplink = 16 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-4S8P4G-E?||Der IE-4000-4S8P4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-4S8P4G-E PoE?||Ja – der IE-4000-4S8P4G-E speist PoE+ (IEEE 802.3at) an 8 Zugangs-Ports mit bis zu 125 W Gesamtbudget.##Läuft der IE-4000-4S8P4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-4S8P4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-8GT4G-E,"Wie viele Ports hat der IE-4000-8GT4G-E?||Der IE-4000-8GT4G-E bietet 8× GE-RJ45 + 4× GE-Combo-Uplink = 12 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-8GT4G-E?||Der IE-4000-8GT4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-8GT4G-E PoE?||Nein – der IE-4000-8GT4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-8GT4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-8GT4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-8GS4G-E,"Wie viele Ports hat der IE-4000-8GS4G-E?||Der IE-4000-8GS4G-E bietet 8× GE-SFP + 4× GE-Combo-Uplink = 12 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-8GS4G-E?||Der IE-4000-8GS4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-8GS4G-E PoE?||Nein – der IE-4000-8GS4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-8GS4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-8GS4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-4GC4GP4G-E,"Wie viele Ports hat der IE-4000-4GC4GP4G-E?||Der IE-4000-4GC4GP4G-E bietet 4× GE-Combo (RJ45/SFP) + 4× GE-PoE+ (RJ45) + 4× GE-Combo-Uplink = 12 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-4GC4GP4G-E?||Der IE-4000-4GC4GP4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-4GC4GP4G-E PoE?||Ja – der IE-4000-4GC4GP4G-E speist PoE+ (IEEE 802.3at) an 4 Zugangs-Ports mit bis zu 125 W Gesamtbudget.##Läuft der IE-4000-4GC4GP4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-4GC4GP4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
IE-4000-16GT4G-E,"Wie viele Ports hat der IE-4000-16GT4G-E?||Der IE-4000-16GT4G-E bietet 16× GE-RJ45 + 4× GE-Combo-Uplink = 20 Ports (Zugangs-Ports plus vier GE-Combo-Uplinks für die Ring-Topologie).##Welche Industrieprotokolle und Ring-Redundanz unterstützt der IE-4000-16GT4G-E?||Der IE-4000-16GT4G-E unterstützt Ring-Redundanz nach REP, PRP, MRP und HSR sowie Industrieprotokolle wie CIP/EtherNet-IP, PROFINET und MODBUS TCP, dazu IEEE-1588-PTPv2 und Layer-2-NAT. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks.##Hat der IE-4000-16GT4G-E PoE?||Nein – der IE-4000-16GT4G-E ist ein reines Datenmodell ohne PoE-Einspeisung; PoE+-Varianten der IE4000-Serie speisen bis zu 240 W (z. B. IE-4000-8GT8GP4G-E).##Läuft der IE-4000-16GT4G-E unter Layer 2 oder Layer 3?||Im Auslieferungszustand (LAN Base) arbeitet der IE-4000-16GT4G-E als Layer-2-Switch mit statischem IPv4-Routing; das optionale IP-Services-Upgrade schaltet vollwertiges Layer 3 (OSPF, EIGRP, BGP, PBR) und MACsec-128 frei – dieselbe Hardware, nur per Lizenz."
