Artikelnummer,FAQ
WS-C3750X-24T-L,"Wie viele Ports hat der WS-C3750X-24T-L?||Der WS-C3750X-24T-L bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-24T-L stapeln?||Ja, der WS-C3750X-24T-L unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (LAN Base).##Hat der WS-C3750X-24T-L PoE?||Nein, der WS-C3750X-24T-L ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3750-X-Serie.##Routet der WS-C3750X-24T-L (LAN Base)?||Der WS-C3750X-24T-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3750X-24T-S,"Wie viele Ports hat der WS-C3750X-24T-S?||Der WS-C3750X-24T-S bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-24T-S stapeln?||Ja, der WS-C3750X-24T-S unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (IP Base).##Hat der WS-C3750X-24T-S PoE?||Nein, der WS-C3750X-24T-S ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3750-X-Serie.##Was leistet die IP Base-Lizenz des WS-C3750X-24T-S?||Der WS-C3750X-24T-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Innerhalb einer Konfiguration ist die Hardware identisch; nur die Lizenz unterscheidet sich."
WS-C3750X-24T-E,"Wie viele Ports hat der WS-C3750X-24T-E?||Der WS-C3750X-24T-E bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-24T-E stapeln?||Ja, der WS-C3750X-24T-E unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (IP Services).##Hat der WS-C3750X-24T-E PoE?||Nein, der WS-C3750X-24T-E ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3750-X-Serie.##Was leistet die IP Services-Lizenz des WS-C3750X-24T-E?||Der WS-C3750X-24T-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Innerhalb einer Konfiguration ist die Hardware identisch; nur die Lizenz unterscheidet sich."
WS-C3750X-48T-L,"Wie viele Ports hat der WS-C3750X-48T-L?||Der WS-C3750X-48T-L bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-48T-L stapeln?||Ja, der WS-C3750X-48T-L unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (LAN Base).##Hat der WS-C3750X-48T-L PoE?||Nein, der WS-C3750X-48T-L ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3750-X-Serie.##Routet der WS-C3750X-48T-L (LAN Base)?||Der WS-C3750X-48T-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3750X-48T-S,"Wie viele Ports hat der WS-C3750X-48T-S?||Der WS-C3750X-48T-S bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-48T-S stapeln?||Ja, der WS-C3750X-48T-S unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (IP Base).##Hat der WS-C3750X-48T-S PoE?||Nein, der WS-C3750X-48T-S ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3750-X-Serie.##Was leistet die IP Base-Lizenz des WS-C3750X-48T-S?||Der WS-C3750X-48T-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Innerhalb einer Konfiguration ist die Hardware identisch; nur die Lizenz unterscheidet sich."
WS-C3750X-48T-E,"Wie viele Ports hat der WS-C3750X-48T-E?||Der WS-C3750X-48T-E bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-48T-E stapeln?||Ja, der WS-C3750X-48T-E unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (IP Services).##Hat der WS-C3750X-48T-E PoE?||Nein, der WS-C3750X-48T-E ist ein Datenmodell ohne PoE-Einspeisung; PoE+-/UPOE-Varianten sind die P-/PF-/U-Modelle der 3750-X-Serie.##Was leistet die IP Services-Lizenz des WS-C3750X-48T-E?||Der WS-C3750X-48T-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Innerhalb einer Konfiguration ist die Hardware identisch; nur die Lizenz unterscheidet sich."
WS-C3750X-24P-L,"Wie viele Ports hat der WS-C3750X-24P-L?||Der WS-C3750X-24P-L bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-24P-L stapeln?||Ja, der WS-C3750X-24P-L unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (LAN Base).##Welches PoE-Budget hat der WS-C3750X-24P-L?||Der WS-C3750X-24P-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Routet der WS-C3750X-24P-L (LAN Base)?||Der WS-C3750X-24P-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3750X-24P-S,"Wie viele Ports hat der WS-C3750X-24P-S?||Der WS-C3750X-24P-S bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-24P-S stapeln?||Ja, der WS-C3750X-24P-S unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (IP Base).##Welches PoE-Budget hat der WS-C3750X-24P-S?||Der WS-C3750X-24P-S liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Base-Lizenz des WS-C3750X-24P-S?||Der WS-C3750X-24P-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Innerhalb einer Konfiguration ist die Hardware identisch; nur die Lizenz unterscheidet sich."
WS-C3750X-24P-E,"Wie viele Ports hat der WS-C3750X-24P-E?||Der WS-C3750X-24P-E bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-24P-E stapeln?||Ja, der WS-C3750X-24P-E unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (IP Services).##Welches PoE-Budget hat der WS-C3750X-24P-E?||Der WS-C3750X-24P-E liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Services-Lizenz des WS-C3750X-24P-E?||Der WS-C3750X-24P-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Innerhalb einer Konfiguration ist die Hardware identisch; nur die Lizenz unterscheidet sich."
WS-C3750X-48P-L,"Wie viele Ports hat der WS-C3750X-48P-L?||Der WS-C3750X-48P-L bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Lässt sich der WS-C3750X-48P-L stapeln?||Ja, der WS-C3750X-48P-L unterstützt Cisco StackWise Plus (bis zu 9 Einheiten, 64 Gbit/s Stack-Ring, eine Verwaltungs-IP) sowie Cisco StackPower für geteilte Stromredundanz; er läuft unter Cisco IOS (LAN Base).##Welches PoE-Budget hat der WS-C3750X-48P-L?||Der WS-C3750X-48P-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Routet der WS-C3750X-48P-L (LAN Base)?||Der WS-C3750X-48P-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
