Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
WS-C3650-24PS-L;Cisco Catalyst 3650 24-Port PoE+ Switch 4× 1G LAN Base (WS-C3650-24PS-L);"<p>Der Cisco WS-C3650-24PS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 24× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und vier festen 1G-SFP-Uplinks. Der WS-C3650-24PS-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-24PS-L stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-24PS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit LAN Base-Lizenz, 24 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24PS-L eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-24PS-L Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-24PS-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-24PS-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing).</p><p>Der WS-C3650-24PS-L stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-24PS-L als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-24ps-l;7,26;8,76;WS-C3650-24PS-L;Cisco;standard;Stk;Cisco WS-C3650-24PS-L 3650 4× 1G LAN Base | Hexwaren;Original Cisco WS-C3650-24PS-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-PoE+-Switch, 24× 1G + 4× 1G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 92 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
WS-C3650-24PS-S;Cisco Catalyst 3650 24-Port PoE+ Switch 4× 1G IP Base (WS-C3650-24PS-S);"<p>Der Cisco WS-C3650-24PS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 24× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und vier festen 1G-SFP-Uplinks. Der WS-C3650-24PS-S läuft unter Cisco IOS XE mit IP Base-Lizenz.</p><p>Der WS-C3650-24PS-S stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-24PS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit IP Base-Lizenz, 24 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24PS-S eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-24PS-S Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-24PS-S an die Aggregation an. Mit der IP Base-Lizenz beherrscht der WS-C3650-24PS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR, VRF-Lite).</p><p>Der WS-C3650-24PS-S stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-24PS-S als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-24ps-s;7,26;8,76;WS-C3650-24PS-S;Cisco;standard;Stk;Cisco WS-C3650-24PS-S Catalyst 3650 4× 1G IP Base | Hexwaren;Original Cisco WS-C3650-24PS-S (Catalyst 3650, IP Base): stapelbarer Layer 3-Gigabit-PoE+-Switch, 24× 1G + 4× 1G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-24PS-E;Cisco Catalyst 3650 24-Port PoE+ Switch 4× 1G IP Services (WS-C3650-24PS-E);"<p>Der Cisco WS-C3650-24PS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 24× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und vier festen 1G-SFP-Uplinks. Der WS-C3650-24PS-E läuft unter Cisco IOS XE mit IP Services-Lizenz.</p><p>Der WS-C3650-24PS-E stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-24PS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit IP Services-Lizenz, 24 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24PS-E eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-24PS-E Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-24PS-E an die Aggregation an. Mit der IP Services-Lizenz beherrscht der WS-C3650-24PS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, IPv6/OSPFv3).</p><p>Der WS-C3650-24PS-E stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-24PS-E als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-24ps-e;7,26;8,76;WS-C3650-24PS-E;Cisco;standard;Stk;Cisco WS-C3650-24PS-E 3650 4× 1G IP Services | Hexwaren;Original Cisco WS-C3650-24PS-E (Catalyst 3650, IP Services): stapelbarer Layer 3-Gigabit-PoE+-Switch, 24× 1G + 4× 1G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 92 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48PS-L;Cisco Catalyst 3650 48-Port PoE+ Switch 4× 1G LAN Base (WS-C3650-48PS-L);"<p>Der Cisco WS-C3650-48PS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 48× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und vier festen 1G-SFP-Uplinks. Der WS-C3650-48PS-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-48PS-L stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-48PS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit LAN Base-Lizenz, 48 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48PS-L eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-48PS-L Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48PS-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-48PS-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing).</p><p>Der WS-C3650-48PS-L stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-48PS-L als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-48ps-l;7,60;9,10;WS-C3650-48PS-L;Cisco;standard;Stk;Cisco WS-C3650-48PS-L 3650 4× 1G LAN Base | Hexwaren;Original Cisco WS-C3650-48PS-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-PoE+-Switch, 48× 1G + 4× 1G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 176 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
WS-C3650-48PS-S;Cisco Catalyst 3650 48-Port PoE+ Switch 4× 1G IP Base (WS-C3650-48PS-S);"<p>Der Cisco WS-C3650-48PS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 48× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und vier festen 1G-SFP-Uplinks. Der WS-C3650-48PS-S läuft unter Cisco IOS XE mit IP Base-Lizenz.</p><p>Der WS-C3650-48PS-S stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-48PS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit IP Base-Lizenz, 48 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48PS-S eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-48PS-S Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48PS-S an die Aggregation an. Mit der IP Base-Lizenz beherrscht der WS-C3650-48PS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR, VRF-Lite).</p><p>Der WS-C3650-48PS-S stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-48PS-S als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-48ps-s;7,60;9,10;WS-C3650-48PS-S;Cisco;standard;Stk;Cisco WS-C3650-48PS-S Catalyst 3650 4× 1G IP Base | Hexwaren;Original Cisco WS-C3650-48PS-S (Catalyst 3650, IP Base): stapelbarer Layer 3-Gigabit-PoE+-Switch, 48× 1G + 4× 1G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 176 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48PS-E;Cisco Catalyst 3650 48-Port PoE+ Switch 4× 1G IP Services (WS-C3650-48PS-E);"<p>Der Cisco WS-C3650-48PS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 48× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und vier festen 1G-SFP-Uplinks. Der WS-C3650-48PS-E läuft unter Cisco IOS XE mit IP Services-Lizenz.</p><p>Der WS-C3650-48PS-E stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-48PS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit IP Services-Lizenz, 48 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48PS-E eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-48PS-E Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48PS-E an die Aggregation an. Mit der IP Services-Lizenz beherrscht der WS-C3650-48PS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, IPv6/OSPFv3).</p><p>Der WS-C3650-48PS-E stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-48PS-E als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-48ps-e;7,60;9,10;WS-C3650-48PS-E;Cisco;standard;Stk;Cisco WS-C3650-48PS-E 3650 4× 1G IP Services | Hexwaren;Original Cisco WS-C3650-48PS-E (Catalyst 3650, IP Services): stapelbarer Layer 3-Gigabit-PoE+-Switch, 48× 1G + 4× 1G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 176 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48FS-L;Cisco Catalyst 3650 48-Port Full-PoE+ Switch 4× 1G LAN Base (WS-C3650-48FS-L);"<p>Der Cisco WS-C3650-48FS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 48× 10/100/1000-PoE+-Ports mit vollem PoE+-Budget (alle 48 Ports, 775 W) und vier festen 1G-SFP-Uplinks. Der WS-C3650-48FS-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-48FS-L stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-48FS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein Voll-PoE+-Access-Switch (775 W) mit LAN Base-Lizenz, 48 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48FS-L eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Mit vollem PoE+-Budget von 775 W versorgt der WS-C3650-48FS-L alle 48 Ports gleichzeitig mit 30 W (IEEE 802.3at) für Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48FS-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-48FS-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing).</p><p>Der WS-C3650-48FS-L stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 1025-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-48FS-L als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-48fs-l;7,80;9,30;WS-C3650-48FS-L;Cisco;standard;Stk;Cisco WS-C3650-48FS-L 3650 4× 1G LAN Base | Hexwaren;Original Cisco WS-C3650-48FS-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-PoE+-Switch, 48× 1G + 4× 1G-Uplink, 775 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 176 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
WS-C3650-48FS-S;Cisco Catalyst 3650 48-Port Full-PoE+ Switch 4× 1G IP Base (WS-C3650-48FS-S);"<p>Der Cisco WS-C3650-48FS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 48× 10/100/1000-PoE+-Ports mit vollem PoE+-Budget (alle 48 Ports, 775 W) und vier festen 1G-SFP-Uplinks. Der WS-C3650-48FS-S läuft unter Cisco IOS XE mit IP Base-Lizenz.</p><p>Der WS-C3650-48FS-S stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-48FS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein Voll-PoE+-Access-Switch (775 W) mit IP Base-Lizenz, 48 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48FS-S eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Mit vollem PoE+-Budget von 775 W versorgt der WS-C3650-48FS-S alle 48 Ports gleichzeitig mit 30 W (IEEE 802.3at) für Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48FS-S an die Aggregation an. Mit der IP Base-Lizenz beherrscht der WS-C3650-48FS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR, VRF-Lite).</p><p>Der WS-C3650-48FS-S stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 1025-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-48FS-S als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-48fs-s;7,80;9,30;WS-C3650-48FS-S;Cisco;standard;Stk;Cisco WS-C3650-48FS-S Catalyst 3650 4× 1G IP Base | Hexwaren;Original Cisco WS-C3650-48FS-S (Catalyst 3650, IP Base): stapelbarer Layer 3-Gigabit-PoE+-Switch, 48× 1G + 4× 1G-Uplink, 775 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 176 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48FS-E;Cisco Catalyst 3650 48-Port Full-PoE+ Switch 4× 1G IP Services (WS-C3650-48FS-E);"<p>Der Cisco WS-C3650-48FS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 48× 10/100/1000-PoE+-Ports mit vollem PoE+-Budget (alle 48 Ports, 775 W) und vier festen 1G-SFP-Uplinks. Der WS-C3650-48FS-E läuft unter Cisco IOS XE mit IP Services-Lizenz.</p><p>Der WS-C3650-48FS-E stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-48FS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein Voll-PoE+-Access-Switch (775 W) mit IP Services-Lizenz, 48 PoE+-Ports und 4× 1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48FS-E eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Mit vollem PoE+-Budget von 775 W versorgt der WS-C3650-48FS-E alle 48 Ports gleichzeitig mit 30 W (IEEE 802.3at) für Telefone, WLAN-Access-Points und Kameras. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48FS-E an die Aggregation an. Mit der IP Services-Lizenz beherrscht der WS-C3650-48FS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, IPv6/OSPFv3).</p><p>Der WS-C3650-48FS-E stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 1025-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-48FS-E als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-48fs-e;7,80;9,30;WS-C3650-48FS-E;Cisco;standard;Stk;Cisco WS-C3650-48FS-E 3650 4× 1G IP Services | Hexwaren;Original Cisco WS-C3650-48FS-E (Catalyst 3650, IP Services): stapelbarer Layer 3-Gigabit-PoE+-Switch, 48× 1G + 4× 1G-Uplink, 775 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 176 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-24PD-L;Cisco Catalyst 3650 24-Port PoE+ Switch 2× 10G LAN Base (WS-C3650-24PD-L);"<p>Der Cisco WS-C3650-24PD-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Access-Switch der Catalyst-3650-Serie für den Enterprise-/Branch-Campus mit 24× 10/100/1000-PoE+-Ports mit 390-W-PoE+-Budget und zwei 10G-SFP+- und zwei 1G-SFP-Uplinks (fest). Der WS-C3650-24PD-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-24PD-L stapelt per optionalem Cisco StackWise-160-Modul bis zu neun Einheiten (160 Gbit/s); er verschlüsselt Access-Links per MACsec (802.1AE, AES-128) und trägt Cisco E-LLW.</p>";<p>Der Cisco WS-C3650-24PD-L ist ein stapelbarer gemanagter Layer 2-Gigabit-PoE+-Switch aus der Catalyst-3650-Familie für den Enterprise-/Branch-Campus-Access – ein PoE+-Access-Switch mit LAN Base-Lizenz, 24 PoE+-Ports und 2× 10G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24PD-L eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 68,45 Mpps. Über sein PoE+-Budget von 390 W (IEEE 802.3at, bis 30 W/Port) versorgt der WS-C3650-24PD-L Telefone, WLAN-Access-Points und Kameras. Zwei feste 10G-SFP+-Uplinks (plus zwei 1G-SFP) tragen beim WS-C3650-24PD-L den High-Speed-Backhaul. Mit der LAN Base-Lizenz beherrscht der WS-C3650-24PD-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing).</p><p>Der WS-C3650-24PD-L stapelt per optionalem StackWise-160-Modul bis zu neun Einheiten zu einem System, kühlt aktiv über drei austauschbare Lüfter und arbeitet mit modularen, redundanten Netzteilen (ein 640-W-AC-Netzteil im Lieferumfang, ein zweites optional) im Bereich -5 bis 45 °C. Als abgekündigtes Modell (End-of-Sale) bleibt der WS-C3650-24PD-L als Original-Hardware erhältlich – der Nachfolger ist der Catalyst 9300 – und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>;cisco/ws-c3650-24pd-l;7,26;8,76;WS-C3650-24PD-L;Cisco;standard;Stk;Cisco WS-C3650-24PD-L 3650 2× 10G LAN Base | Hexwaren;Original Cisco WS-C3650-24PD-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-PoE+-Switch, 24× 1G + 2× 10G-Uplink, 390 W PoE, MACsec. Cisco IOS XE, Switching-Kapazität 92 Gbit/s, E-LLW ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
