Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
FN-TRAN-SFP-1BD10;Fortinet FN-TRAN-SFP-1BD10 1 GE SFP-BiDi-Transceiver – Singlemode-Glasfaser, Single LC, 10 km;<p>Das Fortinet FN-TRAN-SFP-1BD10 ist ein 1-Gigabit-SFP-BiDi-Transceiver für Singlemode-Glasfaser. Mit Single-LC-Anschluss überbrückt es bis zu 10 km und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP+-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei TX 1490 nm / RX 1310 nm.</p>;"<p>Das Fortinet FN-TRAN-SFP-1BD10 ist ein 1-Gigabit-BiDi-Transceiver im SFP-Formfaktor, der für den Betrieb über Singlemode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Senden und Empfangen erfolgen über getrennte Wellenlängen (TX 1490 nm / RX 1310 nm). Über den Single-LC-Anschluss überbrückt das Modul Strecken von bis zu 10 km, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt die Betriebswellenlänge TX 1490 nm / RX 1310 nm, die Reichweite 10 km; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-sfp-1bd10;0,02;0,15;FN-TRAN-SFP-1BD10;Fortinet;standard;Stk;Fortinet FN-TRAN-SFP-1BD10 1G SFP 10 km | Hexwaren;Original Fortinet FN-TRAN-SFP-1BD10 1-Gigabit-SFP-BiDi-Transceiver für Singlemode: Single LC, 10 km, TX 1490 nm / RX 1310 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-SFP-1BU10;Fortinet FN-TRAN-SFP-1BU10 1 GE SFP-BiDi-Transceiver – Singlemode-Glasfaser, Single LC, 10 km;<p>Das Fortinet FN-TRAN-SFP-1BU10 ist ein 1-Gigabit-SFP-BiDi-Transceiver für Singlemode-Glasfaser. Mit Single-LC-Anschluss überbrückt es bis zu 10 km und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP+-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei TX 1310 nm / RX 1490 nm.</p>;"<p>Das Fortinet FN-TRAN-SFP-1BU10 ist ein 1-Gigabit-BiDi-Transceiver im SFP-Formfaktor, der für den Betrieb über Singlemode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Senden und Empfangen erfolgen über getrennte Wellenlängen (TX 1310 nm / RX 1490 nm). Über den Single-LC-Anschluss überbrückt das Modul Strecken von bis zu 10 km, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt die Betriebswellenlänge TX 1310 nm / RX 1490 nm, die Reichweite 10 km; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-sfp-1bu10;0,02;0,15;FN-TRAN-SFP-1BU10;Fortinet;standard;Stk;Fortinet FN-TRAN-SFP-1BU10 1G SFP 10 km | Hexwaren;Original Fortinet FN-TRAN-SFP-1BU10 1-Gigabit-SFP-BiDi-Transceiver für Singlemode: Single LC, 10 km, TX 1310 nm / RX 1490 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-SFP-1BD40;Fortinet FN-TRAN-SFP-1BD40 1 GE SFP-BiDi-Transceiver – Singlemode-Glasfaser, Single LC, 40 km;<p>Das Fortinet FN-TRAN-SFP-1BD40 ist ein 1-Gigabit-SFP-BiDi-Transceiver für Singlemode-Glasfaser. Mit Single-LC-Anschluss überbrückt es bis zu 40 km und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP+-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei TX 1490 nm / RX 1310 nm.</p>;"<p>Das Fortinet FN-TRAN-SFP-1BD40 ist ein 1-Gigabit-BiDi-Transceiver im SFP-Formfaktor, der für den Betrieb über Singlemode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Senden und Empfangen erfolgen über getrennte Wellenlängen (TX 1490 nm / RX 1310 nm). Über den Single-LC-Anschluss überbrückt das Modul Strecken von bis zu 40 km, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt die Betriebswellenlänge TX 1490 nm / RX 1310 nm, die Reichweite 40 km; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-sfp-1bd40;0,02;0,15;FN-TRAN-SFP-1BD40;Fortinet;standard;Stk;Fortinet FN-TRAN-SFP-1BD40 1G SFP 40 km | Hexwaren;Original Fortinet FN-TRAN-SFP-1BD40 1-Gigabit-SFP-BiDi-Transceiver für Singlemode: Single LC, 40 km, TX 1490 nm / RX 1310 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-SFP-1BU40;Fortinet FN-TRAN-SFP-1BU40 1 GE SFP-BiDi-Transceiver – Singlemode-Glasfaser, Single LC, 40 km;<p>Das Fortinet FN-TRAN-SFP-1BU40 ist ein 1-Gigabit-SFP-BiDi-Transceiver für Singlemode-Glasfaser. Mit Single-LC-Anschluss überbrückt es bis zu 40 km und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP+-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei TX 1310 nm / RX 1490 nm.</p>;"<p>Das Fortinet FN-TRAN-SFP-1BU40 ist ein 1-Gigabit-BiDi-Transceiver im SFP-Formfaktor, der für den Betrieb über Singlemode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Senden und Empfangen erfolgen über getrennte Wellenlängen (TX 1310 nm / RX 1490 nm). Über den Single-LC-Anschluss überbrückt das Modul Strecken von bis zu 40 km, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP+-Steckplätzen vorgesehen. Laut Datenblatt die Betriebswellenlänge TX 1310 nm / RX 1490 nm, die Reichweite 40 km; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-sfp-1bu40;0,02;0,15;FN-TRAN-SFP-1BU40;Fortinet;standard;Stk;Fortinet FN-TRAN-SFP-1BU40 1G SFP 40 km | Hexwaren;Original Fortinet FN-TRAN-SFP-1BU40 1-Gigabit-SFP-BiDi-Transceiver für Singlemode: Single LC, 40 km, TX 1310 nm / RX 1490 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-LX;Fortinet FN-TRAN-LX 1 GE SFP-Transceiver – Singlemode-Glasfaser, Duplex LC, 10 km;<p>Das Fortinet FN-TRAN-LX ist ein 1-Gigabit-SFP-Transceiver für Singlemode-Glasfaser. Mit Duplex-LC-Anschluss überbrückt es bis zu 10 km und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP/SFP+-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei 1310 nm.</p>;"<p>Das Fortinet FN-TRAN-LX ist ein 1-Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Singlemode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den Duplex-LC-Anschluss überbrückt das Modul Strecken von bis zu 10 km, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP/SFP+-Steckplätzen vorgesehen. Die Auslieferung des FN-TRAN-LX erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt der Transceiver-Typ LX, die Betriebswellenlänge 1310 nm, die Reichweite 10 km; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-lx;0,02;0,15;FN-TRAN-LX;Fortinet;standard;Stk;Fortinet FN-TRAN-LX 1G SFP 10 km | Hexwaren;Original Fortinet FN-TRAN-LX 1-Gigabit-SFP-Transceiver für Singlemode: Duplex LC, 10 km, 1310 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-GC;Fortinet FN-TRAN-GC 1 GE SFP-Transceiver – Kupfer (Twisted-Pair), RJ-45, 100 m;<p>Das Fortinet FN-TRAN-GC ist ein 1-Gigabit-SFP-Transceiver mit RJ45-Anschluss für Kupferverkabelung. Es bindet kupferbasierte Verbindungen über bis zu 100 m an einen SFP-Steckplatz an und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP/ SFP+-Steckplätzen vorgesehen.</p>;"<p>Das Fortinet FN-TRAN-GC ist ein 1-Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Kupfer (Twisted-Pair) ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Über den RJ45-Anschluss überbrückt das Modul Strecken von bis zu 100 m, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP/ SFP+-Steckplätzen vorgesehen. Die Auslieferung des FN-TRAN-GC erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Reichweite 100 m; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-gc;0,02;0,15;FN-TRAN-GC;Fortinet;standard;Stk;Fortinet FN-TRAN-GC 1G SFP 100 m | Hexwaren;Original Fortinet FN-TRAN-GC 1-Gigabit-SFP-Transceiver für Kupfer: RJ-45, 100 m. Neu, versiegelt, auf Fortinet-Appliances getestet, für Systeme mit SFP/ SFP+-Steckplätzen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-SX;Fortinet FN-TRAN-SX 1 GE SFP-Transceiver – Multimode-Glasfaser, Duplex LC, 500 m;<p>Das Fortinet FN-TRAN-SX ist ein 1-Gigabit-SFP-Transceiver für Multimode-Glasfaser. Mit Duplex-LC-Anschluss überbrückt es bis zu 500 m und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei 850 nm.</p>;"<p>Das Fortinet FN-TRAN-SX ist ein 1-Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Multimode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Die Wellenlänge beträgt 850 nm. Über den Duplex-LC-Anschluss überbrückt das Modul Strecken von bis zu 500 m, der getestete Betriebstemperaturbereich reicht von -20 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP-Steckplätzen vorgesehen. Die Auslieferung des FN-TRAN-SX erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt der Transceiver-Typ SX, die Betriebswellenlänge 850 nm, die Reichweite 500 m; der Betriebstemperaturbereich liegt bei -20 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-sx;0,02;0,15;FN-TRAN-SX;Fortinet;standard;Stk;Fortinet FN-TRAN-SX 1G SFP 500 m | Hexwaren;Original Fortinet FN-TRAN-SX 1-Gigabit-SFP-Transceiver für Multimode: Duplex LC, 500 m, 850 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-SXI-4PACK;Fortinet FN-TRAN-SXI-4PACK 1 GE SFP-Transceiver – Multimode-Glasfaser, Duplex LC, 500 m;<p>Das Fortinet FN-TRAN-SXI-4PACK ist ein 1-Gigabit-SFP-Transceiver für Multimode-Glasfaser. Mit Duplex-LC-Anschluss überbrückt es bis zu 500 m und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP-Steckplätzen vorgesehen. Es wird als 4er-Pack geliefert.</p>;"<p>Das Fortinet FN-TRAN-SXI-4PACK ist ein 4er-Pack 1-Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Multimode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Die Wellenlänge beträgt 850 nm. Über den Duplex-LC-Anschluss überbrückt das Modul Strecken von bis zu 500 m, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP-Steckplätzen vorgesehen. Es wird als 4er-Pack geliefert. Laut Datenblatt die Betriebswellenlänge 850 nm, die Reichweite 500 m; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-sxi-4pack;0,02;0,15;FN-TRAN-SXI-4PACK;Fortinet;standard;Stk;Fortinet FN-TRAN-SXI-4PACK 1G SFP 500 m | Hexwaren;Original Fortinet FN-TRAN-SXI-4PACK 1-Gigabit-SFP-Transceiver für Multimode: Duplex LC, 500 m, 850 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FR-TRAN-SX;Fortinet FR-TRAN-SX 1 GE SFP-Transceiver – Multimode-Glasfaser, Duplex LC, 500 m;<p>Das Fortinet FR-TRAN-SX ist ein 1-Gigabit-SFP-Transceiver für Multimode-Glasfaser. Mit Duplex-LC-Anschluss überbrückt es bis zu 500 m und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP-Steckplätzen vorgesehen. Die optische Übertragung erfolgt bei 850 nm.</p>;"<p>Das Fortinet FR-TRAN-SX ist ein 1-Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Multimode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Die Wellenlänge beträgt 850 nm. Über den Duplex-LC-Anschluss überbrückt das Modul Strecken von bis zu 500 m, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP-Steckplätzen vorgesehen. Die Auslieferung des FR-TRAN-SX erfolgt als versiegelte Neuware für den direkten Produktiv- oder Ersatzeinsatz. Laut Datenblatt die Betriebswellenlänge 850 nm, die Reichweite 500 m; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fr-tran-sx;0,02;0,15;FR-TRAN-SX;Fortinet;standard;Stk;Fortinet FR-TRAN-SX 1G SFP 500 m | Hexwaren;Original Fortinet FR-TRAN-SX 1-Gigabit-SFP-Transceiver für Multimode: Duplex LC, 500 m, 850 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
FN-TRAN-EX-4PACK;Fortinet FN-TRAN-EX-4PACK 1 GE SFP-Transceiver – Singlemode-Glasfaser, Duplex LC, 40 km;<p>Das Fortinet FN-TRAN-EX-4PACK ist ein 1-Gigabit-SFP-Transceiver für Singlemode-Glasfaser. Mit Duplex-LC-Anschluss überbrückt es bis zu 40 km und ist auf die Kompatibilität mit Fortinet-Appliances getestet.</p><p>Als Original-Fortinet-Neuware wird das Modul versiegelt geliefert und ist für Systeme mit SFP/SFP+-Steckplätzen vorgesehen. Es wird als 4er-Pack geliefert.</p>;"<p>Das Fortinet FN-TRAN-EX-4PACK ist ein 4er-Pack 1-Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Singlemode-Glasfaser ausgelegt und auf die Verwendung in Fortinet-Appliances abgestimmt ist.</p><p>Die Wellenlänge beträgt 1310 nm. Über den Duplex-LC-Anschluss überbrückt das Modul Strecken von bis zu 40 km, der getestete Betriebstemperaturbereich reicht von -40 °C bis 85 °C.</p><p>Als Original-Fortinet-Neuware ist das Modul versiegelt, im laufenden Betrieb tauschbar (Hot-Plug) und für Systeme mit SFP/SFP+-Steckplätzen vorgesehen. Es wird als 4er-Pack geliefert. Laut Datenblatt der Transceiver-Typ EX, die Betriebswellenlänge 1310 nm, die Reichweite 40 km; der Betriebstemperaturbereich liegt bei -40 °C bis 85 °C. Originaler Fortinet-Transceiver für den professionellen Einsatz in Fortinet-Netzwerkumgebungen.</p>";fortinet/fn-tran-ex-4pack;0,02;0,15;FN-TRAN-EX-4PACK;Fortinet;standard;Stk;Fortinet FN-TRAN-EX-4PACK 1G SFP 40 km | Hexwaren;Original Fortinet FN-TRAN-EX-4PACK 1-Gigabit-SFP-Transceiver für Singlemode: Duplex LC, 40 km, 1310 nm. Neu, versiegelt, auf Fortinet-Appliances getestet.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
