Artikelnummer,FAQ
IE-3500-8T3S-E,"Wie viele Ports hat der IE-3500-8T3S-E?||Der IE-3500-8T3S-E ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Essentials-Lizenz des IE-3500-8T3S-E?||Der IE-3500-8T3S-E trägt die Network Essentials-Lizenz: echtes Layer-3-Routing mit OSPF, OSPFv3, RIP und PBR sowie Inter-VLAN-/statischem Routing und MACsec-128. Für BGP/IS-IS/EIGRP, VRF-lite, MACsec-256 und Cisco TrustSec gibt es dieselbe Hardware als -A-Variante (Network Advantage).##Hat der IE-3500-8T3S-E PoE?||Nein, der IE-3500-8T3S-E ist ein Datenmodell ohne PoE; PoE-Varianten der Serie sind die 8P3S (PoE+, 240 W) und das 8U3X (4-Paar-PoE/802.3bt Typ 4, 90 W, 480 W).##Welche Uplinks hat der IE-3500-8T3S-E?||Der IE-3500-8T3S-E besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3500-8T3S-E?||Der IE-3500-8T3S-E unterstützt REP- und MRP-Ring-Redundanz; verlustfreie DLR/HSR/PRP-Redundanz bieten die IE3505-Varianten der Serie. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3500-8T3S-A,"Wie viele Ports hat der IE-3500-8T3S-A?||Der IE-3500-8T3S-A ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Advantage-Lizenz des IE-3500-8T3S-A?||Der IE-3500-8T3S-A trägt die Network Advantage-Lizenz: zusätzlich zum Basis-Routing erweitertes dynamisches Routing (BGP, IS-IS, EIGRP), VRF-lite, MACsec-256, Cisco TrustSec mit SGT/SGACL und PIM-Multicast. Die -E-Variante (Network Essentials) bietet bereits OSPF, RIP, PBR und MACsec-128.##Hat der IE-3500-8T3S-A PoE?||Nein, der IE-3500-8T3S-A ist ein Datenmodell ohne PoE; PoE-Varianten der Serie sind die 8P3S (PoE+, 240 W) und das 8U3X (4-Paar-PoE/802.3bt Typ 4, 90 W, 480 W).##Welche Uplinks hat der IE-3500-8T3S-A?||Der IE-3500-8T3S-A besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3500-8T3S-A?||Der IE-3500-8T3S-A unterstützt REP- und MRP-Ring-Redundanz; verlustfreie DLR/HSR/PRP-Redundanz bieten die IE3505-Varianten der Serie. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3500-8P3S-E,"Wie viele Ports hat der IE-3500-8P3S-E?||Der IE-3500-8P3S-E ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Essentials-Lizenz des IE-3500-8P3S-E?||Der IE-3500-8P3S-E trägt die Network Essentials-Lizenz: echtes Layer-3-Routing mit OSPF, OSPFv3, RIP und PBR sowie Inter-VLAN-/statischem Routing und MACsec-128. Für BGP/IS-IS/EIGRP, VRF-lite, MACsec-256 und Cisco TrustSec gibt es dieselbe Hardware als -A-Variante (Network Advantage).##Welches PoE-Budget hat der IE-3500-8P3S-E?||Der IE-3500-8P3S-E liefert PoE+ nach IEEE 802.3af/at (bis 30 W/Port) mit insgesamt 240 W für Industriekameras, Sensoren und Access-Points.##Welche Uplinks hat der IE-3500-8P3S-E?||Der IE-3500-8P3S-E besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3500-8P3S-E?||Der IE-3500-8P3S-E unterstützt REP- und MRP-Ring-Redundanz; verlustfreie DLR/HSR/PRP-Redundanz bieten die IE3505-Varianten der Serie. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3500-8P3S-A,"Wie viele Ports hat der IE-3500-8P3S-A?||Der IE-3500-8P3S-A ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Advantage-Lizenz des IE-3500-8P3S-A?||Der IE-3500-8P3S-A trägt die Network Advantage-Lizenz: zusätzlich zum Basis-Routing erweitertes dynamisches Routing (BGP, IS-IS, EIGRP), VRF-lite, MACsec-256, Cisco TrustSec mit SGT/SGACL und PIM-Multicast. Die -E-Variante (Network Essentials) bietet bereits OSPF, RIP, PBR und MACsec-128.##Welches PoE-Budget hat der IE-3500-8P3S-A?||Der IE-3500-8P3S-A liefert PoE+ nach IEEE 802.3af/at (bis 30 W/Port) mit insgesamt 240 W für Industriekameras, Sensoren und Access-Points.##Welche Uplinks hat der IE-3500-8P3S-A?||Der IE-3500-8P3S-A besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3500-8P3S-A?||Der IE-3500-8P3S-A unterstützt REP- und MRP-Ring-Redundanz; verlustfreie DLR/HSR/PRP-Redundanz bieten die IE3505-Varianten der Serie. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3505-8T3S-E,"Wie viele Ports hat der IE-3505-8T3S-E?||Der IE-3505-8T3S-E ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Essentials-Lizenz des IE-3505-8T3S-E?||Der IE-3505-8T3S-E trägt die Network Essentials-Lizenz: echtes Layer-3-Routing mit OSPF, OSPFv3, RIP und PBR sowie Inter-VLAN-/statischem Routing und MACsec-128. Für BGP/IS-IS/EIGRP, VRF-lite, MACsec-256 und Cisco TrustSec gibt es dieselbe Hardware als -A-Variante (Network Advantage).##Hat der IE-3505-8T3S-E PoE?||Nein, der IE-3505-8T3S-E ist ein Datenmodell ohne PoE; PoE-Varianten der Serie sind die 8P3S (PoE+, 240 W) und das 8U3X (4-Paar-PoE/802.3bt Typ 4, 90 W, 480 W).##Welche Uplinks hat der IE-3505-8T3S-E?||Der IE-3505-8T3S-E besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3505-8T3S-E?||Der IE-3505-8T3S-E ist eine IE3505-Variante und unterstützt neben REP und MRP zusätzlich verlustfreie DLR-, HSR-SAN- und PRP-Redundanz für unterbrechungsfreie Prozessnetze. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3505-8T3S-A,"Wie viele Ports hat der IE-3505-8T3S-A?||Der IE-3505-8T3S-A ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Advantage-Lizenz des IE-3505-8T3S-A?||Der IE-3505-8T3S-A trägt die Network Advantage-Lizenz: zusätzlich zum Basis-Routing erweitertes dynamisches Routing (BGP, IS-IS, EIGRP), VRF-lite, MACsec-256, Cisco TrustSec mit SGT/SGACL und PIM-Multicast. Die -E-Variante (Network Essentials) bietet bereits OSPF, RIP, PBR und MACsec-128.##Hat der IE-3505-8T3S-A PoE?||Nein, der IE-3505-8T3S-A ist ein Datenmodell ohne PoE; PoE-Varianten der Serie sind die 8P3S (PoE+, 240 W) und das 8U3X (4-Paar-PoE/802.3bt Typ 4, 90 W, 480 W).##Welche Uplinks hat der IE-3505-8T3S-A?||Der IE-3505-8T3S-A besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3505-8T3S-A?||Der IE-3505-8T3S-A ist eine IE3505-Variante und unterstützt neben REP und MRP zusätzlich verlustfreie DLR-, HSR-SAN- und PRP-Redundanz für unterbrechungsfreie Prozessnetze. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3505-8P3S-E,"Wie viele Ports hat der IE-3505-8P3S-E?||Der IE-3505-8P3S-E ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Essentials-Lizenz des IE-3505-8P3S-E?||Der IE-3505-8P3S-E trägt die Network Essentials-Lizenz: echtes Layer-3-Routing mit OSPF, OSPFv3, RIP und PBR sowie Inter-VLAN-/statischem Routing und MACsec-128. Für BGP/IS-IS/EIGRP, VRF-lite, MACsec-256 und Cisco TrustSec gibt es dieselbe Hardware als -A-Variante (Network Advantage).##Welches PoE-Budget hat der IE-3505-8P3S-E?||Der IE-3505-8P3S-E liefert PoE+ nach IEEE 802.3af/at (bis 30 W/Port) mit insgesamt 240 W für Industriekameras, Sensoren und Access-Points.##Welche Uplinks hat der IE-3505-8P3S-E?||Der IE-3505-8P3S-E besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3505-8P3S-E?||Der IE-3505-8P3S-E ist eine IE3505-Variante und unterstützt neben REP und MRP zusätzlich verlustfreie DLR-, HSR-SAN- und PRP-Redundanz für unterbrechungsfreie Prozessnetze. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3505-8P3S-A,"Wie viele Ports hat der IE-3505-8P3S-A?||Der IE-3505-8P3S-A ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Advantage-Lizenz des IE-3505-8P3S-A?||Der IE-3505-8P3S-A trägt die Network Advantage-Lizenz: zusätzlich zum Basis-Routing erweitertes dynamisches Routing (BGP, IS-IS, EIGRP), VRF-lite, MACsec-256, Cisco TrustSec mit SGT/SGACL und PIM-Multicast. Die -E-Variante (Network Essentials) bietet bereits OSPF, RIP, PBR und MACsec-128.##Welches PoE-Budget hat der IE-3505-8P3S-A?||Der IE-3505-8P3S-A liefert PoE+ nach IEEE 802.3af/at (bis 30 W/Port) mit insgesamt 240 W für Industriekameras, Sensoren und Access-Points.##Welche Uplinks hat der IE-3505-8P3S-A?||Der IE-3505-8P3S-A besitzt drei GE-SFP-Uplinks (1 Gbit/s) plus 8 Gigabit-Downlinks; 10G-SFP+-Uplinks bieten die 8T3X-/8U3X-Modelle der Serie.##Welche Ring-Redundanz bietet der IE-3505-8P3S-A?||Der IE-3505-8P3S-A ist eine IE3505-Variante und unterstützt neben REP und MRP zusätzlich verlustfreie DLR-, HSR-SAN- und PRP-Redundanz für unterbrechungsfreie Prozessnetze. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3500-8T3X-E,"Wie viele Ports hat der IE-3500-8T3X-E?||Der IE-3500-8T3X-E ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Essentials-Lizenz des IE-3500-8T3X-E?||Der IE-3500-8T3X-E trägt die Network Essentials-Lizenz: echtes Layer-3-Routing mit OSPF, OSPFv3, RIP und PBR sowie Inter-VLAN-/statischem Routing und MACsec-128. Für BGP/IS-IS/EIGRP, VRF-lite, MACsec-256 und Cisco TrustSec gibt es dieselbe Hardware als -A-Variante (Network Advantage).##Hat der IE-3500-8T3X-E PoE?||Nein, der IE-3500-8T3X-E ist ein Datenmodell ohne PoE; PoE-Varianten der Serie sind die 8P3S (PoE+, 240 W) und das 8U3X (4-Paar-PoE/802.3bt Typ 4, 90 W, 480 W).##Welche Uplinks hat der IE-3500-8T3X-E?||Der IE-3500-8T3X-E besitzt drei feste 10G-SFP+-Uplinks (plus 8 Gigabit-Downlinks) für High-Speed-Backhaul; die Zugangs-Ports arbeiten mit 1 Gbit/s.##Welche Ring-Redundanz bietet der IE-3500-8T3X-E?||Der IE-3500-8T3X-E unterstützt REP- und MRP-Ring-Redundanz; verlustfreie DLR/HSR/PRP-Redundanz bieten die IE3505-Varianten der Serie. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
IE-3500-8T3X-A,"Wie viele Ports hat der IE-3500-8T3X-A?||Der IE-3500-8T3X-A ist ein Basissystem mit 8 Gigabit-Downlinks + 3 Uplinks = 11 Ports; per Erweiterungsmodul ist er auf bis zu 27 Ports erweiterbar (Module separat, nicht Teil dieses Artikels).##Was unterscheidet die Network Advantage-Lizenz des IE-3500-8T3X-A?||Der IE-3500-8T3X-A trägt die Network Advantage-Lizenz: zusätzlich zum Basis-Routing erweitertes dynamisches Routing (BGP, IS-IS, EIGRP), VRF-lite, MACsec-256, Cisco TrustSec mit SGT/SGACL und PIM-Multicast. Die -E-Variante (Network Essentials) bietet bereits OSPF, RIP, PBR und MACsec-128.##Hat der IE-3500-8T3X-A PoE?||Nein, der IE-3500-8T3X-A ist ein Datenmodell ohne PoE; PoE-Varianten der Serie sind die 8P3S (PoE+, 240 W) und das 8U3X (4-Paar-PoE/802.3bt Typ 4, 90 W, 480 W).##Welche Uplinks hat der IE-3500-8T3X-A?||Der IE-3500-8T3X-A besitzt drei feste 10G-SFP+-Uplinks (plus 8 Gigabit-Downlinks) für High-Speed-Backhaul; die Zugangs-Ports arbeiten mit 1 Gbit/s.##Welche Ring-Redundanz bietet der IE-3500-8T3X-A?||Der IE-3500-8T3X-A unterstützt REP- und MRP-Ring-Redundanz; verlustfreie DLR/HSR/PRP-Redundanz bieten die IE3505-Varianten der Serie. Stacking gibt es nicht – Industrie-Switches bilden Ringe statt Stacks."
