Artikelnummer,Attributname,Attributwert
MCP1660-W00AE30,FAQ,"Welche Datenrate und Bauform hat das MCP1660-W00AE30?||Das MCP1660-W00AE30 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP1660-W00AE30?||Das MCP1660-W00AE30 hat eine feste Länge von 0.5 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP1660-W00AE30 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP1660-W00AE30?||Das MCP1660-W00AE30 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP1660-W00AE30?||Das MCP1660-W00AE30 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP1660-W00AE30 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP1660-W00AE30 mit NVIDIA-Geräten kompatibel?||Das MCP1660-W00AE30 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP1660-W001E30,FAQ,"Welche Datenrate und Bauform hat das MCP1660-W001E30?||Das MCP1660-W001E30 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP1660-W001E30?||Das MCP1660-W001E30 hat eine feste Länge von 1 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP1660-W001E30 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP1660-W001E30?||Das MCP1660-W001E30 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP1660-W001E30?||Das MCP1660-W001E30 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP1660-W001E30 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP1660-W001E30 mit NVIDIA-Geräten kompatibel?||Das MCP1660-W001E30 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP1660-W01AE30,FAQ,"Welche Datenrate und Bauform hat das MCP1660-W01AE30?||Das MCP1660-W01AE30 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP1660-W01AE30?||Das MCP1660-W01AE30 hat eine feste Länge von 1.5 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP1660-W01AE30 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP1660-W01AE30?||Das MCP1660-W01AE30 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP1660-W01AE30?||Das MCP1660-W01AE30 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP1660-W01AE30 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP1660-W01AE30 mit NVIDIA-Geräten kompatibel?||Das MCP1660-W01AE30 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP1660-W002E26,FAQ,"Welche Datenrate und Bauform hat das MCP1660-W002E26?||Das MCP1660-W002E26 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP1660-W002E26?||Das MCP1660-W002E26 hat eine feste Länge von 2 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP1660-W002E26 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP1660-W002E26?||Das MCP1660-W002E26 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP1660-W002E26?||Das MCP1660-W002E26 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP1660-W002E26 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP1660-W002E26 mit NVIDIA-Geräten kompatibel?||Das MCP1660-W002E26 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP1660-W02AE26,FAQ,"Welche Datenrate und Bauform hat das MCP1660-W02AE26?||Das MCP1660-W02AE26 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP1660-W02AE26?||Das MCP1660-W02AE26 hat eine feste Länge von 2.5 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP1660-W02AE26 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP1660-W02AE26?||Das MCP1660-W02AE26 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP1660-W02AE26?||Das MCP1660-W02AE26 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP1660-W02AE26 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP1660-W02AE26 mit NVIDIA-Geräten kompatibel?||Das MCP1660-W02AE26 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP7H60-W001R30,FAQ,"Welche Datenrate und Bauform hat das MCP7H60-W001R30?||Das MCP7H60-W001R30 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP7H60-W001R30?||Das MCP7H60-W001R30 hat eine feste Länge von 1 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP7H60-W001R30 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP7H60-W001R30?||Das MCP7H60-W001R30 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP7H60-W001R30?||Das MCP7H60-W001R30 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP7H60-W001R30 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP7H60-W001R30 mit NVIDIA-Geräten kompatibel?||Das MCP7H60-W001R30 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP7H60-W002R26,FAQ,"Welche Datenrate und Bauform hat das MCP7H60-W002R26?||Das MCP7H60-W002R26 ist ein QSFP-DD-Kabel mit 200 Gbit/s.##Welche Länge hat das MCP7H60-W002R26?||Das MCP7H60-W002R26 hat eine feste Länge von 2 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP7H60-W002R26 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP7H60-W002R26?||Das MCP7H60-W002R26 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP7H60-W002R26?||Das MCP7H60-W002R26 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP7H60-W002R26 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP7H60-W002R26 mit NVIDIA-Geräten kompatibel?||Das MCP7H60-W002R26 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP7H60-W02AR26,FAQ,"Welche Datenrate und Bauform hat das MCP7H60-W02AR26?||Das MCP7H60-W02AR26 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP7H60-W02AR26?||Das MCP7H60-W02AR26 hat eine feste Länge von 2.5 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP7H60-W02AR26 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP7H60-W02AR26?||Das MCP7H60-W02AR26 ist als QSFP-DD auf 2x QSFP56 konfektioniert.##In welchem Temperaturbereich arbeitet das MCP7H60-W02AR26?||Das MCP7H60-W02AR26 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP7H60-W02AR26 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP7H60-W02AR26 mit NVIDIA-Geräten kompatibel?||Das MCP7H60-W02AR26 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP7F60-W001R30,FAQ,"Welche Datenrate und Bauform hat das MCP7F60-W001R30?||Das MCP7F60-W001R30 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP7F60-W001R30?||Das MCP7F60-W001R30 hat eine feste Länge von 1 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP7F60-W001R30 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP7F60-W001R30?||Das MCP7F60-W001R30 ist als QSFP-DD auf QSFP-DD konfektioniert.##In welchem Temperaturbereich arbeitet das MCP7F60-W001R30?||Das MCP7F60-W001R30 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP7F60-W001R30 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP7F60-W001R30 mit NVIDIA-Geräten kompatibel?||Das MCP7F60-W001R30 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
MCP7F60-W002R26,FAQ,"Welche Datenrate und Bauform hat das MCP7F60-W002R26?||Das MCP7F60-W002R26 ist ein QSFP-DD-Kabel mit 400 Gbit/s.##Welche Länge hat das MCP7F60-W002R26?||Das MCP7F60-W002R26 hat eine feste Länge von 2 m (Passives Twinax-Kupferkabel (DAC)).##Benötigt das MCP7F60-W002R26 eine eigene Stromversorgung?||Nein. Als Direct-Attach-Kabel wird es ohne externes Netzteil über die Hostports versorgt.##Welche Anschlüsse hat das MCP7F60-W002R26?||Das MCP7F60-W002R26 ist als QSFP-DD auf 4x QSFP56 konfektioniert.##In welchem Temperaturbereich arbeitet das MCP7F60-W002R26?||Das MCP7F60-W002R26 ist für den Betrieb von 0 bis 70 °C spezifiziert.##Wofür wird das MCP7F60-W002R26 typischerweise eingesetzt?||Typischer Einsatz: Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Ist das MCP7F60-W002R26 mit NVIDIA-Geräten kompatibel?||Das MCP7F60-W002R26 ist eine NVIDIA-Kabel-Komponente und für den Betrieb in NVIDIA-Switches/-Routern ausgelegt; prüfen Sie die Freigabe für Ihre konkrete Plattform/Software-Version."
