Artikelnummer,FAQ
VS-S720-10G-3C,"Wofür wird die VS-S720-10G-3C verwendet?||Die VS-S720-10G-3C ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die Cisco-Catalyst 6500-E-Chassis.##In welche Chassis passt die VS-S720-10G-3C?||Die VS-S720-10G-3C ist mit den Chassis Catalyst 6500-E kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die VS-S720-10G-3C ein eigenständiger Switch?||Nein – die VS-S720-10G-3C ist ein Modul (Supervisor-Engine) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die VS-S720-10G-3C ungebraucht?||Ja – Hexwaren führt die VS-S720-10G-3C ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
VS-S720-10G-3CXL,"Wofür wird die VS-S720-10G-3CXL verwendet?||Die VS-S720-10G-3CXL ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die Cisco-Catalyst 6500-E-Chassis.##In welche Chassis passt die VS-S720-10G-3CXL?||Die VS-S720-10G-3CXL ist mit den Chassis Catalyst 6500-E kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die VS-S720-10G-3CXL ein eigenständiger Switch?||Nein – die VS-S720-10G-3CXL ist ein Modul (Supervisor-Engine) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die VS-S720-10G-3CXL ungebraucht?||Ja – Hexwaren führt die VS-S720-10G-3CXL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
VS-S2T-10G,"Wofür wird die VS-S2T-10G verwendet?||Die VS-S2T-10G ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis.##In welche Chassis passt die VS-S2T-10G?||Die VS-S2T-10G ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die VS-S2T-10G ein eigenständiger Switch?||Nein – die VS-S2T-10G ist ein Modul (Supervisor-Engine) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die VS-S2T-10G ungebraucht?||Ja – Hexwaren führt die VS-S2T-10G ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
VS-S2T-10G-XL,"Wofür wird die VS-S2T-10G-XL verwendet?||Die VS-S2T-10G-XL ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis.##In welche Chassis passt die VS-S2T-10G-XL?||Die VS-S2T-10G-XL ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die VS-S2T-10G-XL ein eigenständiger Switch?||Nein – die VS-S2T-10G-XL ist ein Modul (Supervisor-Engine) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die VS-S2T-10G-XL ungebraucht?||Ja – Hexwaren führt die VS-S2T-10G-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-SUP6T,"Wofür wird die C6800-SUP6T verwendet?||Die C6800-SUP6T ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E-Chassis.##In welche Chassis passt die C6800-SUP6T?||Die C6800-SUP6T ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-SUP6T ein eigenständiger Switch?||Nein – die C6800-SUP6T ist ein Modul (Supervisor-Engine) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-SUP6T ungebraucht?||Ja – Hexwaren führt die C6800-SUP6T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
C6800-SUP6T-XL,"Wofür wird die C6800-SUP6T-XL verwendet?||Die C6800-SUP6T-XL ist die zentrale Steuer-, Routing- und Forwarding-Engine (Supervisor-Engine) für die Cisco-Catalyst 6807-XL / Catalyst 6500-E-Chassis.##In welche Chassis passt die C6800-SUP6T-XL?||Die C6800-SUP6T-XL ist mit den Chassis Catalyst 6807-XL / Catalyst 6500-E kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die C6800-SUP6T-XL ein eigenständiger Switch?||Nein – die C6800-SUP6T-XL ist ein Modul (Supervisor-Engine) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die C6800-SUP6T-XL ungebraucht?||Ja – Hexwaren führt die C6800-SUP6T-XL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6748-GE-TX,"Wofür wird die WS-X6748-GE-TX verwendet?||Die WS-X6748-GE-TX ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45).##In welche Chassis passt die WS-X6748-GE-TX?||Die WS-X6748-GE-TX ist mit den Chassis Catalyst 6500-E kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6748-GE-TX ein eigenständiger Switch?||Nein – die WS-X6748-GE-TX ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6748-GE-TX ungebraucht?||Ja – Hexwaren führt die WS-X6748-GE-TX ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6748-SFP,"Wofür wird die WS-X6748-SFP verwendet?||Die WS-X6748-SFP ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E-Chassis und stellt 48 Ports bereit (48× 1G-SFP).##In welche Chassis passt die WS-X6748-SFP?||Die WS-X6748-SFP ist mit den Chassis Catalyst 6500-E kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6748-SFP ein eigenständiger Switch?||Nein – die WS-X6748-SFP ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6748-SFP ungebraucht?||Ja – Hexwaren führt die WS-X6748-SFP ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6848-TX-2T,"Wofür wird die WS-X6848-TX-2T verwendet?||Die WS-X6848-TX-2T ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45).##In welche Chassis passt die WS-X6848-TX-2T?||Die WS-X6848-TX-2T ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6848-TX-2T ein eigenständiger Switch?||Nein – die WS-X6848-TX-2T ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6848-TX-2T ungebraucht?||Ja – Hexwaren führt die WS-X6848-TX-2T ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
WS-X6848-TX-2TXL,"Wofür wird die WS-X6848-TX-2TXL verwendet?||Die WS-X6848-TX-2TXL ist ein I/O-Modul mit Zugangsports (Linecard) für die Cisco-Catalyst 6500-E / Catalyst 6807-XL-Chassis und stellt 48 Ports bereit (48× 10/100/1000-RJ45).##In welche Chassis passt die WS-X6848-TX-2TXL?||Die WS-X6848-TX-2TXL ist mit den Chassis Catalyst 6500-E / Catalyst 6807-XL kompatibel und benötigt einen freien Steckplatz; das Chassis ist separat erhältlich.##Ist die WS-X6848-TX-2TXL ein eigenständiger Switch?||Nein – die WS-X6848-TX-2TXL ist ein Modul (Linecard) und benötigt ein kompatibles Chassis; sie wird nicht eigenständig betrieben.##Ist die WS-X6848-TX-2TXL ungebraucht?||Ja – Hexwaren führt die WS-X6848-TX-2TXL ausschließlich als ungebrauchte Original-Hardware für Ersatz, Redundanz und Bestandserweiterung."
