Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
SG350X-8PMD,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Layer,L2,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Portanzahl,10,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Port-Konfiguration,"8× 2,5G-RJ45 (PoE+) + 2× 10G-Combo",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Port-Geschwindigkeit,"2,5G (Uplink 10G)",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Uplink-Ports,2× 10G-Combo,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,PoE,"Ja – PoE+ (802.3af/at) inkl. 4× 60-W-PoE-Ports, 240 W",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Switching-Kapazität,80 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Durchsatz,"29,76 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Bauform,Kompakt-Gehäuse (1 HE; 19-Zoll-Rackmontage mit Montagekit),https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Stromversorgung,100–240 V AC (50/60 Hz),https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Kühlung,"1 Lüfter (42,9 dB)",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Stacking,"Ja – Echtes Stacking (bis zu 4 Einheiten, 208 Ports; Hybrid-Stack)",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Betriebstemperatur,0 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,Anwendung,"Wachsende kleine und mittlere Unternehmen, 10G-Server-/Storage-Anbindung, Glasfaser-Backbone und Wi-Fi-6-Aggregation; PoE+-Versorgung für leistungsstarke Access-Points und Kameras; echtes Stacking (bis 4 Einheiten, eine Verwaltungs-IP); managed über Web-UI, Smart Network Application (SNA) und FindIT, ohne Abo-Lizenz",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-8PMD,SG350X-8PMD,EoL,"Cisco 350X Series End-of-Sale ~2021 (abgelöst durch CBS350/Catalyst 1300; 10G-/Stacking-Nische bleibt im Restkanal) — informativ geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,2026-06-24T13:12:10Z
SG350X-12PMV,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Layer,L2,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Portanzahl,16,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Port-Konfiguration,12× 5G-RJ45 (PoE+) + 2× 10G-Combo + 2× 10G-SFP+,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Port-Geschwindigkeit,5G (Uplink 10G),https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Uplink-Ports,2× 10G-Combo + 2× 10G-SFP+,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,PoE,"Ja – PoE+ (802.3af/at) inkl. 8× 60-W-PoE-Ports, 375 W",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Switching-Kapazität,200 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Durchsatz,"148,80 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Stromversorgung,100–240 V AC (50/60 Hz),https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Kühlung,"3 Lüfter (52,2 dB)",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Stacking,"Ja – Echtes Stacking (bis zu 4 Einheiten, 208 Ports; Hybrid-Stack)",https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
SG350X-12PMV,Betriebstemperatur,0 bis 50 °C,https://www.cisco.com/c/en/us/products/collateral/switches/350x-series-stackable-managed-switches/datasheet-c78-735986.html,datasheet,2026-06-24T13:12:10Z
