Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
DQ+BC0003-DS+;MikroTik DQ+BC0003-DS+ QSFP56 Breakout-DAC – 200G zu 4×50G, 3 m;<p>Das MikroTik DQ+BC0003-DS+ ist ein passives QSFP56-Breakout-Kupferkabel mit 3 m Länge. Es teilt einen 200G-Port in vier 50G-Kanäle auf und bleibt dabei mit den 100G- und 40G-Breakout-Modi kompatibel.</p><p>Es ersetzt das XQ+BC0003-XS+ zum gleichen Preis und ist für CRS812-DDQ- und CRS804-DDQ-Geräte vorgesehen. Als Original-MikroTik-Neuware wird es versiegelt geliefert.</p>;"<p>Das MikroTik DQ+BC0003-DS+ ist ein passives Breakout-Direct-Attach-Kupferkabel im QSFP56-Formfaktor mit einer Länge von 3 m.</p><p>Das Kabel unterstützt die Aufteilung von 200G in vier 50G-Kanäle (200G zu 4×50G) und bleibt dabei mit den 100G- und 40G-Breakout-Modi kompatibel. Laut Hersteller ersetzt es das XQ+BC0003-XS+ zum gleichen Preis.</p><p>Als passive Twinax-Baugruppe kommt das Kabel ohne eigene Stromversorgung aus. Als Original-MikroTik-Neuware ist es versiegelt und für den Einsatz in MikroTik-CRS812-DDQ- und CRS804-DDQ-Geräten vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 3 m; der passive Twinax-Kupferaufbau benötigt keine externe Stromversorgung und unterstützt kein DOM. Originales MikroTik-Direktanschlusskabel für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/dq+bc0003-ds+;0,05;0,20;DQ+BC0003-DS+;MikroTik;standard;Stk;MikroTik DQ+BC0003-DS+ QSFP56 Breakout-DAC 3 m | Hexwaren;Original MikroTik DQ+BC0003-DS+ passives QSFP56-Breakout-Kupferkabel, 3 m: 200G zu 4×50G, kompatibel mit 100G- und 40G-Breakout. Für CRS812 DDQ und CRS804 DDQ. Neu, versiegelt.;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
S-85DLC05D;MikroTik S-85DLC05D 1,25G SFP Transceiver – Multimode 850 nm, Dual-LC, 550 m;<p>Das MikroTik S-85DLC05D ist ein Gigabit-SFP-Modul für Multimode-Glasfaser. Mit einer Wellenlänge von 850 nm und einem Dual-LC-Anschluss überbrückt es Strecken von bis zu 550 m und eignet sich für Gigabit-Ethernet-Verbindungen innerhalb eines Gebäudes oder Rechenzentrums.</p><p>Die Datenrate beträgt 1,25 Gbit/s. Als Original-MikroTik-Neuware wird das Modul versiegelt geliefert und arbeitet in allen MikroTik-Geräten mit SFP-Steckplatz.</p>;"<p>Das MikroTik S-85DLC05D ist ein Gigabit-Transceiver im SFP-Formfaktor, der für den Betrieb über Multimode-Glasfaser ausgelegt ist und mit einer Wellenlänge von 850 nm arbeitet.</p><p>Über den Dual-LC-Anschluss lassen sich Strecken von bis zu 550 m realisieren; die Datenrate liegt bei 1,25 Gbit/s. Der getestete Umgebungstemperaturbereich reicht von -40 bis +85 °C und erlaubt damit den Einsatz auch in thermisch anspruchsvollen Umgebungen.</p><p>Als Original-MikroTik-Neuware ist das Modul versiegelt und für die kurzen, kostengünstigen Gigabit-Verbindungen innerhalb von Gebäuden und Rechenzentren vorgesehen, für die Multimode-Fasern typisch sind. Es lässt sich in MikroTik-Geräten mit freiem SFP-Steckplatz betreiben. Originaler MikroTik-Transceiver für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/s-85dlc05d;0,02;0,15;S-85DLC05D;MikroTik;standard;Stk;MikroTik S-85DLC05D 1,25G SFP Multimode 550 m | Hexwaren;Original MikroTik S-85DLC05D 1,25G-SFP-Modul für Multimode-Glasfaser: 850 nm, Dual-LC, bis 550 m Reichweite. Ideal für kurze Gigabit-Strecken im Rechenzentrum.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
S-31DLC20D;MikroTik S-31DLC20D 1,25G SFP Transceiver – Singlemode 1310 nm, Dual-LC, 20 km;<p>Das MikroTik S-31DLC20D ist ein Gigabit-SFP-Modul für Singlemode-Glasfaser. Mit 1310 nm Wellenlänge und Dual-LC-Anschluss überbrückt es bis zu 20 km und eignet sich für Gigabit-Verbindungen zwischen Gebäuden oder Standorten.</p><p>Die Datenrate beträgt 1,25 Gbit/s. Als Original-MikroTik-Neuware wird das Modul versiegelt geliefert und arbeitet in MikroTik-Geräten mit SFP-Steckplatz.</p>;"<p>Das MikroTik S-31DLC20D ist ein Gigabit-Transceiver im SFP-Formfaktor für den Betrieb über Singlemode-Glasfaser mit einer Wellenlänge von 1310 nm.</p><p>Über den Dual-LC-Anschluss überbrückt das Modul Strecken von bis zu 20 km bei einer Datenrate von 1,25 Gbit/s. Der getestete Umgebungstemperaturbereich reicht von -40 bis +70 °C.</p><p>Als Original-MikroTik-Neuware ist das Modul versiegelt und für Gigabit-Verbindungen über mittlere Distanzen zwischen Gebäuden oder Standorten vorgesehen. Es lässt sich in MikroTik-Geräten mit freiem SFP-Steckplatz einsetzen. Laut Datenblatt die Betriebswellenlänge 1310 nm, die Reichweite bis 20 km; der Betriebstemperaturbereich liegt bei -40 bis +70 °C. Originaler MikroTik-Transceiver für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/s-31dlc20d;0,02;0,15;S-31DLC20D;MikroTik;standard;Stk;MikroTik S-31DLC20D 1,25G SFP Singlemode 20 km | Hexwaren;Original MikroTik S-31DLC20D 1,25G-SFP-Modul für Singlemode-Glasfaser: 1310 nm, Dual-LC, bis 20 km. Für Gigabit-Verbindungen über mittlere Distanzen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
S-RJ01;MikroTik S-RJ01 1,25G SFP Transceiver – RJ45-Kupfer, 1000BASE-T, 100 m;<p>Das MikroTik S-RJ01 ist ein Gigabit-SFP-Modul mit RJ45-Anschluss für Kupferverkabelung. Es überträgt 1,25 Gbit/s über Twisted-Pair-Kabel auf Strecken von bis zu 100 m und bindet so Geräte ohne Glasfaser an einen SFP-Steckplatz an.</p><p>Als Original-MikroTik-Neuware wird das Modul versiegelt geliefert und arbeitet in MikroTik-Geräten mit SFP-Steckplatz.</p>;"<p>Das MikroTik S-RJ01 ist ein Gigabit-Transceiver im SFP-Formfaktor mit einem RJ45-Anschluss für strukturierte Kupferverkabelung.</p><p>Über Twisted-Pair-Kabel überträgt das Modul 1,25 Gbit/s auf Strecken von bis zu 100 m und erlaubt damit die Anbindung kupferbasierter Endgeräte an einen optischen SFP-Steckplatz, ohne dass Glasfaser erforderlich ist.</p><p>Als Original-MikroTik-Neuware ist das Modul versiegelt und für Gigabit-Ethernet über Kupfer in MikroTik-Geräten mit freiem SFP-Steckplatz vorgesehen. Es eignet sich, wenn ein SFP-Port mit klassischer RJ45-Verkabelung verbunden werden soll. Laut Datenblatt die Reichweite bis 100 m; der Betriebstemperaturbereich liegt bei -20 bis +60 °C. Originaler MikroTik-Transceiver für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/s-rj01;0,02;0,15;S-RJ01;MikroTik;standard;Stk;MikroTik S-RJ01 1,25G SFP RJ45-Kupfer 100 m | Hexwaren;Original MikroTik S-RJ01 Gigabit-SFP-Modul mit RJ45-Anschluss für Kupferverkabelung: 1,25 Gbit/s über bis zu 100 m. Gigabit-Ethernet über Twisted-Pair.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
XS+DA0001;MikroTik XS+DA0001 25G SFP28 Direct-Attach-Kupferkabel (DAC) – 1 m;<p>Das MikroTik XS+DA0001 ist ein passives Direct-Attach-Kupferkabel (DAC) mit zwei fest konfektionierten SFP28-Steckern. Es verbindet zwei SFP28-Ports direkt über eine Länge von 1 m und unterstützt die Datenraten 1G, 10G und 25G.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Verbindung im Rack. Als Original-MikroTik-Neuware wird es versiegelt geliefert.</p>;"<p>Das MikroTik XS+DA0001 ist ein passives Direct-Attach-Kupferkabel (DAC) im SFP28-Formfaktor mit zwei fest konfektionierten Steckern.</p><p>Über eine Länge von 1 m verbindet das Kabel zwei SFP28-Ports direkt; unterstützt werden die Datenraten 1G, 10G und 25G. Als passive Twinax-Baugruppe kommt es ohne eigene Stromversorgung aus.</p><p>Als Original-MikroTik-Neuware ist das Kabel versiegelt und für die kostengünstige Direktverbindung von Geräten innerhalb eines Racks vorgesehen, etwa zur Top-of-Rack-Anbindung von Servern an einen 25G-Switch. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 1 m; der passive Twinax-Kupferaufbau benötigt keine externe Stromversorgung und unterstützt kein DOM. Originales MikroTik-Direktanschlusskabel für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/xs+da0001;0,02;0,15;XS+DA0001;MikroTik;standard;Stk;MikroTik XS+DA0001 25G SFP28 DAC 1 m | Hexwaren;Original MikroTik XS+DA0001 passives SFP28-Direct-Attach-Kupferkabel: 1G/10G/25G, 1 m, beidseitig fest konfektionierte SFP28-Stecker. Kostengünstige Top-of-Rack-Anbindung.;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
S-55DLC80D;MikroTik S-55DLC80D 1,25G SFP Transceiver – Singlemode 1550 nm, Dual-LC, 80 km;<p>Das MikroTik S-55DLC80D ist ein Gigabit-SFP-Modul für Singlemode-Glasfaser. Mit 1550 nm Wellenlänge und Dual-LC-Anschluss überbrückt es bis zu 80 km und eignet sich für Gigabit-Verbindungen über große Entfernungen zwischen Standorten.</p><p>Die Datenrate beträgt 1,25 Gbit/s. Als Original-MikroTik-Neuware wird das Modul versiegelt geliefert und arbeitet in MikroTik-Geräten mit SFP-Steckplatz.</p>;"<p>Das MikroTik S-55DLC80D ist ein Gigabit-Transceiver im SFP-Formfaktor für den Betrieb über Singlemode-Glasfaser mit einer Wellenlänge von 1550 nm.</p><p>Über den Dual-LC-Anschluss überbrückt das Modul Strecken von bis zu 80 km bei einer Datenrate von 1,25 Gbit/s. Der getestete Umgebungstemperaturbereich reicht von -40 bis +70 °C.</p><p>Als Original-MikroTik-Neuware ist das Modul versiegelt und für Gigabit-Verbindungen über lange Distanzen zwischen weit entfernten Standorten vorgesehen. Es lässt sich in MikroTik-Geräten mit freiem SFP-Steckplatz einsetzen. Laut Datenblatt die Betriebswellenlänge 1550 nm, die Reichweite bis 80 km; der Betriebstemperaturbereich liegt bei -40 bis +70 °C. Originaler MikroTik-Transceiver für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/s-55dlc80d;0,02;0,15;S-55DLC80D;MikroTik;standard;Stk;MikroTik S-55DLC80D 1,25G SFP Singlemode 80 km | Hexwaren;Original MikroTik S-55DLC80D 1,25G-SFP-Modul für Singlemode-Glasfaser: 1550 nm, Dual-LC, bis 80 km. Für Gigabit-Verbindungen über lange Distanzen.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP;TRUE;Y;Y
XS+DA0003;MikroTik XS+DA0003 25G SFP28 Direct-Attach-Kupferkabel (DAC) – 3 m;<p>Das MikroTik XS+DA0003 ist ein passives Direct-Attach-Kupferkabel (DAC) mit zwei fest konfektionierten SFP28-Steckern. Es verbindet zwei SFP28-Ports direkt über eine Länge von 3 m und unterstützt die Datenraten 1G, 10G und 25G.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige Verbindung im Rack. Als Original-MikroTik-Neuware wird es versiegelt geliefert.</p>;"<p>Das MikroTik XS+DA0003 ist ein passives Direct-Attach-Kupferkabel (DAC) im SFP28-Formfaktor mit zwei fest konfektionierten Steckern.</p><p>Über eine Länge von 3 m verbindet das Kabel zwei SFP28-Ports direkt; unterstützt werden die Datenraten 1G, 10G und 25G. Als passive Twinax-Baugruppe kommt es ohne eigene Stromversorgung aus.</p><p>Als Original-MikroTik-Neuware ist das Kabel versiegelt und für die kostengünstige Direktverbindung von Geräten innerhalb eines Racks vorgesehen, etwa zur Top-of-Rack-Anbindung von Servern an einen 25G-Switch. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 3 m; der passive Twinax-Kupferaufbau benötigt keine externe Stromversorgung und unterstützt kein DOM. Originales MikroTik-Direktanschlusskabel für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/xs+da0003;0,02;0,15;XS+DA0003;MikroTik;standard;Stk;MikroTik XS+DA0003 25G SFP28 DAC 3 m | Hexwaren;Original MikroTik XS+DA0003 passives SFP28-Direct-Attach-Kupferkabel: 1G/10G/25G, 3 m, beidseitig fest konfektionierte SFP28-Stecker. Kostengünstige Top-of-Rack-Anbindung.;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
XQ+DA0001;MikroTik XQ+DA0001 100G QSFP28 Direct-Attach-Kupferkabel (DAC) – 1 m;<p>Das MikroTik XQ+DA0001 ist ein passives Direct-Attach-Kupferkabel (DAC) mit zwei fest konfektionierten QSFP-Steckern. Es verbindet zwei QSFP+- oder QSFP28-Ports direkt über eine Länge von 1 m und unterstützt 40G und 100G.</p><p>Ohne eigene Stromversorgung bietet es eine kostengünstige 100G-Verbindung im Rack. Als Original-MikroTik-Neuware wird es versiegelt geliefert.</p>;"<p>Das MikroTik XQ+DA0001 ist ein passives Direct-Attach-Kupferkabel (DAC) im QSFP-Formfaktor mit zwei fest konfektionierten Steckern.</p><p>Über eine Länge von 1 m verbindet das Kabel zwei QSFP+- oder QSFP28-Ports direkt; unterstützt werden die Datenraten 40G und 100G. Als passive Twinax-Baugruppe kommt es ohne eigene Stromversorgung aus.</p><p>Als Original-MikroTik-Neuware ist das Kabel versiegelt und für die kostengünstige 100G-Direktverbindung von Geräten innerhalb eines Racks vorgesehen, etwa zur Anbindung benachbarter Switches oder Server. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 1 m; der passive Twinax-Kupferaufbau benötigt keine externe Stromversorgung und unterstützt kein DOM. Originales MikroTik-Direktanschlusskabel für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/xq+da0001;0,05;0,20;XQ+DA0001;MikroTik;standard;Stk;MikroTik XQ+DA0001 100G QSFP28 DAC 1 m | Hexwaren;Original MikroTik XQ+DA0001 passives QSFP28-Direct-Attach-Kupferkabel: 40G/100G, 1 m, beidseitig fest konfektionierte QSFP-Stecker. Kostengünstige 100G-Direktverbindung.;Netzwerk & Infrastruktur;Transceivers & SFP Module;DAC Kabel;TRUE;Y;Y
S+AO0005;MikroTik S+AO0005 10G SFP+ Active Optical Cable (AOC) – 5 m;<p>Das MikroTik S+AO0005 ist ein aktives optisches Kabel (AOC) mit zwei fest konfektionierten SFP+-Steckern. Es verbindet zwei SFP+-Ports direkt über eine Länge von 5 m und unterstützt 1G und 10G.</p><p>Als aktives optisches Kabel ist es leichter und biegsamer als ein Kupfer-DAC. Als Original-MikroTik-Neuware wird es versiegelt geliefert.</p>;"<p>Das MikroTik S+AO0005 ist ein aktives optisches Kabel (AOC) im SFP+-Formfaktor mit zwei fest konfektionierten Steckern und integrierten optischen Sende-/Empfangseinheiten.</p><p>Über eine Länge von 5 m verbindet das Kabel zwei SFP+-Ports direkt; unterstützt werden die Datenraten 1G und 10G. Im Vergleich zu einem Kupfer-DAC ist ein AOC leichter, dünner und biegsamer und überbrückt größere Längen.</p><p>Als Original-MikroTik-Neuware ist das Kabel versiegelt und für die saubere 10G-Direktverbindung zwischen Geräten innerhalb oder zwischen benachbarten Racks vorgesehen, in denen die Kabelführung eines starren DAC unpraktisch wäre. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 5 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Originales MikroTik-AOC-Kabel für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/s+ao0005;0,02;0,15;S+AO0005;MikroTik;standard;Stk;MikroTik S+AO0005 10G SFP+ AOC 5 m | Hexwaren;Original MikroTik S+AO0005 aktives optisches Kabel (AOC): SFP+ zu SFP+, 1G/10G, 5 m, beidseitig fest konfektioniert. Leichte 10G-Direktverbindung.;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
S+85DLC03D;MikroTik S+85DLC03D 10G SFP+ Transceiver – Multimode 850 nm, Dual-LC, 300 m;<p>Das MikroTik S+85DLC03D ist ein 10-Gigabit-SFP+-Modul für Multimode-Glasfaser. Mit 850 nm Wellenlänge und Dual-LC-Anschluss überbrückt es bis zu 300 m und eignet sich für 10G-Verbindungen innerhalb eines Rechenzentrums.</p><p>Das Modul unterstützt 1G und 10G. Als Original-MikroTik-Neuware wird es versiegelt geliefert und arbeitet in MikroTik-Geräten mit SFP+-Steckplatz.</p>;"<p>Das MikroTik S+85DLC03D ist ein 10-Gigabit-Transceiver im SFP+-Formfaktor für den Betrieb über Multimode-Glasfaser mit einer Wellenlänge von 850 nm.</p><p>Über den Dual-LC-Anschluss überbrückt das Modul Strecken von bis zu 300 m; unterstützt werden Datenraten von 1G und 10G. Der getestete Umgebungstemperaturbereich reicht von -40 bis +70 °C.</p><p>Als Original-MikroTik-Neuware ist das Modul versiegelt und für kurze, kostengünstige 10G-Verbindungen innerhalb von Rechenzentren über Multimode-Fasern vorgesehen. Es lässt sich in MikroTik-Geräten mit freiem SFP+-Steckplatz einsetzen. Laut Datenblatt die Betriebswellenlänge 850 nm, die Reichweite bis 300 m; der Betriebstemperaturbereich liegt bei -40 bis +70 °C. Originaler MikroTik-Transceiver für den professionellen Einsatz in MikroTik-Netzwerkumgebungen.</p>";mikrotik/s+85dlc03d;0,02;0,15;S+85DLC03D;MikroTik;standard;Stk;MikroTik S+85DLC03D 10G SFP+ Multimode 300 m | Hexwaren;Original MikroTik S+85DLC03D 10G-SFP+-Modul für Multimode-Glasfaser: 850 nm, Dual-LC, bis 300 m. Für 10-Gigabit-Verbindungen im Rechenzentrum.;Netzwerk & Infrastruktur;Transceivers & SFP Module;SFP+;TRUE;Y;Y
