Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
C9300X-48HX;Cisco C9300X-48HX Managed Switch (L3) – 48× 10G-Multigigabit-RJ45 (UPOE+, 90 W), 19-Zoll (1 HE);"<p>Der Cisco C9300X-48HX ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 48× 10G-Multigigabit-RJ45 (UPOE+, 90 W). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 1,760 Tbit/s und ein PoE-Budget für die direkte Versorgung von Endgeräten; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300X-48HX ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 48× 10G-Multigigabit-RJ45 (UPOE+, 90 W), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 48 Ports erreicht der C9300X-48HX eine Switching-Kapazität von 1,760 Tbit/s bei einer Weiterleitungsrate von 1309 Mpps; er versorgt über Cisco UPOE+ (Budget 590 W) Access Points, IP-Kameras und IoT-Geräte direkt per Netzwerkkabel. Die Uplink-Anbindung des C9300X-48HX erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-1T bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 1100 W AC-Stromversorgung arbeitet der C9300X-48HX laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300X-48HX 100-Gbit/s-line-rate-IPsec, ThousandEyes-Telemetrie und eine integrierte ASAc-Firewall sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300X-48HX als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300x-48hx;6,62;8,62;C9300X-48HX;Cisco;standard;Stk;Cisco C9300X-48HX Managed Switch (L3) | Hexwaren;Original Cisco C9300X-48HX: Managed Layer-3-Switch der Catalyst-9300-Serie mit 48× 10G-Multigigabit-RJ45 (UPOE+, 90 W), Switching-Kapazität 1,760 Tbit/s, PoE, 19-Zoll-Rackmontage (1 HE). Stacking …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300X-48TX;Cisco C9300X-48TX Managed Switch (L3) – 48× 10G-Multigigabit-RJ45 (Data), 19-Zoll (1 HE);"<p>Der Cisco C9300X-48TX ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 48× 10G-Multigigabit-RJ45 (Data). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 1,760 Tbit/s und reine Datenports; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300X-48TX ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 48× 10G-Multigigabit-RJ45 (Data), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 48 Ports erreicht der C9300X-48TX eine Switching-Kapazität von 1,760 Tbit/s bei einer Weiterleitungsrate von 1309 Mpps; er arbeitet als reiner Daten-Switch ohne PoE-Einspeisung. Die Uplink-Anbindung des C9300X-48TX erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-1T bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 715 W AC-Stromversorgung arbeitet der C9300X-48TX laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300X-48TX 100-Gbit/s-line-rate-IPsec, ThousandEyes-Telemetrie und eine integrierte ASAc-Firewall sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300X-48TX als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300x-48tx;6,62;8,62;C9300X-48TX;Cisco;standard;Stk;Cisco C9300X-48TX Managed Switch (L3) | Hexwaren;Original Cisco C9300X-48TX: Managed Layer-3-Switch der Catalyst-9300-Serie mit 48× 10G-Multigigabit-RJ45 (Data), Switching-Kapazität 1,760 Tbit/s, ohne PoE, 19-Zoll-Rackmontage (1 HE). Stacking …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300X-48HXN;Cisco C9300X-48HXN Managed Switch (L3) – 8× 10G-Multigigabit-RJ45 (UPOE+) + 40× 5G-Multigigabit-RJ45 (UPOE+), 19-Zoll (1 HE);"<p>Der Cisco C9300X-48HXN ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 8× 10G-Multigigabit-RJ45 (UPOE+) + 40× 5G-Multigigabit-RJ45 (UPOE+). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 960 Gbit/s und ein PoE-Budget für die direkte Versorgung von Endgeräten; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300X-48HXN ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 8× 10G-Multigigabit-RJ45 (UPOE+) + 40× 5G-Multigigabit-RJ45 (UPOE+), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 48 Ports erreicht der C9300X-48HXN eine Switching-Kapazität von 960 Gbit/s bei einer Weiterleitungsrate von 714,24 Mpps; er versorgt über Cisco UPOE+ (Budget 690 W) Access Points, IP-Kameras und IoT-Geräte direkt per Netzwerkkabel. Die Uplink-Anbindung des C9300X-48HXN erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-1T bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 1100 W AC-Stromversorgung arbeitet der C9300X-48HXN laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300X-48HXN 100-Gbit/s-line-rate-IPsec, ThousandEyes-Telemetrie und eine integrierte ASAc-Firewall sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300X-48HXN als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300x-48hxn;6,44;8,44;C9300X-48HXN;Cisco;standard;Stk;Cisco C9300X-48HXN Managed Switch (L3) | Hexwaren;Original Cisco C9300X-48HXN: Managed Layer-3-Switch der Catalyst-9300-Serie mit 8× 10G-Multigigabit-RJ45 (UPOE+), Switching-Kapazität 960 Gbit/s, PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300X-24HX;Cisco C9300X-24HX Managed Switch (L3) – 24× 10G-Multigigabit-RJ45 (UPOE+, 90 W), 19-Zoll (1 HE);"<p>Der Cisco C9300X-24HX ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 24× 10G-Multigigabit-RJ45 (UPOE+, 90 W). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 800 Gbit/s und ein PoE-Budget für die direkte Versorgung von Endgeräten; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300X-24HX ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 24× 10G-Multigigabit-RJ45 (UPOE+, 90 W), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 24 Ports erreicht der C9300X-24HX eine Switching-Kapazität von 800 Gbit/s bei einer Weiterleitungsrate von 654,72 Mpps; er versorgt über Cisco UPOE+ (Budget 735 W) Access Points, IP-Kameras und IoT-Geräte direkt per Netzwerkkabel. Die Uplink-Anbindung des C9300X-24HX erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-1T bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 1100 W AC-Stromversorgung arbeitet der C9300X-24HX laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300X-24HX 100-Gbit/s-line-rate-IPsec, ThousandEyes-Telemetrie und eine integrierte ASAc-Firewall sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300X-24HX als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300x-24hx;6,25;8,25;C9300X-24HX;Cisco;standard;Stk;Cisco C9300X-24HX Managed Switch (L3) | Hexwaren;Original Cisco C9300X-24HX: Managed Layer-3-Switch der Catalyst-9300-Serie mit 24× 10G-Multigigabit-RJ45 (UPOE+, 90 W), Switching-Kapazität 800 Gbit/s, PoE, 19-Zoll-Rackmontage (1 HE). Stacking …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300X-12Y;Cisco C9300X-12Y Managed Switch (L3) – 12× 25G/10G/1G-SFP28, 19-Zoll (1 HE);"<p>Der Cisco C9300X-12Y ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 12× 25G/10G/1G-SFP28. Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 1,000 Tbit/s und reine Datenports; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300X-12Y ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 12× 25G/10G/1G-SFP28, ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 12 Ports erreicht der C9300X-12Y eine Switching-Kapazität von 1,000 Tbit/s bei einer Weiterleitungsrate von 744,04 Mpps; er arbeitet als reiner Daten-Switch ohne PoE-Einspeisung. Die Uplink-Anbindung des C9300X-12Y erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-1T bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 715 W AC-Stromversorgung arbeitet der C9300X-12Y laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300X-12Y 100-Gbit/s-line-rate-IPsec, ThousandEyes-Telemetrie und eine integrierte ASAc-Firewall sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300X-12Y als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300x-12y;6,80;8,80;C9300X-12Y;Cisco;standard;Stk;Cisco C9300X-12Y Managed Switch (L3) | Hexwaren;Original Cisco C9300X-12Y: Managed Layer-3-Switch der Catalyst-9300-Serie mit 12× 25G/10G/1G-SFP28, Switching-Kapazität 1,000 Tbit/s, ohne PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300X-24Y;Cisco C9300X-24Y Managed Switch (L3) – 24× 25G/10G/1G-SFP28, 19-Zoll (1 HE);"<p>Der Cisco C9300X-24Y ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 24× 25G/10G/1G-SFP28. Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 2,000 Tbit/s und reine Datenports; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300X-24Y ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 24× 25G/10G/1G-SFP28, ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 24 Ports erreicht der C9300X-24Y eine Switching-Kapazität von 2,000 Tbit/s bei einer Weiterleitungsrate von 1488 Mpps; er arbeitet als reiner Daten-Switch ohne PoE-Einspeisung. Die Uplink-Anbindung des C9300X-24Y erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-1T bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 715 W AC-Stromversorgung arbeitet der C9300X-24Y laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300X-24Y 100-Gbit/s-line-rate-IPsec, ThousandEyes-Telemetrie und eine integrierte ASAc-Firewall sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300X-24Y als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300x-24y;7,35;9,35;C9300X-24Y;Cisco;standard;Stk;Cisco C9300X-24Y Managed Switch (L3) | Hexwaren;Original Cisco C9300X-24Y: Managed Layer-3-Switch der Catalyst-9300-Serie mit 24× 25G/10G/1G-SFP28, Switching-Kapazität 2,000 Tbit/s, ohne PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300-24T;Cisco C9300-24T Managed Switch (L3) – 24× Gigabit-RJ45 (Data), 19-Zoll (1 HE);"<p>Der Cisco C9300-24T ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 24× Gigabit-RJ45 (Data). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 208 Gbit/s und reine Datenports; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300-24T ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 24× Gigabit-RJ45 (Data), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 24 Ports erreicht der C9300-24T eine Switching-Kapazität von 208 Gbit/s bei einer Weiterleitungsrate von 154,76 Mpps; er arbeitet als reiner Daten-Switch ohne PoE-Einspeisung. Die Uplink-Anbindung des C9300-24T erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-480 bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 350 W AC-Stromversorgung arbeitet der C9300-24T laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300-24T dichte Gigabit-Aggregation für den Campus-Access sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300-24T als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300-24t;7,27;9,27;C9300-24T;Cisco;standard;Stk;Cisco C9300-24T Managed Switch (L3) | Hexwaren;Original Cisco C9300-24T: Managed Layer-3-Switch der Catalyst-9300-Serie mit 24× Gigabit-RJ45 (Data), Switching-Kapazität 208 Gbit/s, ohne PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300-48T;Cisco C9300-48T Managed Switch (L3) – 48× Gigabit-RJ45 (Data), 19-Zoll (1 HE);"<p>Der Cisco C9300-48T ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 48× Gigabit-RJ45 (Data). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 256 Gbit/s und reine Datenports; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300-48T ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 48× Gigabit-RJ45 (Data), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 48 Ports erreicht der C9300-48T eine Switching-Kapazität von 256 Gbit/s bei einer Weiterleitungsrate von 190,47 Mpps; er arbeitet als reiner Daten-Switch ohne PoE-Einspeisung. Die Uplink-Anbindung des C9300-48T erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-480 bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 350 W AC-Stromversorgung arbeitet der C9300-48T laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300-48T dichte Gigabit-Aggregation für den Campus-Access sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300-48T als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300-48t;7,45;9,45;C9300-48T;Cisco;standard;Stk;Cisco C9300-48T Managed Switch (L3) | Hexwaren;Original Cisco C9300-48T: Managed Layer-3-Switch der Catalyst-9300-Serie mit 48× Gigabit-RJ45 (Data), Switching-Kapazität 256 Gbit/s, ohne PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300-24P;Cisco C9300-24P Managed Switch (L3) – 24× Gigabit-RJ45 (PoE+, 30 W), 19-Zoll (1 HE);"<p>Der Cisco C9300-24P ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 24× Gigabit-RJ45 (PoE+, 30 W). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 208 Gbit/s und ein PoE-Budget für die direkte Versorgung von Endgeräten; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300-24P ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 24× Gigabit-RJ45 (PoE+, 30 W), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 24 Ports erreicht der C9300-24P eine Switching-Kapazität von 208 Gbit/s bei einer Weiterleitungsrate von 154,76 Mpps; er versorgt über PoE+ (Budget 445 W) Access Points, IP-Kameras und IoT-Geräte direkt per Netzwerkkabel. Die Uplink-Anbindung des C9300-24P erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-480 bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 715 W AC-Stromversorgung arbeitet der C9300-24P laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300-24P PoE+ nach IEEE 802.3at für Access Points und IP-Telefonie sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300-24P als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300-24p;7,40;9,40;C9300-24P;Cisco;standard;Stk;Cisco C9300-24P Managed Switch (L3) | Hexwaren;Original Cisco C9300-24P: Managed Layer-3-Switch der Catalyst-9300-Serie mit 24× Gigabit-RJ45 (PoE+, 30 W), Switching-Kapazität 208 Gbit/s, PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
C9300-48P;Cisco C9300-48P Managed Switch (L3) – 48× Gigabit-RJ45 (PoE+, 30 W), 19-Zoll (1 HE);"<p>Der Cisco C9300-48P ist ein gemanagter Layer-3-Switch der Catalyst-9300-Serie mit 48× Gigabit-RJ45 (PoE+, 30 W). Unter Cisco IOS XE übernimmt er als SD-Access-Baustein das Routing und Management im Enterprise-Access-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 256 Gbit/s und ein PoE-Budget für die direkte Versorgung von Endgeräten; er wird als versiegelte Original-Neuware geliefert.</p>";"<p>Der Cisco C9300-48P ist ein gemanagter Layer-3-Switch aus der Catalyst-9300-Familie mit 48× Gigabit-RJ45 (PoE+, 30 W), ausgelegt für den Enterprise-Access-Layer und Cisco SD-Access.</p><p>Mit 48 Ports erreicht der C9300-48P eine Switching-Kapazität von 256 Gbit/s bei einer Weiterleitungsrate von 190,47 Mpps; er versorgt über PoE+ (Budget 437 W) Access Points, IP-Kameras und IoT-Geräte direkt per Netzwerkkabel. Die Uplink-Anbindung des C9300-48P erfolgt über modulare Netzwerkmodule (1G/10G/25G/40G/100G), im Stack bündelt StackWise-480 bis zu acht Einheiten zu einem logischen Switch.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit drei feldaustauschbaren N+1-Lüftern und redundanter 715 W AC-Stromversorgung arbeitet der C9300-48P laut Datenblatt im Temperaturbereich -5 bis 45 °C. Unter Cisco IOS XE bietet der C9300-48P PoE+ nach IEEE 802.3at für Access Points und IP-Telefonie sowie MACsec-256, Secure Boot und volle Programmierbarkeit per NETCONF/RESTCONF/YANG; geliefert wird der C9300-48P als versiegelte Original-Neuware für den direkten Produktiv- oder Ersatzeinsatz. Originaler Cisco-Switch. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/c9300-48p;7,59;9,59;C9300-48P;Cisco;standard;Stk;Cisco C9300-48P Managed Switch (L3) | Hexwaren;Original Cisco C9300-48P: Managed Layer-3-Switch der Catalyst-9300-Serie mit 48× Gigabit-RJ45 (PoE+, 30 W), Switching-Kapazität 256 Gbit/s, PoE, 19-Zoll-Rackmontage (1 HE). Stacking via …;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
