Artikelnummer,FAQ
C1000-8T-2G-L,"Wie viele Ports hat der C1000-8T-2G-L?||Der C1000-8T-2G-L bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der C1000-8T-2G-L?||Der C1000-8T-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-8T-2G-L PoE?||Nein, der C1000-8T-2G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-8T-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-8T-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-8T-E-2G-L,"Wie viele Ports hat der C1000-8T-E-2G-L?||Der C1000-8T-E-2G-L bietet insgesamt 10 Ports: 8× 1G-RJ45 + 2× 1G-Combo.##Welches Betriebssystem nutzt der C1000-8T-E-2G-L?||Der C1000-8T-E-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-8T-E-2G-L PoE?||Nein, der C1000-8T-E-2G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-8T-E-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-8T-E-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-8P-2G-L,"Wie viele Ports hat der C1000-8P-2G-L?||Der C1000-8P-2G-L bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Welches Betriebssystem nutzt der C1000-8P-2G-L?||Der C1000-8P-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-8P-2G-L?||Der C1000-8P-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 67 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-8P-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-8P-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-8P-E-2G-L,"Wie viele Ports hat der C1000-8P-E-2G-L?||Der C1000-8P-E-2G-L bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Welches Betriebssystem nutzt der C1000-8P-E-2G-L?||Der C1000-8P-E-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-8P-E-2G-L?||Der C1000-8P-E-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 67 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-8P-E-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-8P-E-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-8FP-2G-L,"Wie viele Ports hat der C1000-8FP-2G-L?||Der C1000-8FP-2G-L bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Welches Betriebssystem nutzt der C1000-8FP-2G-L?||Der C1000-8FP-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-8FP-2G-L?||Der C1000-8FP-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 120 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-8FP-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-8FP-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-8FP-E-2G-L,"Wie viele Ports hat der C1000-8FP-E-2G-L?||Der C1000-8FP-E-2G-L bietet insgesamt 10 Ports: 8× 1G-RJ45 (PoE+) + 2× 1G-Combo.##Welches Betriebssystem nutzt der C1000-8FP-E-2G-L?||Der C1000-8FP-E-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-8FP-E-2G-L?||Der C1000-8FP-E-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 120 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-8FP-E-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-8FP-E-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-16T-2G-L,"Wie viele Ports hat der C1000-16T-2G-L?||Der C1000-16T-2G-L bietet insgesamt 18 Ports: 16× 1G-RJ45 + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000-16T-2G-L?||Der C1000-16T-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-16T-2G-L PoE?||Nein, der C1000-16T-2G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-16T-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-16T-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-16T-E-2G-L,"Wie viele Ports hat der C1000-16T-E-2G-L?||Der C1000-16T-E-2G-L bietet insgesamt 18 Ports: 16× 1G-RJ45 + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000-16T-E-2G-L?||Der C1000-16T-E-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Unterstützt der C1000-16T-E-2G-L PoE?||Nein, der C1000-16T-E-2G-L hat reine Datenports ohne PoE-Einspeisung.##Ist der C1000-16T-E-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-16T-E-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-16P-2G-L,"Wie viele Ports hat der C1000-16P-2G-L?||Der C1000-16P-2G-L bietet insgesamt 18 Ports: 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000-16P-2G-L?||Der C1000-16P-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-16P-2G-L?||Der C1000-16P-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 120 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-16P-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-16P-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
C1000-16P-E-2G-L,"Wie viele Ports hat der C1000-16P-E-2G-L?||Der C1000-16P-E-2G-L bietet insgesamt 18 Ports: 16× 1G-RJ45 (PoE+) + 2× 1G-SFP.##Welches Betriebssystem nutzt der C1000-16P-E-2G-L?||Der C1000-16P-E-2G-L läuft unter klassischem Cisco IOS (LAN Base) und wird per CLI sowie On-Box-Web-UI (Cisco Configuration Professional) verwaltet – nicht über IOS XE oder ein Cloud-Dashboard.##Welches PoE-Budget hat der C1000-16P-E-2G-L?||Der C1000-16P-E-2G-L liefert PoE+ (802.3af/at, Perpetual PoE) mit 120 W für IP-Telefone, WLAN-APs und Kameras.##Ist der C1000-16P-E-2G-L noch aktuell?||Cisco hat die Catalyst-1000-Serie abgekündigt (End-of-Sale 30.04.2025); der Cisco-Support läuft bis 30.04.2030. Der C1000-16P-E-2G-L wird mit Enhanced Limited Lifetime Warranty (E-LLW) geführt."
