Artikelnummer,FAQ
C9300X-48HX,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300X-48HX ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300X-48HX?||Der C9300X-48HX bietet insgesamt 48 Ports: 48× 10G-Multigigabit-RJ45 (UPOE+, 90 W).##Wie hoch ist das PoE-Budget des C9300X-48HX?||Der C9300X-48HX stellt Ja (Cisco UPOE+, 90 W/Port, Budget 590 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300X-48HX stapeln (Stacking)?||Ja. Der C9300X-48HX unterstützt Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300X-48TX,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300X-48TX ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300X-48TX?||Der C9300X-48TX bietet insgesamt 48 Ports: 48× 10G-Multigigabit-RJ45 (Data).##Unterstützt der C9300X-48TX Layer-3-Routing?||Ja. Der C9300X-48TX ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300X-48TX stapeln (Stacking)?||Ja. Der C9300X-48TX unterstützt Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300X-48HXN,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300X-48HXN ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300X-48HXN?||Der C9300X-48HXN bietet insgesamt 48 Ports: 8× 10G-Multigigabit-RJ45 (UPOE+) + 40× 5G-Multigigabit-RJ45 (UPOE+).##Wie hoch ist das PoE-Budget des C9300X-48HXN?||Der C9300X-48HXN stellt Ja (Cisco UPOE+, 90 W/Port, Budget 690 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300X-48HXN stapeln (Stacking)?||Ja. Der C9300X-48HXN unterstützt Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300X-24HX,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300X-24HX ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300X-24HX?||Der C9300X-24HX bietet insgesamt 24 Ports: 24× 10G-Multigigabit-RJ45 (UPOE+, 90 W).##Wie hoch ist das PoE-Budget des C9300X-24HX?||Der C9300X-24HX stellt Ja (Cisco UPOE+, 90 W/Port, Budget 735 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300X-24HX stapeln (Stacking)?||Ja. Der C9300X-24HX unterstützt Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300X-12Y,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300X-12Y ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300X-12Y?||Der C9300X-12Y bietet insgesamt 12 Ports: 12× 25G/10G/1G-SFP28.##Unterstützt der C9300X-12Y Layer-3-Routing?||Ja. Der C9300X-12Y ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300X-12Y stapeln (Stacking)?||Ja. Der C9300X-12Y unterstützt Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300X-24Y,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300X-24Y ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300X-24Y?||Der C9300X-24Y bietet insgesamt 24 Ports: 24× 25G/10G/1G-SFP28.##Unterstützt der C9300X-24Y Layer-3-Routing?||Ja. Der C9300X-24Y ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300X-24Y stapeln (Stacking)?||Ja. Der C9300X-24Y unterstützt Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24T,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24T ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24T?||Der C9300-24T bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (Data).##Unterstützt der C9300-24T Layer-3-Routing?||Ja. Der C9300-24T ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300-24T stapeln (Stacking)?||Ja. Der C9300-24T unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48T,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48T ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48T?||Der C9300-48T bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (Data).##Unterstützt der C9300-48T Layer-3-Routing?||Ja. Der C9300-48T ist ein Managed Switch (L3) und beherrscht unter Cisco IOS XE statisches und dynamisches Routing (Network Essentials/Advantage).##Lässt sich der C9300-48T stapeln (Stacking)?||Ja. Der C9300-48T unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-24P,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-24P ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-24P?||Der C9300-24P bietet insgesamt 24 Ports: 24× Gigabit-RJ45 (PoE+, 30 W).##Wie hoch ist das PoE-Budget des C9300-24P?||Der C9300-24P stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 445 W bei 715-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-24P stapeln (Stacking)?||Ja. Der C9300-24P unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
C9300-48P,"Ist dies ein originales Cisco-Produkt?||Ja. Der C9300-48P ist Cisco-Original-Neuware aus der Catalyst-9300-Serie – versiegelt geliefert und für den Betrieb unter Cisco IOS XE vorgesehen.##Wie viele Ports hat der C9300-48P?||Der C9300-48P bietet insgesamt 48 Ports: 48× Gigabit-RJ45 (PoE+, 30 W).##Wie hoch ist das PoE-Budget des C9300-48P?||Der C9300-48P stellt Ja (PoE+ 802.3at, 30 W/Port, Budget 437 W bei 715-W-Netzteil, mit 2. Netzteil erweiterbar) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der C9300-48P stapeln (Stacking)?||Ja. Der C9300-48P unterstützt Ja (StackWise-480, 480 Gbit/s, bis 8 Einheiten) und lässt sich so zu einem logischen Switch zusammenfassen."
