Artikelnummer,FAQ
R0X31A,"Wofür wird das R0X31A verwendet?||Das R0X31A ist das Management-Modul (Control-Plane) für die Aruba-CX-6400-Chassis und steuert Routing, Switching und Chassis-Management.##In welche Chassis passt das R0X31A?||Das R0X31A ist mit den Aruba-CX-6405- und CX-6410-Chassis kompatibel und belegt einen der beiden Management-Modul-Steckplätze.##Ist das R0X31A ein eigenständiger Switch?||Nein. Das R0X31A ist ein Management-Modul und benötigt ein kompatibles Aruba-CX-6400-Chassis sowie Linecards.##Ist das R0X31A ungebraucht?||Ja."
R0X44A,"Wofür wird die R0X44A verwendet?||Die R0X44A ist eine 48-Port-SFP28-Linecard für die Aruba-CX-6400-Chassis und stellt 1/10/25-GbE-Glasfaser-Ports bereit.##In welche Chassis passt die R0X44A?||Die R0X44A ist mit den Aruba-CX-6405- und CX-6410-Chassis kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X44A PoE?||Nein. Die R0X44A ist eine Glasfaser-Linecard (SFP28) ohne Power over Ethernet.##Ist die R0X44A ungebraucht?||Ja."
R0X45A,"Wofür wird die R0X45A verwendet?||Die R0X45A ist eine 12-Port-QSFP28-Linecard für die Aruba-CX-6400-Chassis und stellt 40/100-GbE-Ports bereit.##In welche Chassis passt die R0X45A?||Die R0X45A ist mit den Aruba-CX-6405- und CX-6410-Chassis kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X45A PoE?||Nein. Die R0X45A ist eine Glasfaser-Linecard (QSFP28) ohne Power over Ethernet.##Ist die R0X45A ungebraucht?||Ja."
R0X41A,"Wofür wird die R0X41A verwendet?||Die R0X41A ist eine 48-Port-Smart-Rate-PoE-Linecard (plus 4× SFP56) für die Aruba-CX-6400-Chassis und versorgt Endgeräte per Class-6-PoE.##Wie hoch ist das PoE-Budget der R0X41A?||Die R0X41A liefert PoE nach IEEE 802.3bt Class 6 (bis 60 W je Port); das gesamte nutzbare PoE-Budget hängt von der Netzteilbestückung des Chassis ab (ZU_VERIFIZIEREN).##In welche Chassis passt die R0X41A?||Die R0X41A ist mit den Aruba-CX-6405- und CX-6410-Chassis kompatibel und belegt einen Linecard-Steckplatz.##Ist die R0X41A ungebraucht?||Ja."
R0X38B,"Wofür wird die R0X38B verwendet?||Die R0X38B ist eine Linecard (48× 1G-RJ45 (Class 4 PoE)) für die modularen Aruba-CX-6400-Chassis.##In welche Chassis passt die R0X38B?||Die R0X38B ist mit den Chassis der Serie Aruba CX 6400 kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X38B PoE?||Ja. Die R0X38B speist angeschlossene Geräte per Power over Ethernet ein.##Ist die R0X38B ungebraucht?||Ja."
R0X38C,"Wofür wird die R0X38C verwendet?||Die R0X38C ist eine Linecard (48× 1G-RJ45 (Class 4 PoE, v2)) für die modularen Aruba-CX-6400-Chassis.##In welche Chassis passt die R0X38C?||Die R0X38C ist mit den Chassis der Serie Aruba CX 6400 kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X38C PoE?||Ja. Die R0X38C speist angeschlossene Geräte per Power over Ethernet ein.##Ist die R0X38C ungebraucht?||Ja."
R0X39B,"Wofür wird die R0X39B verwendet?||Die R0X39B ist eine Linecard (48× 1G-RJ45 (Class 4 PoE) + 4× SFP56) für die modularen Aruba-CX-6400-Chassis.##In welche Chassis passt die R0X39B?||Die R0X39B ist mit den Chassis der Serie Aruba CX 6400 kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X39B PoE?||Ja. Die R0X39B speist angeschlossene Geräte per Power over Ethernet ein.##Ist die R0X39B ungebraucht?||Ja."
R0X39C,"Wofür wird die R0X39C verwendet?||Die R0X39C ist eine Linecard (48× 1G-RJ45 (Class 4 PoE) + 4× SFP56 (v2)) für die modularen Aruba-CX-6400-Chassis.##In welche Chassis passt die R0X39C?||Die R0X39C ist mit den Chassis der Serie Aruba CX 6400 kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X39C PoE?||Ja. Die R0X39C speist angeschlossene Geräte per Power over Ethernet ein.##Ist die R0X39C ungebraucht?||Ja."
R0X40B,"Wofür wird die R0X40B verwendet?||Die R0X40B ist eine Linecard (48× 1G-RJ45 (Class 6 PoE) + 4× SFP56) für die modularen Aruba-CX-6400-Chassis.##In welche Chassis passt die R0X40B?||Die R0X40B ist mit den Chassis der Serie Aruba CX 6400 kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X40B PoE?||Ja. Die R0X40B speist angeschlossene Geräte per Power over Ethernet ein.##Ist die R0X40B ungebraucht?||Ja."
R0X40C,"Wofür wird die R0X40C verwendet?||Die R0X40C ist eine Linecard (48× 1G-RJ45 (Class 6 PoE) + 4× SFP56 (v2)) für die modularen Aruba-CX-6400-Chassis.##In welche Chassis passt die R0X40C?||Die R0X40C ist mit den Chassis der Serie Aruba CX 6400 kompatibel und belegt einen Linecard-Steckplatz.##Unterstützt die R0X40C PoE?||Ja. Die R0X40C speist angeschlossene Geräte per Power over Ethernet ein.##Ist die R0X40C ungebraucht?||Ja."
