Artikelnummer,FAQ
J8715A,"Wie viele Steckplätze hat der J8715A?||Der J8715A bietet 12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 288× 10/100/1000 oder 48× 10-GbE auf.##Hat der J8715A ein diskretes Fabric-Modul?||Ja. Der J8715A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J8715A?||Der J8715A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J8715A?||Der J8715A: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei)."
J8715B,"Wie viele Steckplätze hat der J8715B?||Der J8715B bietet 12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 288× 10/100/1000 oder 48× 10-GbE auf.##Hat der J8715B ein diskretes Fabric-Modul?||Ja. Der J8715B der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J8715B?||Der J8715B nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J8715B?||Der J8715B: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei)."
J9091A,"Wie viele Steckplätze hat der J9091A?||Der J9091A bietet 12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 288× 10/100/1000 oder 48× 10-GbE auf.##Hat der J9091A ein diskretes Fabric-Modul?||Ja. Der J9091A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9091A?||Der J9091A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9091A?||Der J9091A: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei)."
J9091B,"Wie viele Steckplätze hat der J9091B?||Der J9091B bietet 12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 288× 10/100/1000 oder 48× 10-GbE auf.##Hat der J9091B ein diskretes Fabric-Modul?||Ja. Der J9091B der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9091B?||Der J9091B nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9091B?||Der J9091B: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei)."
J9639A,"Wie viele Steckplätze hat der J9639A?||Der J9639A bietet 12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 288× 10/100/1000 oder 48× 10-GbE auf.##Hat der J9639A ein diskretes Fabric-Modul?||Ja. Der J9639A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9639A?||Der J9639A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9639A?||Der J9639A: Lieferausführung: v2-zl-Bundle mit Premium-Software, 92 Gigabit-PoE+-Ports und zwei 10-G."
J9641A,"Wie viele Steckplätze hat der J9641A?||Der J9641A bietet 12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 288× 10/100/1000 oder 48× 10-GbE auf.##Hat der J9641A ein diskretes Fabric-Modul?||Ja. Der J9641A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9641A?||Der J9641A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9641A?||Der J9641A: Lieferausführung: v2-zl-Bundle mit Premium-Software (Chassis mit Premium-Lizenz, ohne vo."
J9475A,"Wie viele Steckplätze hat der J9475A?||Der J9475A bietet 6 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 144× 10/100/1000 oder 24× 10-GbE auf.##Hat der J9475A ein diskretes Fabric-Modul?||Ja. Der J9475A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9475A?||Der J9475A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9475A?||Der J9475A: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei)."
J9477A,"Wie viele Steckplätze hat der J9477A?||Der J9477A bietet 6 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 144× 10/100/1000 oder 24× 10-GbE auf.##Hat der J9477A ein diskretes Fabric-Modul?||Ja. Der J9477A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9477A?||Der J9477A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9477A?||Der J9477A: Lieferausführung: Leergehäuse/Basis-Chassis (Steckplätze frei)."
J9638A,"Wie viele Steckplätze hat der J9638A?||Der J9638A bietet 6 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 144× 10/100/1000 oder 24× 10-GbE auf.##Hat der J9638A ein diskretes Fabric-Modul?||Ja. Der J9638A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9638A?||Der J9638A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9638A?||Der J9638A: Lieferausführung: v2-zl-Bundle mit Premium-Software, 44 Gigabit-PoE+-Ports und zwei 10-G."
J9640A,"Wie viele Steckplätze hat der J9640A?||Der J9640A bietet 6 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte und nimmt bis zu 144× 10/100/1000 oder 24× 10-GbE auf.##Hat der J9640A ein diskretes Fabric-Modul?||Ja. Der J9640A der 8200zl-Serie nutzt ein diskretes Fabric-Modul (J9093A) als zentrale Switching-Fabric – als einzige zl-Chassis-Serie.##Welche Module passen in den J9640A?||Der J9640A nimmt die gemeinsamen HP-ProCurve-zl-Linecards sowie das 8200zl-Management-, -Fabric- und -System-Support-Modul auf.##Wodurch unterscheidet sich der J9640A?||Der J9640A: Lieferausführung: v2-zl-Bundle mit Premium-Software (Chassis mit Premium-Lizenz, ohne vo."
