Artikelnummer,FAQ
N2K-C2148T,"Wie viele Ports hat der N2K-C2148T?||Der N2K-C2148T bietet 48× 1000BASE-T (RJ-45, Host); vier 10G-SFP+ Fabric-Uplinks. Die hostseitige Portanzahl (48) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2148T ein eigenständiger Switch?||Nein – der N2K-C2148T ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2148T FCoE?||Nein – der N2K-C2148T ist ein reiner Ethernet-Fabric-Extender ohne FCoE; für FCoE-Konvergenz eignen sich die FCoE-fähigen Nexus-2000/2300-Modelle (z. B. 2232PP, 2348TQ).##Mit welchen Parent-Switches ist der N2K-C2148T kompatibel?||Der N2K-C2148T arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000."
N2K-C2224TP-1GE,"Wie viele Ports hat der N2K-C2224TP-1GE?||Der N2K-C2224TP-1GE bietet 24× 100/1000BASE-T (RJ-45, Host); zwei 10G-SFP+ Fabric-Uplinks. Die hostseitige Portanzahl (24) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2224TP-1GE ein eigenständiger Switch?||Nein – der N2K-C2224TP-1GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2224TP-1GE FCoE?||Nein – der N2K-C2224TP-1GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE; für FCoE-Konvergenz eignen sich die FCoE-fähigen Nexus-2000/2300-Modelle (z. B. 2232PP, 2348TQ).##Mit welchen Parent-Switches ist der N2K-C2224TP-1GE kompatibel?||Der N2K-C2224TP-1GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000/6000/7000/9000."
N2K-C2248TP-1GE,"Wie viele Ports hat der N2K-C2248TP-1GE?||Der N2K-C2248TP-1GE bietet 48× 100/1000BASE-T (RJ-45, Host); vier 10G-SFP+ Fabric-Uplinks. Die hostseitige Portanzahl (48) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2248TP-1GE ein eigenständiger Switch?||Nein – der N2K-C2248TP-1GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2248TP-1GE FCoE?||Nein – der N2K-C2248TP-1GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE; für FCoE-Konvergenz eignen sich die FCoE-fähigen Nexus-2000/2300-Modelle (z. B. 2232PP, 2348TQ).##Mit welchen Parent-Switches ist der N2K-C2248TP-1GE kompatibel?||Der N2K-C2248TP-1GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000/6000/7000/9000."
N2K-C2248TP-E-1GE,"Wie viele Ports hat der N2K-C2248TP-E-1GE?||Der N2K-C2248TP-E-1GE bietet 48× 100/1000BASE-T (RJ-45, Host); vier 10G-SFP+ Fabric-Uplinks. Die hostseitige Portanzahl (48) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2248TP-E-1GE ein eigenständiger Switch?||Nein – der N2K-C2248TP-E-1GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Worin unterscheidet sich der N2K-C2248TP-E-1GE vom 2248TP?||Die -E-Variante ergänzt einen 32-MB-Puffer, der Mikroburst-Lasten abfedert; Portbild (48× 100/1000BASE-T + vier 10G-Fabric-Uplinks) und Kapazität bleiben identisch.##Mit welchen Parent-Switches ist der N2K-C2248TP-E-1GE kompatibel?||Der N2K-C2248TP-E-1GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000/6000/7000/9000."
N2K-C2232PP-10GE,"Wie viele Ports hat der N2K-C2232PP-10GE?||Der N2K-C2232PP-10GE bietet 32× 1/10G-SFP+ (Host); acht 10G-SFP+ Fabric-Uplinks. Die hostseitige Portanzahl (32) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2232PP-10GE ein eigenständiger Switch?||Nein – der N2K-C2232PP-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2232PP-10GE FCoE?||Ja – der N2K-C2232PP-10GE unterstützt FCoE, sodass LAN- und SAN-Verkehr konvergiert über den Parent-Switch laufen.##Mit welchen Parent-Switches ist der N2K-C2232PP-10GE kompatibel?||Der N2K-C2232PP-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000/6000/7000/9000."
N2K-C2248PQ-10GE,"Wie viele Ports hat der N2K-C2248PQ-10GE?||Der N2K-C2248PQ-10GE bietet 48× 1/10G-SFP+ (Host); vier 40G-QSFP+ Fabric-Uplinks. Die hostseitige Portanzahl (48) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2248PQ-10GE ein eigenständiger Switch?||Nein – der N2K-C2248PQ-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2248PQ-10GE FCoE?||Ja – der N2K-C2248PQ-10GE unterstützt FCoE inklusive DCB, sodass LAN- und SAN-Verkehr konvergiert über den Parent-Switch laufen.##Mit welchen Parent-Switches ist der N2K-C2248PQ-10GE kompatibel?||Der N2K-C2248PQ-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5500/6000/7000/9000 (nicht 5010/5020)."
N2K-C2232TM-10GE,"Wie viele Ports hat der N2K-C2232TM-10GE?||Der N2K-C2232TM-10GE bietet 32× 100M/1/10GBASE-T (RJ-45, Host); acht 10G-SFP+ über Uplink-Modul. Die hostseitige Portanzahl (32) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2232TM-10GE ein eigenständiger Switch?||Nein – der N2K-C2232TM-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2232TM-10GE FCoE?||Nein – der N2K-C2232TM-10GE ist ein reiner Ethernet-Fabric-Extender ohne FCoE; für FCoE-Konvergenz eignen sich die FCoE-fähigen Nexus-2000/2300-Modelle (z. B. 2232PP, 2348TQ).##Mit welchen Parent-Switches ist der N2K-C2232TM-10GE kompatibel?||Der N2K-C2232TM-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000/6000/7000/9000."
N2K-C2232TM-E-10GE,"Wie viele Ports hat der N2K-C2232TM-E-10GE?||Der N2K-C2232TM-E-10GE bietet 32× 100M/1/10GBASE-T (RJ-45, Host); acht 10G-SFP+ über Uplink-Modul. Die hostseitige Portanzahl (32) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2232TM-E-10GE ein eigenständiger Switch?||Nein – der N2K-C2232TM-E-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2232TM-E-10GE FCoE?||Ja – der N2K-C2232TM-E-10GE unterstützt FCoE (10GBASE-T bis 30 m über Cat-6a/7), sodass LAN- und SAN-Verkehr konvergiert über den Parent-Switch laufen.##Mit welchen Parent-Switches ist der N2K-C2232TM-E-10GE kompatibel?||Der N2K-C2232TM-E-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5000/6000/7000/9000."
N2K-C2348UPQ-10GE,"Wie viele Ports hat der N2K-C2348UPQ-10GE?||Der N2K-C2348UPQ-10GE bietet 48× 1/10G Unified-SFP+ (Host); sechs 40G-QSFP+ Fabric-Uplinks. Die hostseitige Portanzahl (48) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2348UPQ-10GE ein eigenständiger Switch?||Nein – der N2K-C2348UPQ-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Was bedeuten die Unified Ports beim N2K-C2348UPQ-10GE?||An einem Nexus-5600-Parent (ab NX-OS 7.3(0)N1(1)) lassen sich die 48 Host-Ports auch als natives Fibre Channel (2/4/8/16G, 24 Ports bei 16G) betreiben; an anderen Parents arbeiten sie als 1/10 GbE plus FCoE.##Mit welchen Parent-Switches ist der N2K-C2348UPQ-10GE kompatibel?||Der N2K-C2348UPQ-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5500/5600/6000/7000/7700/9300/9500."
N2K-C2348TQ-10GE,"Wie viele Ports hat der N2K-C2348TQ-10GE?||Der N2K-C2348TQ-10GE bietet 48× 100M/1/10GBASE-T (RJ-45, Host); sechs 40G-QSFP+ Fabric-Uplinks. Die hostseitige Portanzahl (48) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2348TQ-10GE ein eigenständiger Switch?||Nein – der N2K-C2348TQ-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2348TQ-10GE FCoE?||Ja – der N2K-C2348TQ-10GE unterstützt FCoE (10GBASE-T bis 30 m), sodass LAN- und SAN-Verkehr konvergiert über den Parent-Switch laufen.##Mit welchen Parent-Switches ist der N2K-C2348TQ-10GE kompatibel?||Der N2K-C2348TQ-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5500/5600/6000/7000/7700/9300/9500."
N2K-C2332TQ-10GE,"Wie viele Ports hat der N2K-C2332TQ-10GE?||Der N2K-C2332TQ-10GE bietet 32× 100M/1/10GBASE-T (RJ-45, Host); vier 40G-QSFP+ Fabric-Uplinks. Die hostseitige Portanzahl (32) zählt die Server-Ports; die Fabric-Uplinks binden den Extender an den Parent-Switch an und zählen nicht zur Host-Kapazität.##Ist der N2K-C2332TQ-10GE ein eigenständiger Switch?||Nein – der N2K-C2332TQ-10GE ist ein Fabric Extender (Remote-Line-Card) ohne eigenes Betriebssystem; er wird transparent von einem Cisco-Nexus-Parent-Switch unter NX-OS verwaltet und kann nicht eigenständig betrieben werden.##Unterstützt der N2K-C2332TQ-10GE FCoE?||Ja – der N2K-C2332TQ-10GE unterstützt FCoE (10GBASE-T bis 30 m), sodass LAN- und SAN-Verkehr konvergiert über den Parent-Switch laufen.##Mit welchen Parent-Switches ist der N2K-C2332TQ-10GE kompatibel?||Der N2K-C2332TQ-10GE arbeitet mit Cisco-Nexus-Parent-Switches der Reihen Nexus 5500/5600/6000/9300/9500."
