Artikelnummer,FAQ
IE-3400H-8FT-E,"Wie viele Ports hat der IE-3400H-8FT-E?||Der IE-3400H-8FT-E bietet 8× FE-M12 (D-kodiert, 10/100) = 8 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-8FT-E gedacht?||Der IE-3400H-8FT-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-8FT-E?||Der IE-3400H-8FT-E trägt die Network-Essentials-Lizenz: Inter-VLAN- und statisches Routing. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-8FT-E?||Der IE-3400H-8FT-E läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-8FT-A,"Wie viele Ports hat der IE-3400H-8FT-A?||Der IE-3400H-8FT-A bietet 8× FE-M12 (D-kodiert, 10/100) = 8 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-8FT-A gedacht?||Der IE-3400H-8FT-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-8FT-A?||Der IE-3400H-8FT-A trägt die Network-Advantage-Lizenz: volles Layer-3-Routing (OSPF, BGP, EIGRP, IS-IS) sowie TrustSec/SGT-Segmentierung. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-8FT-A?||Der IE-3400H-8FT-A läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-16FT-E,"Wie viele Ports hat der IE-3400H-16FT-E?||Der IE-3400H-16FT-E bietet 16× FE-M12 (D-kodiert, 10/100) = 16 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-16FT-E gedacht?||Der IE-3400H-16FT-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-16FT-E?||Der IE-3400H-16FT-E trägt die Network-Essentials-Lizenz: Inter-VLAN- und statisches Routing. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-16FT-E?||Der IE-3400H-16FT-E läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-16FT-A,"Wie viele Ports hat der IE-3400H-16FT-A?||Der IE-3400H-16FT-A bietet 16× FE-M12 (D-kodiert, 10/100) = 16 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-16FT-A gedacht?||Der IE-3400H-16FT-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-16FT-A?||Der IE-3400H-16FT-A trägt die Network-Advantage-Lizenz: volles Layer-3-Routing (OSPF, BGP, EIGRP, IS-IS) sowie TrustSec/SGT-Segmentierung. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-16FT-A?||Der IE-3400H-16FT-A läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-24FT-E,"Wie viele Ports hat der IE-3400H-24FT-E?||Der IE-3400H-24FT-E bietet 24× FE-M12 (D-kodiert, 10/100) = 24 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-24FT-E gedacht?||Der IE-3400H-24FT-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-24FT-E?||Der IE-3400H-24FT-E trägt die Network-Essentials-Lizenz: Inter-VLAN- und statisches Routing. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-24FT-E?||Der IE-3400H-24FT-E läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-24FT-A,"Wie viele Ports hat der IE-3400H-24FT-A?||Der IE-3400H-24FT-A bietet 24× FE-M12 (D-kodiert, 10/100) = 24 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-24FT-A gedacht?||Der IE-3400H-24FT-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-24FT-A?||Der IE-3400H-24FT-A trägt die Network-Advantage-Lizenz: volles Layer-3-Routing (OSPF, BGP, EIGRP, IS-IS) sowie TrustSec/SGT-Segmentierung. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-24FT-A?||Der IE-3400H-24FT-A läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-8T-E,"Wie viele Ports hat der IE-3400H-8T-E?||Der IE-3400H-8T-E bietet 8× GE-M12 (X-kodiert, 10/100/1000) = 8 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-8T-E gedacht?||Der IE-3400H-8T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-8T-E?||Der IE-3400H-8T-E trägt die Network-Essentials-Lizenz: Inter-VLAN- und statisches Routing. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-8T-E?||Der IE-3400H-8T-E läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-8T-A,"Wie viele Ports hat der IE-3400H-8T-A?||Der IE-3400H-8T-A bietet 8× GE-M12 (X-kodiert, 10/100/1000) = 8 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-8T-A gedacht?||Der IE-3400H-8T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-8T-A?||Der IE-3400H-8T-A trägt die Network-Advantage-Lizenz: volles Layer-3-Routing (OSPF, BGP, EIGRP, IS-IS) sowie TrustSec/SGT-Segmentierung. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-8T-A?||Der IE-3400H-8T-A läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-16T-E,"Wie viele Ports hat der IE-3400H-16T-E?||Der IE-3400H-16T-E bietet 16× GE-M12 (X-kodiert, 10/100/1000) = 16 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-16T-E gedacht?||Der IE-3400H-16T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-16T-E?||Der IE-3400H-16T-E trägt die Network-Essentials-Lizenz: Inter-VLAN- und statisches Routing. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-16T-E?||Der IE-3400H-16T-E läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-16T-A,"Wie viele Ports hat der IE-3400H-16T-A?||Der IE-3400H-16T-A bietet 16× GE-M12 (X-kodiert, 10/100/1000) = 16 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-16T-A gedacht?||Der IE-3400H-16T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-16T-A?||Der IE-3400H-16T-A trägt die Network-Advantage-Lizenz: volles Layer-3-Routing (OSPF, BGP, EIGRP, IS-IS) sowie TrustSec/SGT-Segmentierung. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-16T-A?||Der IE-3400H-16T-A läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-24T-E,"Wie viele Ports hat der IE-3400H-24T-E?||Der IE-3400H-24T-E bietet 24× GE-M12 (X-kodiert, 10/100/1000) = 24 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-24T-E gedacht?||Der IE-3400H-24T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-24T-E?||Der IE-3400H-24T-E trägt die Network-Essentials-Lizenz: Inter-VLAN- und statisches Routing. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-24T-E?||Der IE-3400H-24T-E läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
IE-3400H-24T-A,"Wie viele Ports hat der IE-3400H-24T-A?||Der IE-3400H-24T-A bietet 24× GE-M12 (X-kodiert, 10/100/1000) = 24 gleichwertige M12-Ports (keine dedizierten Uplink-Ports – alle M12-Ports sind gleichwertig).##Wofür ist die IP67-Bauform des IE-3400H-24T-A gedacht?||Der IE-3400H-24T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für staub- und wasserbelastete Schwerlastumgebungen.##Welche Lizenz und welches Routing bietet der IE-3400H-24T-A?||Der IE-3400H-24T-A trägt die Network-Advantage-Lizenz: volles Layer-3-Routing (OSPF, BGP, EIGRP, IS-IS) sowie TrustSec/SGT-Segmentierung. Beide Tiers (−E Essentials / −A Advantage) sind dieselbe Hardware; ein Upgrade erfolgt per Lizenz.##Welche Industrie- und Sicherheitsfunktionen bietet der IE-3400H-24T-A?||Der IE-3400H-24T-A läuft unter Cisco IOS XE und bietet MACsec-256, Ring-Redundanz (REP/MRP/PRP), PTP IEEE-1588v2, Layer-2-NAT, Cisco Cyber Vision (OT-Sichtbarkeit) und IOx-Edge-Computing."
