Artikelnummer,FAQ
JL624A,"Wie viele Ports hat der JL624A?||Der JL624A bietet insgesamt 56 Ports: 48× 1/10/25G-SFP28 + 8× QSFP28 (40/100G) (Uplink).##Unterstützt der JL624A PoE?||Nein. Der JL624A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL624A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL624A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL624A?||Der JL624A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V."
JL625A,"Wie viele Ports hat der JL625A?||Der JL625A bietet insgesamt 56 Ports: 48× 1/10/25G-SFP28 + 8× QSFP28 (40/100G) (Uplink).##Unterstützt der JL625A PoE?||Nein. Der JL625A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL625A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL625A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL625A?||Der JL625A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V."
JL635A,"Wie viele Ports hat der JL635A?||Der JL635A bietet insgesamt 56 Ports: 48× 1/10/25G-SFP28 + 8× QSFP28 (40/100G) (Uplink).##Unterstützt der JL635A PoE?||Nein. Der JL635A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL635A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL635A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL635A?||Der JL635A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow front-to-back); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC."
JL626A,"Wie viele Ports hat der JL626A?||Der JL626A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der JL626A PoE?||Nein. Der JL626A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL626A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL626A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL626A?||Der JL626A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Anwendung: High-Performance-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit 6,4-Tbit/s-Kapazität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX-Hochverfügbarkeit; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; 4×10G/4×25G-Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); optional 4×10G/4×25G-Breakout."
JL627A,"Wie viele Ports hat der JL627A?||Der JL627A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der JL627A PoE?||Nein. Der JL627A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL627A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL627A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL627A?||Der JL627A: Kühlung: 6 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front); Stromversorgung: 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V; Anwendung: High-Performance-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit 6,4-Tbit/s-Kapazität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX-Hochverfügbarkeit; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; 4×10G/4×25G-Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); optional 4×10G/4×25G-Breakout."
JL636A,"Wie viele Ports hat der JL636A?||Der JL636A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der JL636A PoE?||Nein. Der JL636A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der JL636A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei JL636A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der JL636A?||Der JL636A: Kühlung: Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow front-to-back); Stromversorgung: Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC; Anwendung: High-Performance-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit 6,4-Tbit/s-Kapazität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX-Hochverfügbarkeit; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; 4×10G/4×25G-Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); optional 4×10G/4×25G-Breakout."
S4A51A,"Wie viele Ports hat der S4A51A?||Der S4A51A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der S4A51A PoE?||Nein. Der S4A51A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4A51A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S4A51A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S4A51A?||Der S4A51A: Kühlung: 6 Hot-Swap-Lüfter (N+1, Airflow front-to-back); Stromversorgung: 2 Hot-Swap-Netzteile, redundant (N+1) – AC (100–240 VAC), NEBS-konform; Anwendung: Telco-/5G-RAN-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit präziser Zeitsynchronisation (PTP 1588v2, SyncE, ITU-T G.8275.1/.2 Class C, GNSS/Boundary-Clock, SMPTE), NEBS-Konformität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; bis zu 128× 10G/25G per Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); erweiterte Breakout-Flexibilität (bis 128 Ports 10G/25G)."
S4A52A,"Wie viele Ports hat der S4A52A?||Der S4A52A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der S4A52A PoE?||Nein. Der S4A52A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4A52A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S4A52A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S4A52A?||Der S4A52A: Kühlung: 6 Hot-Swap-Lüfter (N+1, Airflow back-to-front); Stromversorgung: 2 Hot-Swap-Netzteile, redundant (N+1) – AC (100–240 VAC), NEBS-konform; Anwendung: Telco-/5G-RAN-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit präziser Zeitsynchronisation (PTP 1588v2, SyncE, ITU-T G.8275.1/.2 Class C, GNSS/Boundary-Clock, SMPTE), NEBS-Konformität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; bis zu 128× 10G/25G per Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); erweiterte Breakout-Flexibilität (bis 128 Ports 10G/25G)."
S4A49A,"Wie viele Ports hat der S4A49A?||Der S4A49A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der S4A49A PoE?||Nein. Der S4A49A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4A49A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S4A49A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S4A49A?||Der S4A49A: Kühlung: 6 Hot-Swap-Lüfter (N+1, Airflow front-to-back); Stromversorgung: 2 Hot-Swap-Netzteile, redundant (N+1) – DC (-48 V), NEBS-konform; Anwendung: Telco-/5G-RAN-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit präziser Zeitsynchronisation (PTP 1588v2, SyncE, ITU-T G.8275.1/.2 Class C, GNSS/Boundary-Clock, SMPTE), NEBS-Konformität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; bis zu 128× 10G/25G per Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); erweiterte Breakout-Flexibilität (bis 128 Ports 10G/25G)."
S4A50A,"Wie viele Ports hat der S4A50A?||Der S4A50A bietet insgesamt 32 Ports: 32× 40/100G-QSFP28.##Unterstützt der S4A50A PoE?||Nein. Der S4A50A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S4A50A redundant koppeln (VSX)?||Ja. Über Aruba VSX (Virtual Switching Extension) bilden zwei S4A50A ein aktiv-aktives Hochverfügbarkeitspaar mit synchronisiertem Forwarding-Zustand und Multi-Chassis-LAG.##Wodurch unterscheidet sich der S4A50A?||Der S4A50A: Kühlung: 6 Hot-Swap-Lüfter (N+1, Airflow back-to-front); Stromversorgung: 2 Hot-Swap-Netzteile, redundant (N+1) – DC (-48 V), NEBS-konform; Anwendung: Telco-/5G-RAN-Data-Center-Spine/Leaf (Layer 3, AOS-CX) mit präziser Zeitsynchronisation (PTP 1588v2, SyncE, ITU-T G.8275.1/.2 Class C, GNSS/Boundary-Clock, SMPTE), NEBS-Konformität, 25G/100G-Ports, BGP-EVPN/VXLAN und VSX; Uplink-Ports: alle 32 Ports flexibel (40/100G-QSFP28; bis zu 128× 10G/25G per Breakout); Port-Geschwindigkeit: 40/100 GbE (QSFP+/QSFP28); erweiterte Breakout-Flexibilität (bis 128 Ports 10G/25G)."
