Artikelnummer,FAQ
IE-3500H-8T-E,"Wie viele Ports hat der IE-3500H-8T-E?||Der IE-3500H-8T-E bietet 8× GE-M12 (X-kodiert, 10/100/1000) = 8 Ports (gleichwertige M12-Ports, keine dedizierten Uplink-Ports).##Wofür ist die IP67-Bauform des IE-3500H-8T-E gedacht?||Der IE-3500H-8T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-8T-E PoE?||Nein – der IE-3500H-8T-E ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-8T-E?||Der IE-3500H-8T-E trägt die Network-Essentials-Lizenz (Layer-3-Routing: OSPF, OSPFv3, RIP und PBR) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-8T-A,"Wie viele Ports hat der IE-3500H-8T-A?||Der IE-3500H-8T-A bietet 8× GE-M12 (X-kodiert, 10/100/1000) = 8 Ports (gleichwertige M12-Ports, keine dedizierten Uplink-Ports).##Wofür ist die IP67-Bauform des IE-3500H-8T-A gedacht?||Der IE-3500H-8T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-8T-A PoE?||Nein – der IE-3500H-8T-A ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-8T-A?||Der IE-3500H-8T-A trägt die Network-Advantage-Lizenz (Layer-3-Routing: OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-16T-E,"Wie viele Ports hat der IE-3500H-16T-E?||Der IE-3500H-16T-E bietet 16× GE-M12 (X-kodiert, 10/100/1000) = 16 Ports (gleichwertige M12-Ports, keine dedizierten Uplink-Ports).##Wofür ist die IP67-Bauform des IE-3500H-16T-E gedacht?||Der IE-3500H-16T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-16T-E PoE?||Nein – der IE-3500H-16T-E ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-16T-E?||Der IE-3500H-16T-E trägt die Network-Essentials-Lizenz (Layer-3-Routing: OSPF, OSPFv3, RIP und PBR) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-16T-A,"Wie viele Ports hat der IE-3500H-16T-A?||Der IE-3500H-16T-A bietet 16× GE-M12 (X-kodiert, 10/100/1000) = 16 Ports (gleichwertige M12-Ports, keine dedizierten Uplink-Ports).##Wofür ist die IP67-Bauform des IE-3500H-16T-A gedacht?||Der IE-3500H-16T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-16T-A PoE?||Nein – der IE-3500H-16T-A ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-16T-A?||Der IE-3500H-16T-A trägt die Network-Advantage-Lizenz (Layer-3-Routing: OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-24T-E,"Wie viele Ports hat der IE-3500H-24T-E?||Der IE-3500H-24T-E bietet 24× GE-M12 (X-kodiert, 10/100/1000) = 24 Ports (gleichwertige M12-Ports, keine dedizierten Uplink-Ports).##Wofür ist die IP67-Bauform des IE-3500H-24T-E gedacht?||Der IE-3500H-24T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-24T-E PoE?||Nein – der IE-3500H-24T-E ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-24T-E?||Der IE-3500H-24T-E trägt die Network-Essentials-Lizenz (Layer-3-Routing: OSPF, OSPFv3, RIP und PBR) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-24T-A,"Wie viele Ports hat der IE-3500H-24T-A?||Der IE-3500H-24T-A bietet 24× GE-M12 (X-kodiert, 10/100/1000) = 24 Ports (gleichwertige M12-Ports, keine dedizierten Uplink-Ports).##Wofür ist die IP67-Bauform des IE-3500H-24T-A gedacht?||Der IE-3500H-24T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-24T-A PoE?||Nein – der IE-3500H-24T-A ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-24T-A?||Der IE-3500H-24T-A trägt die Network-Advantage-Lizenz (Layer-3-Routing: OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-12FT4T-E,"Wie viele Ports hat der IE-3500H-12FT4T-E?||Der IE-3500H-12FT4T-E bietet 12× FE-M12 (D-kodiert, 10/100) + 4× GE-M12 (X-kodiert, 10/100/1000) = 16 Ports (inkl. vier GE-M12-Uplinks).##Wofür ist die IP67-Bauform des IE-3500H-12FT4T-E gedacht?||Der IE-3500H-12FT4T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-12FT4T-E PoE?||Nein – der IE-3500H-12FT4T-E ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-12FT4T-E?||Der IE-3500H-12FT4T-E trägt die Network-Essentials-Lizenz (Layer-3-Routing: OSPF, OSPFv3, RIP und PBR) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-12FT4T-A,"Wie viele Ports hat der IE-3500H-12FT4T-A?||Der IE-3500H-12FT4T-A bietet 12× FE-M12 (D-kodiert, 10/100) + 4× GE-M12 (X-kodiert, 10/100/1000) = 16 Ports (inkl. vier GE-M12-Uplinks).##Wofür ist die IP67-Bauform des IE-3500H-12FT4T-A gedacht?||Der IE-3500H-12FT4T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-12FT4T-A PoE?||Nein – der IE-3500H-12FT4T-A ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-12FT4T-A?||Der IE-3500H-12FT4T-A trägt die Network-Advantage-Lizenz (Layer-3-Routing: OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-20FT4T-E,"Wie viele Ports hat der IE-3500H-20FT4T-E?||Der IE-3500H-20FT4T-E bietet 20× FE-M12 (D-kodiert, 10/100) + 4× GE-M12 (X-kodiert, 10/100/1000) = 24 Ports (inkl. vier GE-M12-Uplinks).##Wofür ist die IP67-Bauform des IE-3500H-20FT4T-E gedacht?||Der IE-3500H-20FT4T-E ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-20FT4T-E PoE?||Nein – der IE-3500H-20FT4T-E ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-20FT4T-E?||Der IE-3500H-20FT4T-E trägt die Network-Essentials-Lizenz (Layer-3-Routing: OSPF, OSPFv3, RIP und PBR) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
IE-3500H-20FT4T-A,"Wie viele Ports hat der IE-3500H-20FT4T-A?||Der IE-3500H-20FT4T-A bietet 20× FE-M12 (D-kodiert, 10/100) + 4× GE-M12 (X-kodiert, 10/100/1000) = 24 Ports (inkl. vier GE-M12-Uplinks).##Wofür ist die IP67-Bauform des IE-3500H-20FT4T-A gedacht?||Der IE-3500H-20FT4T-A ist IP66/IP67-dicht (IEC 60529, Type 4X) mit M12-Steckverbindern und wird ohne Schaltschrank direkt an der Maschine oder im Außenbereich wandmontiert – für Machine-Vision-, KI-Edge- und HD-Kamera-Netze in staub-/wasserbelasteten Umgebungen.##Hat der IE-3500H-20FT4T-A PoE?||Nein – der IE-3500H-20FT4T-A ist ein reines Datenmodell ohne PoE; PoE/PoE+ bieten die Modelle IE-3500H-14P2T und IE-3500H-12P2MU2X.##Welche Lizenz und Redundanz bietet der IE-3500H-20FT4T-A?||Der IE-3500H-20FT4T-A trägt die Network-Advantage-Lizenz (Layer-3-Routing: OSPF, BGP, IS-IS und EIGRP sowie SD-Access Fabric Edge, BGP-EVPN und TrustSec) und bietet Ring-Redundanz nach REP und MRP; beide Tiers (−E/−A) sind dieselbe Hardware, das Upgrade erfolgt per Lizenz."
