Artikelnummer,FAQ
100G-SR4-QSFP100M,"Welche Reichweite erreicht der 100G-SR4-QSFP100M?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-SR4-QSFP100M?||Das 100G-SR4-QSFP100M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-SR4."
100G-SR4BD-QSFP100M,"Welche Reichweite erreicht der 100G-SR4BD-QSFP100M?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-SR4BD-QSFP100M?||Das 100G-SR4BD-QSFP100M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-BDSR."
100G-SWDM4-QSFP100M,"Welche Reichweite erreicht der 100G-SWDM4-QSFP100M?||Er überbrückt Strecken von bis zu 100 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-SWDM4-QSFP100M?||Das 100G-SWDM4-QSFP100M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-SWDM4."
100G-ESR4-QSFP300M,"Welche Reichweite erreicht der 100G-ESR4-QSFP300M?||Er überbrückt Strecken von bis zu 300 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-ESR4-QSFP300M?||Das 100G-ESR4-QSFP300M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-ESR4."
100G-DR-QSFP500M,"Welche Reichweite erreicht der 100G-DR-QSFP500M?||Er überbrückt Strecken von bis zu 500 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-DR-QSFP500M?||Das 100G-DR-QSFP500M hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-DR."
100G-CWDM2-QSFP2KM,"Welche Reichweite erreicht der 100G-CWDM2-QSFP2KM?||Er überbrückt Strecken von bis zu 2 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-CWDM2-QSFP2KM?||Das 100G-CWDM2-QSFP2KM hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-CWDM4."
100G-LR4-QSFP2KM,"Welche Reichweite erreicht der 100G-LR4-QSFP2KM?||Er überbrückt Strecken von bis zu 2 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-LR4-QSFP2KM?||Das 100G-LR4-QSFP2KM hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-LR4-2."
100G-FR-QSFP2KM,"Welche Reichweite erreicht der 100G-FR-QSFP2KM?||Er überbrückt Strecken von bis zu 2 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-FR-QSFP2KM?||Das 100G-FR-QSFP2KM hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-FR."
10405,"Welche Reichweite erreicht der 10405?||Er überbrückt Strecken von bis zu 2 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 10405?||Das 10405 hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-PSM4."
100G-LR-QSFP10KM,"Welche Reichweite erreicht der 100G-LR-QSFP10KM?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-LR-QSFP10KM?||Das 100G-LR-QSFP10KM hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100G-BASE-LR."
100G-LR4-QSFP10KM,"Welche Reichweite erreicht der 100G-LR4-QSFP10KM?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-LR4-QSFP10KM?||Das 100G-LR4-QSFP10KM hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-LR4."
100G-ER4LT-QSFP40KM,"Welche Reichweite erreicht der 100G-ER4LT-QSFP40KM?||Er überbrückt Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP28-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-ER4LT-QSFP40KM?||Das 100G-ER4LT-QSFP40KM hat den Formfaktor QSFP28 mit 100 Gbit/s nach 100GBASE-ERLT."
100G-DACP-QSFPZ5M,"Wie lang ist das 100G-DACP-QSFPZ5M?||Das Kabel hat eine feste Länge von 0,5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 100G-DACP-QSFPZ5M?||Das 100G-DACP-QSFPZ5M hat den Formfaktor QSFP28 mit 100 Gbit/s."
100G-DACP-QSFP1M,"Wie lang ist das 100G-DACP-QSFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 100G-DACP-QSFP1M?||Das 100G-DACP-QSFP1M hat den Formfaktor QSFP28 mit 100 Gbit/s."
100G-DACP-QSFP3M,"Wie lang ist das 100G-DACP-QSFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 100G-DACP-QSFP3M?||Das 100G-DACP-QSFP3M hat den Formfaktor QSFP28 mit 100 Gbit/s."
100G-DACP-QSFP5M,"Wie lang ist das 100G-DACP-QSFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Welche Datenrate und Bauform hat das 100G-DACP-QSFP5M?||Das 100G-DACP-QSFP5M hat den Formfaktor QSFP28 mit 100 Gbit/s."
100G-DACP-QSFP4SFP1M,"Wie lang ist das 100G-DACP-QSFP4SFP1M?||Das Kabel hat eine feste Länge von 1 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP28 auf und verbindet ihn mit mehreren Ports."
100G-DACP-QSFP4SFP3M,"Wie lang ist das 100G-DACP-QSFP4SFP3M?||Das Kabel hat eine feste Länge von 3 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP28 auf und verbindet ihn mit mehreren Ports."
100G-DACP-QSFP4SFP5M,"Wie lang ist das 100G-DACP-QSFP4SFP5M?||Das Kabel hat eine feste Länge von 5 m.##Benötigt das Kabel eine eigene Stromversorgung?||Nein. Als passives Direct-Attach-Kupferkabel kommt es ohne aktive Elektronik aus.##Wozu dient das Breakout-Kabel?||Es teilt einen Highspeed-Port in 4x SFP28 auf und verbindet ihn mit mehreren Ports."
100G-AOC-QSFP10M-TA,"Wie lang ist das 100G-AOC-QSFP10M-TA?||Das Kabel hat eine feste Länge von 10 m.##Benötigt das Kabel ein Netzteil?||Nein. Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.##Welche Datenrate und Bauform hat das 100G-AOC-QSFP10M-TA?||Das 100G-AOC-QSFP10M-TA hat den Formfaktor QSFP28 mit 100 Gbit/s."
100G-CFP2-LR4-10KM,"Welche Reichweite erreicht der 100G-CFP2-LR4-10KM?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit CFP2-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-CFP2-LR4-10KM?||Das 100G-CFP2-LR4-10KM hat den Formfaktor CFP2 mit 100 Gbit/s nach 100GBASE-LR4-CFP2."
100G-CFP2-ER4-40KM,"Welche Reichweite erreicht der 100G-CFP2-ER4-40KM?||Er überbrückt Strecken von bis zu 40 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit CFP2-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 100G-CFP2-ER4-40KM?||Das 100G-CFP2-ER4-40KM hat den Formfaktor CFP2 mit 100 Gbit/s nach 100GBASE-ER4-CFP2."
40G-SR4-QSFP150,"Welche Reichweite erreicht der 40G-SR4-QSFP150?||Er überbrückt Strecken von bis zu 150 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 40G-SR4-QSFP150?||Das 40G-SR4-QSFP150 hat den Formfaktor QSFP+ mit 40 Gbit/s nach 40GBASE-SR4."
40G-BDSR-QSFP150M,"Welche Reichweite erreicht der 40G-BDSR-QSFP150M?||Er überbrückt Strecken von bis zu 150 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 40G-BDSR-QSFP150M?||Das 40G-BDSR-QSFP150M hat den Formfaktor QSFP+ mit 40 Gbit/s nach 40GBASE-BDSR."
40G-ESR4-QSFP400M-NT,"Welche Reichweite erreicht der 40G-ESR4-QSFP400M-NT?||Er überbrückt Strecken von bis zu 400 m.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 40G-ESR4-QSFP400M-NT?||Das 40G-ESR4-QSFP400M-NT hat den Formfaktor QSFP+ mit 40 Gbit/s nach 40GBASE-ESR4."
40G-LR4-QSFP10KM,"Welche Reichweite erreicht der 40G-LR4-QSFP10KM?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 40G-LR4-QSFP10KM?||Das 40G-LR4-QSFP10KM hat den Formfaktor QSFP+ mit 40 Gbit/s nach 40GBASE-LR4."
40G-QSFP-LR4-INT,"Welche Reichweite erreicht der 40G-QSFP-LR4-INT?||Er überbrückt Strecken von bis zu 10 km.##In welchen Systemen lässt sich das Modul einsetzen?||In ExtremeSwitching- und ExtremeRouting-Systemen mit QSFP+-Steckplätzen; maßgeblich ist die Extreme-Optics-Kompatibilitätsmatrix.##Welche Datenrate und Bauform hat das 40G-QSFP-LR4-INT?||Das 40G-QSFP-LR4-INT hat den Formfaktor QSFP+ mit 40 Gbit/s nach 40GBASE-LR4."
